year	delta	season
1803	17	s
1803	17	s
1803	16	s
1803	20	s
1803	19	s
1803	18	s
1803	18	s
1803	18	s
1803	18	s
1803	19	s
1803	20	s
1803	18	s
1803	19	s
1803	17	s
1803	19	w
1804	20	w
1804	18	w
1804	18	w
1804	22	w
1804	19	s
1804	17	s
1804	18	s
1804	21	s
1804	18	w
1805	19	w
1805	18	w
1805	17	w
1805	21	s
1805	18	s
1805	18	s
1805	19	s
1805	19	s
1805	17	w
1805	19	w
1805	20	w
1805	23	w
1805	18	w
1805	22	w
1805	20	w
1805	22	w
1805	19	w
1805	19	w
1805	25	w
1806	17	w
1806	25	w
1806	19	w
1806	22	w
1806	18	w
1806	20	w
1806	22	w
1806	22	w
1806	19	w
1806	21	w
1806	20	w
1806	22	w
1806	17	s
1806	31	w
1806	53	w
1806	20	w
1806	40	w
1807	31	w
1808	23	w
1808	19	s
1808	26	w
1808	22	w
1808	19	w
1809	19	w
1809	18	s
1809	18	s
1809	17	s
1810	19	w
1810	18	w
1810	29	w
1810	18	s
1810	17	s
1810	22	s
1810	19	s
1813	33	w
1814	23	w
1814	30	w
1814	19	s
1814	27	s
1814	19	w
1814	29	w
1814	22	w
1814	19	w
1814	19	w
1815	19	w
1815	19	w
1815	21	w
1815	26	w
1815	18	w
1815	19	w
1815	19	s
1815	19	s
1815	17	w
1816	20	w
1816	19	w
1816	20	w
1816	19	s
1816	19	s
1816	18	s
1816	19	w
1816	20	w
1816	18	w
1816	18	w
1817	20	w
1817	23	w
1817	18	w
1817	18	s
1817	20	s
1817	19	s
1818	18	w
1818	19	w
1818	19	s
1818	19	s
1818	19	s
1818	17	s
1818	19	s
1818	19	s
1818	18	w
1818	17	w
1818	19	w
1819	23	w
1819	18	w
1819	21	w
1819	16	w
1819	19	s
1819	18	s
1819	19	s
1820	17	w
1820	19	s
1821	19	s
1821	17	s
1821	18	s
1821	19	s
1821	18	w
1821	18	w
1821	20	w
1822	13	s
1822	15	s
1822	13	w
1825	13	w
1826	16	w
1826	43	s
1827	14	w
1827	14	w
1828	18	s
1828	20	s
1828	10	s
1830	13	s
1830	12	w
1830	17	w
1830	13	w
1831	10	w
1831	12	w
1831	11	w
1831	12	w
1831	12	w
1834	10	w
1834	10	w
1834	16	w
1834	19	s
1834	4	w
1835	12	w
1835	11	w
1836	9	w
1836	16	w
1836	8	s
1836	20	s
1836	9	s
1836	9	w
1836	9	w
1836	11	w
1837	11	s
1837	11	s
1837	11	s
1837	9	s
1837	9	s
1837	10	s
1837	11	s
1837	12	s
1837	9	w
1837	15	w
1837	9	w
1837	10	w
1838	13	w
1838	22	w
1838	11	w
1838	11	w
1838	13	w
1838	31	w
1838	10	w
1838	11	w
1838	12	w
1838	11	s
1838	14	s
1838	24	s
1838	9	s
1838	12	s
1838	14	s
1838	12	s
1838	12	s
1838	12	s
1838	13	s
1838	12	s
1838	9	s
1838	10	s
1838	10	s
1838	9	s
1838	10	s
1838	11	s
1838	19	s
1838	12	s
1838	9	s
1838	15	s
1838	14	s
1838	9	s
1838	11	s
1838	11	w
1838	12	w
1838	10	w
1838	13	w
1838	11	w
1838	13	w
1839	11	w
1839	14	w
1839	11	w
1839	10	w
1839	12	w
1839	11	w
1839	12	w
1839	18	w
1839	11	w
1839	16	w
1839	10	w
1839	12	s
1839	12	s
1839	12	s
1839	11	s
1839	8	s
1839	7	s
1839	11	s
1839	7	s
1840	7	w
1840	7	s
1840	8	s
1840	10	s
1840	8	s
1840	9	s
1840	7	w
1840	10	w
1840	8	w
1841	9	w
1841	9	w
1841	7	w
1841	10	s
1841	13	s
1841	10	s
1841	7	s
1841	8	s
1841	11	s
1841	11	s
1841	8	s
1841	10	s
1841	7	s
1841	8	s
1841	9	s
1841	17	w
1841	9	w
1841	9	w
1841	9	w
1841	10	w
1841	12	w
1841	12	w
1842	8	w
1842	9	w
1842	8	s
1842	7	s
1842	8	s
1842	7	s
1842	14	w
1842	10	w
1842	9	w
1843	10	w
1843	8	w
1843	14	w
1843	14	w
1843	8	w
1843	11	w
1843	8	s
1843	11	s
1843	8	s
1843	12	s
1843	8	s
1843	12	s
1843	10	s
1843	4	w
1843	13	w
1844	18	w
1844	8	w
1844	8	w
1844	11	w
1844	9	s
1844	7	s
1844	8	w
1844	12	w
1845	12	w
1845	9	w
1845	9	w
1845	16	w
1845	13	w
1845	8	w
1845	7	w
1845	13	s
1845	10	s
1845	7	s
1845	8	s
1845	6	s
1845	12	w
1845	7	w
1845	11	w
1846	6	w
1846	7	w
1846	9	w
1846	10	w
1846	6	s
1846	8	s
1846	14	s
1846	6	s
1846	7	s
1846	6	w
1846	10	w
1847	6	w
1847	7	w
1847	15	w
1847	9	s
1847	11	s
1847	7	s
1847	7	s
1847	6	s
1847	9	s
1847	6	s
1847	6	s
1847	6	s
1847	9	s
1847	7	s
1847	6	s
1847	6	s
1847	7	w
1847	11	w
1847	9	w
1847	8	w
1848	9	w
1848	9	w
1848	15	w
1848	10	w
1848	9	w
1848	8	w
1848	12	w
1848	10	w
1848	15	w
1848	9	w
1848	7	w
1848	7	s
1848	11	s
1848	7	s
1848	6	s
1848	6	s
1848	6	s
1848	6	s
1848	6	s
1848	7	s
1848	7	s
1848	6	s
1848	6	s
1848	13	s
1848	6	s
1848	6	s
1848	12	s
1848	7	s
1848	6	s
1848	9	s
1848	13	s
1848	6	s
1848	8	s
1848	7	s
1848	6	s
1848	6	s
1848	7	s
1848	7	s
1848	7	s
1848	9	s
1848	7	s
1848	5	s
1848	9	s
1848	6	w
1848	7	w
1848	8	w
1848	6	w
1848	6	w
1848	8	w
1848	7	w
1849	12	w
1849	7	w
1849	7	w
1849	6	w
1849	7	w
1849	8	w
1849	8	w
1849	7	w
1849	7	w
1849	6	w
1849	6	s
1849	7	s
1849	6	s
1849	6	s
1849	6	s
1849	7	s
1849	8	s
1849	3	s
1849	8	s
1849	7	s
1849	7	s
1849	8	s
1849	8	s
1849	9	s
1849	7	s
1849	7	s
1849	6	w
1849	6	w
1849	5	w
1849	8	w
1849	8	w
1850	7	w
1850	6	w
1850	8	w
1850	8	w
1850	9	w
1850	8	w
1850	10	w
1850	7	w
1850	8	w
1850	7	w
1850	10	w
1850	8	w
1850	7	w
1850	9	s
1850	8	s
1850	8	s
1850	13	s
1850	7	s
1850	13	s
1850	6	s
1850	6	s
1850	6	s
1850	7	s
1850	7	s
1850	8	s
1850	7	s
1850	8	s
1850	8	s
1850	7	s
1850	7	s
1850	6	s
1850	9	s
1850	6	s
1850	7	s
1850	6	s
1850	6	s
1850	4	s
1850	7	s
1850	6	s
1850	6	s
1850	6	s
1850	7	s
1850	8	s
1850	6	s
1850	8	s
1850	7	s
1850	7	s
1850	6	s
1850	9	s
1850	7	w
1850	8	w
1850	8	w
1850	7	w
1850	6	w
1850	7	w
1850	6	w
1850	7	w
1850	6	w
1850	6	w
1850	9	w
1850	7	w
1850	9	w
1850	6	w
1850	7	w
1850	7	w
1850	6	w
1850	9	w
1850	7	w
1850	6	w
1850	13	w
1851	7	w
1851	6	w
1851	7	w
1851	6	w
1851	6	w
1851	6	w
1851	6	w
1851	8	w
1851	8	w
1851	7	w
1851	8	s
1851	12	w
1851	7	s
1851	5	s
1851	5	s
1851	70	w
1851	6	s
1851	5	s
1851	6	s
1851	6	s
1851	15	s
1851	6	s
1851	37	s
1851	6	s
1851	6	s
1851	6	s
1851	5	s
1851	8	s
1851	37	s
1851	6	s
1851	6	s
1851	10	s
1851	6	s
1851	5	s
1851	8	s
1851	13	s
1851	6	s
1851	6	s
1851	6	s
1851	7	s
1851	9	s
1851	7	s
1851	6	s
1851	5	w
1851	5	w
1851	6	w
1851	6	w
1851	7	w
1851	5	w
1851	6	w
1851	6	w
1851	6	w
1851	6	w
1851	4	w
1851	7	w
1851	6	w
1851	5	w
1851	6	w
1851	7	w
1851	6	w
1851	8	w
1851	7	w
1851	5	w
1851	6	w
1851	7	w
1851	13	w
1851	6	w
1851	7	w
1851	7	w
1851	5	w
1851	5	w
1851	7	w
1851	5	w
1851	8	w
1852	8	w
