year	delta	season
1804	25	s
1806	26	w
1806	34	w
1806	22	w
1806	26	w
1806	22	w
1806	29	w
1806	26	s
1809	26	w
1810	27	s
1813	23	w
1815	22	s
1815	23	s
1817	27	s
1828	11	s
1829	17	s
1829	14	s
1829	16	s
1833	22	w
1833	12	s
1835	13	s
1836	14	w
1837	17	w
1838	11	w
1840	11	w
1841	12	s
1843	9	w
1843	11	s
1843	10	s
1843	9	w
1844	11	w
1844	10	w
1845	11	s
1845	10	s
1846	14	s
1846	17	w
1847	13	w
1847	14	w
1847	20	w
1848	9	w
1848	7	s
1848	7	s
1848	8	s
1848	8	s
1848	9	s
1849	7	s
1849	6	s
1849	9	s
1849	9	s
1849	9	s
1849	7	s
1849	10	s
1849	7	s
1849	11	s
1849	9	s
1849	8	s
1849	7	s
1849	11	w
1849	12	w
1849	12	w
1849	14	w
1850	9	w
1850	6	w
1850	13	w
1850	8	s
1850	11	s
1851	9	w
1851	14	s
1851	8	s
1851	9	w
1852	11	w
1852	9	w
1852	9	w
1852	8	w
1852	10	w
1853	9	w
1853	8	w
1853	6	w
1853	8	s
1853	9	s
1853	10	w
1853	6	w
1853	5	w
1854	6	w
1854	9	s
1854	10	s
1855	10	s
1855	6	s
1855	7	s
1856	9	w
1856	5	w
1856	13	s
1856	5	s
1856	6	s
1856	5	s
1856	8	s
1856	8	s
1856	6	s
1856	8	s
1856	6	w
1856	7	w
1856	9	w
1857	14	s
1858	9	w
1858	6	w
1858	6	s
1858	11	s
1858	7	s
1858	12	s
1858	9	s
1858	7	s
1858	4	s
1858	8	w
1858	6	w
1858	11	w
1858	8	w
1858	10	w
1858	8	w
1859	10	w
1859	6	s
1859	7	s
1860	7	w
1860	7	s
1860	7	s
1860	11	s
1860	10	w
1861	7	w
1861	6	s
1861	7	s
1861	7	s
1861	7	s
1861	7	s
1861	6	s
1861	8	s
1861	9	w
1861	10	w
1864	10	s
1864	6	s
1865	12	s
1865	21	s
1865	14	w
1865	12	w
1866	15	w
1866	8	s
1867	3	s
1867	6	s
1868	11	w
1869	4	s
1869	3	s
1869	7	s
1869	8	w
1871	2	s
1871	6	s
1873	10	w
1874	5	s
1876	8	s
1876	9	s
1876	8	s
1878	3	s
1879	1	s
1883	3	s
1884	2	s
1884	4	s
1885	2	w
1885	2	s
1885	2	s
1886	3	w
1886	4	s
1886	2	s
1886	3	s
1886	3	s
1886	1	s
1886	1	s
1886	3	s
1886	3	s
1886	2	s
1887	2	s
1888	3	w
1888	3	w
