year	delta
1830	13
1831	31
1831	10
1831	10
1832	11
1832	18
1833	11
1833	19
1833	19
1836	29
1837	19
1853	10
1853	28
1853	25
1853	21
1854	22
1855	45
1855	22
1855	11
1857	15
1857	26
1859	21
1859	23
1859	25
1859	11
1861	31
1861	16
1862	77
1862	20
1862	19
1862	16
1862	18
1862	17
1862	18
1862	16
1862	16
1862	20
1862	20
1862	19
1862	19
1862	16
1862	21
1862	19
1862	20
1862	20
1862	23
1862	17
1862	18
1862	15
1862	18
1862	18
1862	18
1862	16
1862	19
1862	19
1862	16
1862	18
1862	16
1862	17
1862	19
1862	24
1862	15
1862	20
1862	16
1862	16
1862	18
1862	18
1862	16
1862	20
1862	16
1862	17
1863	22
1863	17
1863	16
1863	15
1863	18
1863	16
1863	15
1867	17
1868	28
1869	17
1870	20
1871	16
1871	14
1871	15
1871	15
1872	21
1873	15
1873	22
1876	9
1877	15
1879	21
1884	13
1884	1
1884	14
1885	1
1887	14
