year	delta	season
1845	13	w
1846	9	w
1847	9	w
1851	8	w
1851	8	w
1851	6	s
1851	6	s
1851	7	w
1851	7	w
1852	12	s
1853	11	s
1853	7	s
1857	6	w
1858	5	w
1858	10	s
1858	11	s
1858	17	s
1858	11	s
1858	8	w
1859	6	w
1859	7	w
1859	8	w
1859	10	w
1859	8	w
1859	6	s
1859	12	s
1859	13	s
1859	10	s
1859	6	w
1860	7	w
1860	6	w
1860	7	w
1860	11	w
1860	8	s
1860	9	s
1860	8	s
1860	6	s
1860	9	s
1860	7	w
1860	6	w
1860	7	w
1860	5	w
1861	7	w
1861	8	w
1861	6	w
1861	6	s
1861	6	s
1861	8	s
1861	7	s
1861	6	s
1861	6	s
1861	6	s
1861	6	s
1861	11	w
1862	33	s
1862	7	s
1862	8	w
1863	6	s
1864	9	w
