year	delta	season
1851	58	s
1851	54	w
1852	50	w
1852	55	w
1852	56	w
1852	54	w
1852	56	s
1852	57	s
1852	60	s
1853	57	w
1853	56	w
1853	53	w
1853	73	s
1853	59	s
1853	54	s
1853	57	s
1853	53	s
1853	52	w
1853	68	w
1853	69	w
1854	60	w
1854	56	w
1854	60	s
1854	49	s
1854	51	w
1855	64	w
1855	29	s
1855	61	s
1855	70	s
1856	52	w
1856	62	s
1856	62	s
1856	55	s
1857	51	w
1857	53	w
1857	58	w
1857	50	w
1857	54	w
1857	53	w
1857	50	w
1857	53	w
1857	20	w
1857	50	w
1857	47	w
1857	48	w
1857	56	w
1857	58	w
1857	48	s
1857	49	s
1857	52	s
1857	54	s
1857	61	s
1857	52	s
1857	61	s
1857	56	s
1857	65	s
1857	66	s
1857	84	s
1857	55	s
1857	55	s
1857	48	w
1857	48	w
1857	50	w
1857	53	w
1857	52	w
1858	49	w
1858	53	w
1858	45	w
1858	45	w
1858	51	w
1858	48	w
1858	55	s
1858	61	s
1858	59	s
1858	58	s
1858	62	s
1858	56	s
1858	54	s
1858	49	s
1858	52	w
1858	45	w
1859	47	w
1859	48	w
1859	55	w
1859	56	w
1859	48	w
1859	51	w
1859	68	s
1859	60	s
1859	66	s
1859	57	s
1859	56	s
1859	61	s
1859	54	s
1859	54	w
1859	49	w
1860	51	w
1860	51	w
1860	51	w
1860	51	w
1860	53	s
1860	50	s
1860	54	s
1860	57	s
1860	65	s
1860	64	s
1860	56	s
1860	55	s
1860	56	s
1861	47	w
1861	51	s
1861	59	s
1861	50	s
1862	48	w
1862	46	w
1862	54	w
1862	46	w
1864	55	w
1864	57	w
1864	56	w
1864	60	w
1866	53	s
1868	24	w
1868	26	w
1868	26	s
1868	52	s
1868	21	w
1868	9	w
1869	28	s
1869	29	s
1871	6	s
1872	4	s
1874	3	w
1874	7	s
1875	3	w
1876	5	w
1876	3	w
1884	1	s
1884	2	w
1885	2	w
1885	3	w
