year	delta	season
1830	17	w
1831	21	w
1838	12	s
1838	15	s
1838	14	s
1838	16	s
1838	17	s
1838	19	s
1840	13	w
1842	18	w
1842	15	s
1843	18	w
1843	19	s
1845	15	s
1845	15	s
1846	11	w
1847	12	s
1848	10	w
1848	10	s
1848	10	s
1848	10	s
1848	15	s
1848	13	s
1848	13	s
1848	21	s
1848	15	s
1848	11	s
1848	10	s
1848	10	s
1848	10	s
1848	16	s
1848	13	s
1848	10	s
1848	11	s
1848	15	s
1848	17	s
1849	17	w
1849	10	s
1849	9	s
1849	14	w
1850	13	s
1850	7	s
1851	12	w
1851	7	s
1851	10	s
1851	10	s
1852	10	s
1852	7	w
1856	10	s
1857	8	w
1857	10	s
1857	16	s
1858	12	s
1858	8	w
1859	11	s
1859	15	s
1859	9	w
1859	12	w
1860	7	w
1862	11	w
1866	3	w
1867	6	w
1868	8	w
1868	4	s
1868	2	s
1868	3	s
1868	3	s
1869	3	s
1872	3	w
1876	5	w
1876	1	w
1879	2	s
1880	2	s
1885	2	s
1885	3	w
1888	1	s
1888	2	s
