year	delta	season
1802	40	w
1802	30	s
1802	30	s
1803	34	w
1803	34	w
1803	38	w
1803	31	w
1803	32	s
1803	34	s
1803	34	s
1804	24	w
1804	37	w
1804	36	w
1804	35	s
1804	31	s
1804	21	s
1804	30	s
1804	33	s
1804	33	w
1804	33	w
1804	34	w
1805	29	w
1805	34	w
1805	42	w
1805	33	w
1805	32	s
1805	31	s
1805	32	s
1805	30	s
1805	30	s
1805	34	s
1805	35	s
1805	34	s
1805	31	s
1806	41	s
1806	37	s
1806	34	s
1806	42	s
1808	44	w
1808	15	s
1808	31	s
1809	40	w
1810	14	w
1810	46	s
1810	33	s
1810	35	s
1810	31	s
1810	38	w
1811	33	w
1811	34	s
1811	36	w
1812	43	w
1813	35	s
1814	23	w
1814	26	s
1814	29	s
1814	29	s
1814	29	s
1814	28	s
1814	28	s
1814	66	s
1814	33	s
1814	30	s
1814	30	s
1814	32	s
1814	29	s
1814	29	s
1814	27	s
1814	1	w
1814	28	w
1814	36	w
1814	28	w
1814	28	w
1814	22	w
1814	38	w
1814	22	w
1814	27	w
1814	25	w
1815	31	w
1815	25	w
1815	31	w
1815	29	w
1815	33	w
1815	32	w
1815	30	w
1815	28	w
1815	30	w
1815	29	w
1815	31	w
1815	26	w
1815	28	w
1815	35	w
1815	31	w
1815	31	w
1815	32	w
1815	27	w
1815	29	w
1815	31	w
1815	29	w
1815	29	s
1815	24	s
1815	42	w
1815	29	s
1815	31	s
1815	27	s
1815	31	s
1815	30	s
1815	24	s
1815	27	s
1815	27	s
1815	35	s
1815	28	s
1815	35	s
1815	27	s
1815	31	s
1815	32	s
1815	33	s
1815	31	s
1815	39	s
1815	27	s
1815	30	s
1815	27	s
1815	25	s
1815	28	s
1815	29	s
1815	29	s
1815	35	s
1815	33	w
1815	23	w
1815	26	w
1815	39	w
1815	37	w
1815	30	w
1815	30	w
1815	31	w
1815	27	w
1815	31	w
1815	36	w
1816	32	w
1816	31	w
1816	33	w
1816	30	w
1816	32	w
1816	33	w
1816	31	w
1816	32	w
1816	31	w
1816	6	w
1816	28	w
1816	31	w
1816	28	w
1816	28	w
1816	25	w
1816	29	w
1816	29	w
1816	32	w
1816	30	w
1816	29	w
1816	32	w
1816	30	w
1816	29	w
1816	27	w
1816	29	w
1816	26	w
1816	23	s
1816	26	s
1816	30	s
1816	34	s
1816	31	s
1816	25	s
1816	29	s
1816	29	s
1816	30	s
1816	32	s
1816	33	s
1816	33	s
1816	25	s
1816	27	s
1816	29	s
1816	28	s
1816	26	s
1816	29	s
1816	26	s
1816	28	s
1816	29	s
1816	28	s
1816	29	s
1816	29	s
1816	30	s
1816	27	s
1816	30	s
1816	32	s
1816	33	s
1816	35	s
