year	delta	season
1815	28	w
1820	31	s
1820	32	s
1820	29	w
1821	25	w
1821	29	s
1821	28	w
1822	31	w
1822	25	w
1822	27	w
1822	23	s
1822	21	s
1822	28	s
1822	23	s
1822	27	s
1822	27	s
1822	24	s
1822	24	w
1822	30	w
1823	28	w
1823	29	s
1823	27	w
1838	22	w
1838	15	w
1838	22	s
1841	16	w
1843	21	w
1843	21	w
1843	21	w
1844	20	w
1844	19	w
1844	26	w
1844	19	w
1844	19	w
1844	18	w
1844	18	s
1844	11	s
1844	17	s
1844	17	s
1844	18	s
1844	26	w
1844	19	w
1845	22	w
1845	13	s
1846	16	w
1846	19	w
1846	24	s
1847	14	s
1847	7	s
1847	17	s
1847	11	s
1848	11	w
1848	12	w
1848	17	w
1848	16	w
1848	18	w
1848	11	w
1848	14	s
1848	12	w
1849	12	s
1849	10	s
1849	9	s
1849	9	s
1849	10	s
1849	8	s
1849	9	w
1849	12	w
1849	11	w
1849	13	w
1849	14	w
1849	12	w
1850	45	w
1850	10	w
1850	12	w
1850	12	w
1850	11	w
1850	11	s
1851	11	s
1854	11	w
1855	9	s
1855	9	s
1855	10	s
1855	9	w
1855	10	w
1856	10	w
1856	9	w
1856	11	s
1856	8	s
1856	8	s
1856	10	s
1856	8	w
1856	7	w
1856	9	w
1857	10	w
1857	8	w
1857	11	w
1857	12	w
1859	12	w
1859	10	w
1863	9	w
1863	7	w
1864	10	w
1864	9	w
1864	8	w
1864	8	w
1864	7	w
1864	8	w
1864	9	w
1864	10	w
1864	7	w
1864	8	w
1864	7	w
1864	7	w
1864	7	w
1864	7	w
1864	10	w
1864	9	w
1864	8	w
1864	7	w
1864	8	w
1864	7	w
1864	7	w
1864	8	w
1864	7	w
1864	9	w
1864	8	w
1864	7	s
1864	9	s
1864	8	s
1864	8	s
1864	8	s
1864	7	s
1864	9	s
1864	8	s
1864	8	s
1864	7	s
1864	8	s
1864	8	w
1864	7	w
1864	7	w
1864	8	w
1864	10	w
1864	9	w
1864	8	w
1864	8	w
