year	delta	season
1845	4	w
1846	18	s
1846	9	s
1848	9	w
1848	8	s
1849	9	s
1852	9	w
1852	9	s
1853	5	s
1853	8	w
1856	7	w
1856	6	w
1856	12	w
1856	5	w
1856	7	w
1856	6	w
1856	7	w
1856	7	w
1856	8	w
1856	7	w
1856	7	s
1857	12	s
1857	8	s
1857	4	s
1857	6	s
1857	7	s
1857	5	s
1857	7	s
1857	6	s
1857	5	s
1857	5	s
1857	6	s
1857	5	s
1857	3	s
1857	4	s
1857	6	s
1858	12	w
1858	9	w
1859	5	w
1859	8	w
1859	6	w
1859	5	w
1859	8	w
1859	4	w
1859	5	w
1859	4	w
1859	6	w
1859	9	w
1859	5	w
1859	7	w
1859	5	w
1859	6	w
1859	5	w
1859	5	w
1859	5	w
1859	5	w
1859	5	w
1859	5	w
1859	7	w
1859	4	w
1859	6	w
1859	5	w
1859	6	w
1859	7	w
1859	6	w
1859	6	w
1859	5	w
1859	7	w
1859	6	w
1859	6	w
1859	5	w
1859	7	w
1859	6	w
1859	6	w
1859	5	w
1859	4	w
1859	4	w
1859	6	w
1859	5	w
1859	5	w
1859	5	w
1859	6	w
1860	11	s
1861	6	w
1861	7	w
1861	7	w
1861	7	w
1861	7	w
1861	8	w
1861	5	w
1861	6	w
1861	5	w
1861	4	w
1861	7	w
1861	4	w
1861	7	w
1861	4	w
1861	3	w
1861	5	w
1861	4	w
1861	6	w
1861	9	w
1861	4	w
1863	4	w
1863	5	w
1863	4	w
1863	3	w
1863	5	w
1863	5	w
1863	4	w
1863	4	w
1863	4	w
1864	3	s
1866	3	s
1866	2	s
1866	3	s
1879	2	s
1881	2	s
