year	delta	season
1825	108	s
1839	45	w
1841	49	w
1842	36	w
1843	40	s
1843	69	s
1843	41	w
1844	38	w
1845	41	w
1852	15	s
1852	23	s
1853	24	w
1853	21	s
1853	12	w
1855	19	s
1855	24	w
1855	25	w
1855	16	w
1856	21	w
1856	13	w
1856	17	w
1863	3	w
1863	5	w
1863	19	s
1867	3	w
1869	3	s
1869	3	w
1869	2	w
1869	5	w
1869	2	w
1869	1	w
1869	4	w
1870	2	w
1870	3	w
1872	14	w
1875	3	s
1875	3	w
1875	1	w
1876	3	w
1876	16	w
1876	3	w
1876	5	s
1876	4	s
1876	13	s
1876	2	s
1876	3	s
1876	3	w
1876	3	w
1877	18	w
1877	2	s
1877	4	s
1877	2	s
1877	3	s
1878	2	s
1878	2	w
1878	3	w
1879	2	w
1879	3	w
1879	3	w
1879	2	w
1879	3	w
1879	3	w
1879	4	w
1879	1	w
1879	3	w
1879	2	s
1879	3	s
1879	4	s
1879	1	s
1879	1	s
1879	4	s
1879	2	s
1879	3	w
1879	1	w
1879	3	w
1879	3	w
1880	1	w
1880	2	w
1880	3	w
1880	17	w
1881	3	w
1881	2	w
1881	17	w
1881	15	s
1881	13	s
1881	3	s
1881	2	s
1881	3	w
1881	2	w
1881	1	w
1883	5	w
1883	2	w
1883	3	w
1883	1	w
1883	1	w
1883	2	w
1883	2	w
1883	3	w
1883	3	w
1883	3	w
1883	2	w
1883	2	s
1883	3	s
1883	1	s
1883	3	s
1883	1	s
1883	1	s
1883	1	s
1883	1	s
1883	1	s
1883	3	s
1883	1	s
1883	1	s
1883	3	s
1883	1	s
1883	2	s
1883	1	s
1883	1	s
1883	1	s
1883	1	s
1883	1	s
1883	1	s
1883	2	s
1883	3	s
1883	3	w
1883	3	w
1883	2	w
1883	2	w
1883	3	w
1883	3	w
1883	3	w
1883	2	w
1883	1	w
1883	1	w
1883	1	w
1883	2	w
1883	1	w
1883	1	w
1883	2	w
1883	3	w
1883	1	w
1883	1	w
1883	2	w
1883	3	w
1883	3	w
1883	3	w
1883	3	w
1883	1	w
1883	1	w
1883	1	w
1883	3	w
1883	1	w
1884	3	w
1884	1	w
1884	2	w
1884	3	w
1884	2	w
1884	1	w
1884	3	w
1884	1	w
1884	3	w
1884	2	w
1884	1	w
1884	2	w
1884	1	w
1884	1	w
1884	1	w
1884	2	w
1884	1	w
1884	1	w
1884	1	w
1884	1	w
1884	1	w
1884	2	w
1884	3	w
1884	1	w
1884	2	w
1884	1	w
1884	2	w
1884	1	w
1884	1	w
1884	1	w
1884	1	w
1884	1	w
1884	1	w
1884	1	w
1884	1	w
1884	2	w
1884	1	w
1884	1	w
1884	1	w
1884	2	w
1884	1	w
1884	1	w
1884	3	w
1884	1	w
1884	2	w
1884	1	w
1884	2	w
1884	1	w
1884	1	w
1884	2	w
1884	1	w
1884	3	w
1884	1	w
1884	1	w
1884	1	w
1884	1	w
1884	1	w
1884	2	w
1884	1	w
1884	1	w
1884	1	w
1884	1	w
1884	1	s
1884	4	s
1884	1	s
1884	1	s
1884	1	s
1884	2	s
1884	1	s
1884	1	s
1884	1	s
1884	2	s
1884	2	s
1884	1	s
1884	3	s
1884	2	s
1884	3	s
1884	3	s
1884	6	s
1884	1	s
1884	1	s
1884	1	s
1884	1	s
1884	3	s
1884	1	s
1884	1	s
1884	1	s
1884	2	s
1884	3	s
1884	2	s
1884	1	s
1884	3	s
1884	3	s
1884	1	s
1884	1	s
1884	1	s
1884	2	s
1884	2	s
1884	3	s
1884	1	w
1884	1	w
1884	2	w
1884	1	w
1884	2	w
1884	1	w
1884	2	w
1884	1	w
1884	1	w
1884	3	w
1884	1	w
1884	3	w
1884	3	w
1884	1	w
1884	3	w
1885	1	w
1885	6	w
1885	1	w
1885	1	w
1885	1	w
1885	1	w
1885	2	w
1885	2	w
1885	2	w
1885	3	w
1885	3	w
1885	3	w
1885	1	s
1885	2	s
1885	1	s
1885	3	s
1885	1	s
1885	1	s
1885	1	s
1885	1	s
1885	2	s
1885	1	s
1885	1	s
1885	1	s
1885	1	s
1885	1	s
1885	1	s
1885	1	s
1885	2	s
1885	3	s
1885	1	s
1885	2	s
1885	3	s
1885	1	s
1885	5	s
1885	3	s
1885	1	s
1885	2	w
1885	3	w
1886	3	w
1886	3	w
1886	2	w
1886	3	w
1886	1	s
1886	3	s
1886	3	s
1887	2	w
1887	3	w
1887	3	s
1888	1	s
1888	3	s
1888	1	w
