year	delta	season
1802	26	w
1802	28	w
1802	25	w
1802	23	s
1802	23	w
1805	26	s
1805	26	s
1805	24	s
1809	23	s
1810	23	w
1810	25	s
1810	23	s
1810	27	s
1810	22	s
1811	23	w
1811	25	w
1811	24	w
1811	21	w
1811	22	s
1811	25	s
1812	25	s
1812	28	s
1812	56	s
1813	21	w
1814	24	w
1814	20	w
1815	23	s
1815	20	s
1817	25	w
1817	22	s
1818	24	s
1818	22	w
1818	24	w
1818	22	w
1818	23	w
1818	23	w
1818	30	w
1819	24	w
1819	23	w
1819	22	w
1819	22	s
1819	22	s
1819	21	s
1819	22	s
1819	22	s
1819	21	s
1819	22	s
1819	23	s
1819	21	s
1819	23	s
1819	21	s
1819	18	s
1819	18	s
1819	20	s
1819	28	s
1820	22	s
1820	23	s
1820	22	s
1822	17	s
1828	17	s
1830	16	w
1830	17	w
1831	17	s
1831	25	s
1831	17	w
1832	14	w
1832	13	s
1832	16	s
1832	21	w
1833	16	w
1833	15	s
1833	11	s
1834	14	w
1834	11	w
1834	17	w
1834	10	w
1835	14	s
1835	99	s
1835	10	w
1835	10	w
1836	15	w
1836	13	w
1836	13	w
1836	16	w
1836	15	w
1836	11	s
1836	11	w
1836	17	w
1837	12	w
1837	11	w
1837	12	w
1837	10	w
1837	10	s
1837	72	s
1837	13	w
1838	15	w
1838	14	w
1838	13	s
1838	13	s
1838	12	s
1838	13	s
1838	12	w
1839	11	w
1839	11	w
1839	10	s
1839	11	s
1839	10	s
1839	13	s
1841	9	w
1841	14	s
1841	11	s
1841	12	s
1841	11	w
1841	11	w
1842	13	w
1842	11	s
1843	12	s
1843	10	s
1843	10	w
1844	10	w
1844	11	s
1844	11	w
1844	11	w
1845	12	w
1845	15	w
1845	9	w
1845	11	s
1845	9	s
1845	10	s
1845	11	s
1845	9	s
1845	9	s
1845	9	s
1845	9	s
1845	8	s
1845	9	s
1845	14	s
1845	8	w
1845	14	w
1845	10	w
1845	12	w
1845	8	w
1845	8	w
1846	11	w
1846	10	w
1846	11	w
1846	10	w
1846	10	w
1846	7	w
1846	11	s
1846	10	s
1846	10	s
1846	10	s
1846	11	s
1846	8	s
1846	11	s
1846	10	s
1846	10	s
1846	10	s
1846	11	w
1847	9	w
1847	8	w
1847	10	w
1847	13	w
1847	10	w
1847	11	w
1847	9	s
1847	12	s
1847	9	s
1847	14	s
1847	13	s
1847	15	s
1847	10	s
1847	9	s
1847	9	s
1847	9	s
1847	9	w
1847	10	w
1847	9	w
1848	11	w
1848	11	w
1848	11	w
1848	9	s
1848	9	s
1848	7	s
1848	7	s
1848	7	s
1848	7	s
1848	8	s
1848	7	s
1848	10	s
1848	8	s
1848	7	s
1848	7	s
1848	8	s
1848	8	s
1848	7	s
1848	6	s
1848	7	s
1848	8	s
1848	8	s
1848	8	s
1848	7	s
1848	9	s
1848	7	s
1848	8	s
1848	8	s
1848	7	s
1848	8	s
1848	8	s
1848	11	s
1848	8	s
1848	7	w
1848	9	w
1848	8	w
1848	11	w
1849	10	w
1849	10	s
1849	8	s
1849	7	s
1849	7	s
1849	8	s
1849	9	s
1849	9	s
1849	7	s
1849	9	s
1849	8	s
1849	7	s
1849	10	s
1849	9	s
1849	13	s
1849	10	s
1849	8	s
1849	11	s
1849	9	s
1849	11	s
1849	7	s
1849	9	s
1849	9	s
1849	9	s
1849	9	s
1849	9	s
1849	11	s
1849	8	s
1849	9	s
1849	8	s
1849	11	s
1849	7	s
1849	7	s
1849	7	s
1849	10	s
1849	8	s
1849	7	s
1849	9	s
1849	8	s
1849	7	s
1849	10	s
1849	8	s
1849	7	s
1849	11	s
1849	7	s
1849	8	s
1849	9	s
1849	9	s
1849	9	s
1849	9	s
1849	7	s
1849	7	s
1849	7	s
1849	8	s
1849	7	s
1849	7	s
1849	7	s
1849	7	s
1849	7	s
1849	12	s
1849	7	s
1849	10	s
1849	7	s
1849	9	s
1849	7	s
1849	9	s
1849	8	s
1849	7	s
1849	7	s
1849	8	s
1849	7	s
1849	7	s
1849	6	s
1849	7	s
1849	7	w
1849	9	w
1849	8	w
1850	10	w
1850	11	w
1850	10	w
1850	10	w
1850	11	w
1850	17	w
1850	9	w
1850	8	w
1850	5	w
1850	8	w
1850	9	w
1850	9	w
1850	9	w
1850	8	s
1850	10	s
1850	7	s
1850	8	s
1850	11	s
1850	7	s
1850	10	s
1850	7	s
1850	6	s
1850	8	s
1850	9	s
1850	9	s
1850	7	s
1850	9	s
1850	6	s
1850	8	s
1850	7	s
1850	8	s
1850	7	s
1850	8	s
1850	7	s
1850	6	s
1850	9	s
1850	11	s
1850	9	s
1850	7	w
1850	11	w
1850	9	w
1850	7	w
1850	6	w
1850	8	w
1850	9	w
1850	10	w
1850	9	w
1850	11	w
1850	9	w
1850	6	w
1850	9	w
1850	7	w
1850	9	w
1850	6	w
1850	9	w
1850	10	w
1850	9	w
1850	6	w
1850	9	w
1851	8	w
1851	6	w
1851	8	w
1851	7	w
1851	8	w
1851	7	w
1851	8	w
1851	9	s
1851	9	s
1851	8	s
1851	9	s
1851	8	s
1851	8	s
1851	16	s
1851	7	s
1851	7	s
1851	8	w
1852	9	w
1852	8	w
1852	8	w
1852	9	w
1852	9	s
1852	6	s
1852	5	s
1852	5	s
1852	6	s
1852	8	s
1852	5	s
1852	5	s
1852	7	s
1852	8	s
1852	9	s
1852	8	s
1852	8	s
1852	13	s
1852	9	s
1852	6	s
1852	8	s
1853	7	w
1853	12	w
1853	8	w
1853	8	s
1853	7	s
1853	5	s
1853	9	s
1853	6	s
1853	10	s
1853	7	s
1853	5	s
1853	6	w
1853	7	w
1853	7	w
1853	5	w
1853	4	w
1853	7	w
1853	6	w
1853	4	w
1853	10	w
1853	7	w
1853	4	w
1853	9	w
1853	7	w
1853	6	w
1853	5	w
1853	7	w
1853	6	w
1853	12	w
1853	7	w
1853	5	w
1853	6	w
1853	5	w
1853	6	w
1853	8	w
1853	6	w
1854	7	w
1854	4	w
1854	5	w
1854	6	w
1854	5	w
1854	4	w
1854	6	w
1854	9	w
1854	6	w
1854	5	w
1854	7	w
1854	8	w
1854	8	w
1854	5	w
1854	9	w
1854	6	w
1854	8	s
1854	10	s
1854	4	s
1854	7	s
1854	6	s
1854	6	s
1854	5	s
1854	4	s
1854	6	s
1854	5	s
1854	8	s
1854	5	s
1854	5	s
1854	6	s
1854	6	s
1854	7	s
1854	6	s
1854	9	s
1854	7	s
1854	6	s
1854	10	s
1854	10	s
1854	8	s
1854	6	s
1854	6	w
1854	5	w
1854	8	w
1854	6	w
1855	8	w
1855	5	w
1855	6	w
1855	7	s
1855	7	s
1855	7	s
1855	5	s
1855	7	s
1855	5	s
1855	8	s
1855	7	w
1855	6	w
1855	5	w
1855	8	w
1855	7	w
1856	4	w
1856	8	w
1856	6	w
1856	8	w
1856	7	w
1856	10	w
1856	6	s
1856	8	s
1856	5	s
1856	5	s
1856	5	s
1856	5	s
1856	6	s
1856	5	s
1856	6	s
1856	6	s
1856	5	s
1856	6	s
1856	5	s
1856	7	s
1856	7	s
1856	7	s
1856	6	s
1856	4	s
1856	5	s
