year	delta	season
1810	41	w
1810	38	s
1811	35	s
1811	35	s
1812	39	s
1812	34	s
1813	32	s
1815	31	s
1817	25	s
1827	47	s
1834	41	w
1842	19	s
1844	31	s
1845	44	s
1845	21	w
1848	27	s
1850	21	s
1850	25	w
1852	29	w
1858	11	w
1858	23	w
1859	25	s
1859	29	s
1863	4	s
1863	16	s
1866	22	s
1867	24	w
1868	3	w
1868	3	w
1870	4	s
1870	3	w
1871	13	w
1871	9	w
1872	16	w
1878	4	w
1879	10	w
1880	4	s
1881	2	s
1883	1	s
1883	1	s
1884	1	w
1884	1	w
1884	16	w
1884	2	s
1884	1	s
1884	2	s
1884	2	s
1884	3	s
1884	2	s
1884	3	s
1884	2	s
1884	2	s
1885	3	s
1885	2	s
1885	18	s
1885	8	s
1885	2	w
1886	1	s
1888	2	w
