year	delta	season
1804	23	w
1805	22	s
1806	18	s
1807	29	s
1807	29	w
1808	24	w
1808	23	w
1808	57	w
1808	21	s
1808	20	s
1808	23	s
1808	28	w
1808	27	w
1808	21	w
1809	21	w
1809	25	w
1809	20	w
1809	20	w
1809	20	s
1809	19	s
1809	19	s
1809	21	s
1809	18	s
1809	21	s
1809	21	s
1809	22	s
1809	23	s
1809	21	s
1809	23	w
1809	20	w
1810	21	w
1810	20	w
1810	20	w
1810	20	w
1810	20	w
1810	22	w
1810	23	w
1810	18	w
1810	22	s
1810	21	s
1810	20	s
1810	20	s
1810	22	s
1810	18	s
1810	20	w
1810	24	w
1810	21	w
1810	20	w
1811	20	w
1811	21	w
1811	17	w
1811	21	s
1811	18	s
1811	16	s
1811	20	w
1812	17	w
1812	17	w
1812	19	w
1812	21	s
1813	26	s
1813	21	s
1813	26	w
1814	23	w
1814	25	w
1815	17	w
1815	20	w
1816	23	s
1816	17	w
1816	23	w
1817	18	w
1817	22	s
1817	22	s
1817	18	s
1818	23	w
1818	32	w
1818	21	w
1818	19	w
1820	17	w
1820	18	s
1821	18	w
1821	26	s
1821	17	s
1822	21	w
1823	15	s
1830	13	s
1830	15	s
1831	18	w
1831	26	s
1831	15	s
1831	15	s
1831	13	w
1831	10	w
1832	13	w
1832	14	w
1833	6	s
1834	13	w
1834	10	w
1835	11	w
1835	13	s
1835	30	s
1835	16	w
1837	11	w
1838	12	w
1838	12	s
1838	10	w
1840	9	s
1841	8	w
1841	10	w
1841	15	w
1841	21	s
1842	10	s
1843	12	s
1844	11	s
1844	11	s
1845	9	s
1845	18	s
1845	7	s
1845	8	w
1846	7	w
1846	18	w
1846	7	s
1846	8	s
1846	7	w
1847	7	w
1847	7	w
1847	11	w
1847	8	w
1847	7	s
1847	14	s
1847	9	s
1847	7	w
1847	7	w
1847	11	w
1847	13	w
1847	9	w
1847	6	w
1848	9	w
1848	10	w
1848	7	w
1848	9	w
1848	12	s
1848	7	s
1848	7	s
1848	6	s
1848	10	s
1848	6	w
1849	10	w
1849	13	w
1849	7	w
1849	8	s
1849	7	s
1849	7	s
1849	10	s
1849	6	w
1849	10	w
1850	9	w
1850	11	w
1850	8	w
1850	7	s
1850	6	s
1850	7	s
1850	9	s
1850	8	s
1850	8	s
1850	8	s
1850	9	s
1850	7	s
1850	7	s
1850	5	s
1850	6	s
1850	7	s
1850	6	s
1850	6	s
1850	8	s
1850	7	s
1850	6	s
1850	8	s
1850	7	s
1850	4	s
1850	7	s
1850	5	s
1850	7	s
1850	8	s
1850	7	s
1850	6	s
1850	7	s
1850	6	s
1850	6	s
1850	7	s
1850	6	s
1850	7	s
1850	5	s
1850	6	s
1850	5	s
1850	6	s
1850	8	s
1850	7	s
1850	6	s
1850	8	s
1850	5	s
1850	7	s
1850	6	s
1850	6	s
1850	5	s
1850	7	s
1850	6	s
1850	5	s
1850	6	s
1850	5	s
1850	4	s
1850	7	s
1850	7	s
1850	5	s
1850	5	s
1850	7	s
1850	7	s
1850	5	s
1850	7	s
1850	7	w
1850	5	w
1850	6	w
1850	5	w
1850	5	w
1850	7	w
1850	7	w
1850	6	w
1850	5	w
1850	8	w
1850	5	w
1850	7	w
1850	8	w
1850	4	w
1850	5	w
1850	8	w
1850	6	w
1850	5	w
1850	8	w
1850	7	w
1850	6	w
1850	5	w
1850	5	w
1850	8	w
1850	5	w
1850	7	w
1850	6	w
1850	9	w
1850	7	w
1850	7	w
1850	6	w
1850	8	w
1850	7	w
1850	8	w
1850	7	w
1850	10	w
1850	8	w
1850	8	w
1850	7	w
1850	8	w
1850	6	w
1850	9	w
1850	6	w
1850	7	w
1850	8	w
1850	6	w
1850	9	w
1850	8	w
1850	7	w
1850	8	w
1850	8	w
1850	9	w
1850	8	w
1850	7	w
1850	8	w
1850	6	w
1850	9	w
1850	6	w
1850	6	w
1850	6	w
1850	5	w
1850	7	w
1850	6	w
1850	8	w
1850	7	w
1850	5	w
1850	5	w
1850	8	w
1850	7	w
1850	5	w
1850	5	w
1850	5	w
1850	7	w
1850	8	w
1850	8	w
1850	11	w
1850	9	w
1850	9	w
1850	8	w
1851	10	w
1851	9	w
1851	8	w
1851	7	w
1851	7	w
1851	8	w
1851	8	w
1851	8	w
1851	6	w
1851	7	w
1851	8	w
1851	7	w
1851	8	w
1851	8	w
1851	7	w
1851	8	w
1851	8	w
1851	9	w
1851	8	w
1851	9	w
1851	8	w
1851	12	w
1851	8	s
1851	8	s
1851	13	s
1851	7	s
1851	8	s
1851	11	s
1851	7	s
1851	7	s
1851	7	s
1851	8	s
1851	9	s
1851	6	s
1851	5	s
1851	5	s
1851	7	s
1851	6	s
1851	7	s
1851	6	s
1851	9	s
1851	7	s
1851	8	s
1851	9	s
1851	8	s
1851	7	s
1851	8	s
1851	15	s
1851	8	w
1851	10	w
1851	8	w
1851	9	w
1852	8	w
1852	7	w
1852	9	w
1852	11	w
1852	5	w
1852	8	w
1852	13	w
1852	9	s
1852	6	s
1852	9	s
1852	10	s
1852	6	s
1852	8	s
1852	16	s
1852	7	s
1852	7	s
1852	10	s
1852	8	s
1852	8	s
1852	8	s
1852	8	w
1852	9	w
1852	12	w
1852	7	w
1852	10	w
1852	8	w
1852	7	w
1853	10	w
1853	9	w
1853	7	s
1853	11	s
1853	9	s
1853	8	s
1853	6	s
1853	9	s
1853	6	s
1853	9	s
1853	6	s
1853	6	s
1853	5	w
1853	5	w
1853	9	w
1853	4	w
1853	11	w
1853	9	w
1853	6	w
1853	6	w
1853	6	w
1853	5	w
1853	7	w
1854	8	w
1854	5	w
1854	7	w
1854	7	w
1854	11	w
1854	11	w
1854	8	w
1854	10	w
1854	7	s
1854	6	s
1854	7	w
1854	4	w
1854	5	w
1854	5	w
1855	6	w
1855	8	w
1855	8	w
1855	6	w
1855	5	w
1855	5	w
1855	11	w
1855	7	s
1855	8	s
1855	8	s
1855	7	s
1855	14	s
1855	7	s
1855	7	s
1855	11	s
1855	5	w
1855	5	w
1855	6	w
1855	5	w
1855	7	w
1855	7	w
1856	5	w
1856	7	w
1856	8	w
1856	7	w
1856	9	w
1856	7	s
1856	5	s
1856	5	s
1856	6	s
1856	8	w
1856	6	w
1856	5	w
1857	11	w
1857	6	w
1857	7	s
1857	5	s
1857	6	s
1857	5	s
1857	6	s
1857	8	s
1857	6	w
1858	7	s
1858	7	s
1858	5	s
1858	7	s
1858	6	s
1858	4	s
1858	5	s
1858	7	s
1858	5	s
1858	5	s
1858	6	s
1858	7	s
1858	6	s
1858	6	s
1858	4	s
1858	6	s
1858	7	s
1858	6	s
1858	16	s
1858	6	s
1858	4	s
1858	6	s
1858	10	s
1858	6	s
1858	10	s
1858	8	s
1858	10	s
1858	6	s
1858	6	s
1858	4	s
1858	6	s
1858	6	w
1858	7	w
1858	5	w
1858	4	w
1858	6	w
1858	6	w
1858	11	w
1858	7	w
1858	4	w
1858	8	w
1858	10	w
1858	4	w
1858	8	w
1858	5	w
1858	7	w
1858	7	w
1858	4	w
1858	7	w
1858	6	w
1858	6	w
1858	12	w
1858	11	w
1858	16	w
1858	11	w
1859	8	w
1859	8	w
1859	7	w
1859	7	w
1859	8	w
1859	5	w
1859	8	w
1859	6	w
1859	5	w
1859	7	w
1859	5	s
1859	4	s
1859	4	s
1859	7	s
1859	10	s
1859	5	s
1859	7	s
1859	8	s
1859	7	s
1859	4	s
1859	6	s
1859	6	s
1859	6	s
1859	6	s
1859	5	s
1859	8	s
1859	6	s
1859	9	s
1859	12	s
1859	7	s
1859	8	s
1859	8	s
1859	7	s
1859	6	s
1859	6	w
1859	8	w
1859	3	w
1859	7	w
1859	6	w
