year	delta
1802	39
1809	35
1810	42
1811	30
1816	29
1821	33
1828	28
1835	16
1837	20
1837	19
1839	15
1841	14
1847	19
1848	35
1849	45
1857	27
1857	58
1857	34
1857	18
1858	36
1859	32
1859	30
1859	18
1860	25
1863	5
1863	5
1863	4
1863	5
1863	8
1863	4
1863	14
1863	13
1864	14
1864	21
1864	15
1865	14
1866	11
1866	12
1867	16
1867	18
1868	25
1868	17
1868	1
1868	2
1869	1
1869	1
1869	2
1869	2
1869	2
1869	3
1869	2
1869	2
1869	2
1870	3
1870	4
1870	2
1870	9
1870	2
1870	3
1870	3
1870	3
1870	3
1870	2
1870	1
1871	3
1871	2
1871	3
1871	2
1871	2
1871	2
1871	3
1871	4
1871	4
1871	3
1871	16
1871	4
1871	17
1871	5
1871	2
1871	2
1871	2
1871	2
1872	2
1872	2
1872	6
1872	3
1872	7
1872	4
1872	2
1872	2
1873	1
1873	1
1874	10
1874	6
1875	15
1876	12
1877	1
1877	3
1877	3
1878	9
1878	2
1878	3
1879	3
1879	1
1879	12
1879	3
1880	15
1880	2
1880	3
1880	11
1880	1
1880	2
1880	2
1880	1
1881	2
1881	9
1881	9
1881	10
1881	2
1881	2
1881	3
1881	5
1881	8
1881	5
1881	12
1881	15
1883	2
1883	7
1883	2
1883	3
1883	1
1883	2
1883	1
1883	1
1884	1
1884	3
1884	1
1884	2
1884	3
1884	1
1884	10
1884	1
1884	1
1884	2
1884	1
1884	1
1884	1
1884	1
1884	3
1885	1
1885	2
1885	2
1885	2
1885	7
1885	2
1885	2
1885	2
1885	1
1886	1
1886	3
1886	6
1886	6
1886	4
1886	2
1887	1
1887	5
1887	6
1887	1
1887	1
1887	3
1887	2
1887	2
1887	2
1887	6
1888	13
1888	2
1888	1
1888	2
1888	2
1888	1
1888	2
1888	5
1888	2
1888	3
1888	9
1888	4
