year	delta	season
1814	20	w
1815	20	s
1818	21	w
1818	21	s
1820	18	s
1824	22	w
1824	21	w
1830	18	w
1831	14	w
1840	11	s
1840	10	s
1841	9	s
1841	11	w
1842	20	w
1842	10	s
1842	7	s
1842	5	s
1843	9	w
1843	10	s
1843	10	s
1843	9	w
1844	9	w
1844	11	w
1844	10	w
1844	12	w
1844	9	s
1844	10	s
1844	17	s
1845	11	w
1845	21	w
1845	9	s
1845	10	s
1845	9	s
1845	11	s
1845	7	s
1845	8	s
1845	9	s
1845	10	s
1845	9	s
1845	10	s
1846	10	w
1846	10	w
1846	9	s
1846	9	s
1846	8	s
1846	8	s
1846	11	s
1846	9	w
1846	10	w
1846	7	w
1847	12	w
1847	10	w
1847	9	s
1847	11	s
1847	8	s
1847	9	w
1847	10	w
1848	11	w
1848	10	w
1848	8	w
1848	10	w
1848	7	w
1848	9	w
1848	9	s
1848	8	s
1848	9	w
1848	8	w
1848	8	w
1848	13	w
1848	11	w
1848	11	w
1849	8	w
1849	13	w
1849	7	s
1849	9	s
1849	7	s
1849	5	s
1849	8	s
1849	8	s
1849	10	s
1849	10	w
1850	9	w
1850	9	w
1850	9	s
1850	8	s
1850	10	s
1850	7	s
1850	7	w
1850	7	w
1851	6	s
1851	6	s
1851	6	s
1851	11	s
1852	7	w
1852	7	s
1852	6	s
1852	7	s
1852	6	s
1852	9	s
1852	7	s
1852	8	s
1852	6	s
1852	10	w
1852	7	w
1853	11	w
1853	10	s
1853	11	s
1853	7	s
1853	6	s
1853	7	w
1854	7	w
1854	6	w
1854	6	w
1854	7	w
1854	5	w
1854	6	w
1854	8	w
1854	7	w
1854	7	w
1854	6	s
1854	6	s
1854	7	s
1854	6	s
1854	6	s
1854	7	s
1854	6	s
1855	5	s
1855	5	s
1855	4	s
1855	5	s
1855	6	s
1855	7	s
1855	13	w
1856	7	s
1856	6	s
1856	9	w
1856	10	w
1857	5	w
1857	6	s
1857	5	s
1857	6	s
1857	6	s
1857	6	s
1857	5	s
1857	7	s
1857	6	s
1857	6	s
1857	10	s
1857	5	s
1857	5	s
1857	10	s
1857	6	w
1857	5	w
1857	5	w
1857	5	w
1858	4	w
1858	5	w
1858	11	s
1858	8	s
1858	9	s
1858	9	w
1858	7	w
1858	5	w
1858	10	w
1859	7	w
1859	9	w
1859	6	w
1859	6	w
1859	7	s
1859	6	s
1859	7	s
1859	13	s
1860	7	w
1860	9	w
1860	7	w
1860	6	s
1860	7	s
1860	5	w
1860	5	w
1860	5	w
1862	9	w
1862	8	s
1863	8	s
1864	11	w
1866	4	s
1867	4	w
1867	13	s
1867	13	s
1868	3	s
1869	2	w
1870	4	s
1870	3	s
1871	2	s
1872	5	s
1872	2	s
1872	2	s
1874	2	w
1874	2	s
1875	6	w
1875	3	s
1877	3	s
1880	3	w
1881	2	s
1884	2	w
1886	14	s
1888	2	s
