year	delta	season
1814	28	w
1839	34	s
1839	9	w
1841	10	s
1841	8	s
1842	12	w
1843	13	s
1845	10	s
1845	10	s
1845	16	w
1848	12	s
1848	10	w
1848	14	w
1849	8	s
1850	10	w
1850	9	w
1852	11	w
1853	13	s
1853	9	s
1853	6	s
1853	6	s
1853	8	s
1853	7	s
1854	6	s
1855	9	w
1855	8	s
1855	7	w
1857	6	w
1857	5	s
1857	8	w
1858	6	s
1858	6	s
1858	8	s
1858	6	s
1858	11	s
1858	7	w
1859	6	w
1859	7	s
1859	7	s
1859	7	w
1859	10	w
1860	6	w
1860	42	w
1860	10	s
1860	7	s
1860	12	s
1860	5	s
1860	9	s
1860	8	s
1860	4	s
1860	8	s
1860	6	s
1860	6	s
1860	6	s
1860	9	s
1860	8	s
1860	7	w
1861	8	s
1861	6	s
1861	7	s
1861	7	s
1861	6	s
1861	7	w
1861	6	w
1861	8	w
1861	11	w
1861	9	w
1861	8	w
1862	9	w
1862	10	w
1862	8	s
1862	6	s
1862	7	s
1862	7	s
1862	6	s
1862	5	s
1862	5	s
1863	5	w
1863	5	w
1863	6	w
1863	7	s
1863	4	s
1863	3	w
1863	10	w
1863	6	w
1863	4	w
1863	6	w
1864	7	w
1864	4	w
1864	5	w
1864	6	w
1864	8	w
1865	5	s
1866	11	w
1869	12	s
1869	7	s
1869	5	w
1871	4	w
1872	3	s
1874	7	s
1878	3	s
1879	10	w
1881	6	w
1883	1	s
