year	delta
1802	36
1802	51
1802	54
1802	54
1802	55
1802	52
1802	48
1802	22
1802	49
1802	43
1802	49
1802	48
1802	52
1802	48
1803	51
1803	48
1803	45
1803	54
1803	28
1803	46
1803	46
1803	40
1803	47
1803	48
1803	45
1803	57
1803	48
1804	61
1804	54
1804	56
1804	51
1804	52
1804	49
1804	52
1804	52
1804	43
1804	49
1804	53
1804	45
1804	50
1804	66
1804	47
1804	51
1804	39
1804	49
1804	54
1805	62
1805	70
1805	58
1805	58
1805	58
1805	54
1805	71
1805	56
1805	53
1805	50
1805	58
1805	54
1805	42
1805	47
1805	50
1805	45
1805	47
1805	44
1805	47
1805	46
1805	45
1805	52
1806	81
1806	54
1806	52
1806	29
1806	45
1806	45
1806	47
1806	51
1806	58
1806	50
1806	57
1806	51
1806	45
1806	43
1806	46
1806	44
1806	45
1806	63
1806	57
1806	68
1807	59
1807	52
1807	67
1807	74
1807	102
1807	80
1807	87
1807	51
1807	55
1807	58
1807	57
1808	52
1808	60
1808	55
1808	55
1808	55
1808	47
1808	61
1808	56
1808	41
1809	54
1809	56
1809	60
1809	60
1810	66
1810	59
1810	29
1810	62
1810	61
1810	56
1810	60
1811	67
1811	64
1811	53
1811	57
1811	51
1811	53
1811	61
1811	56
1811	53
1811	59
1811	58
1812	71
1812	58
1815	57
1815	50
1816	60
1816	56
1816	58
1816	54
1816	53
1816	41
1816	47
1816	51
1816	50
1817	53
1817	49
1817	50
1817	38
1817	44
1817	53
1817	49
1817	49
1817	49
1818	54
1818	49
1818	61
1818	51
1818	47
1818	50
1818	53
1818	49
1818	52
1818	50
1819	49
1819	58
1819	65
1819	45
1819	56
1819	60
1819	57
1819	56
1819	53
1819	51
1819	51
1819	51
1819	54
1819	47
1819	50
1819	54
1819	49
1819	47
1819	52
1820	51
1820	50
1820	57
1820	61
1820	51
1820	45
1820	59
1820	47
1820	48
1820	25
1820	52
1821	52
1821	51
1821	49
1821	38
1821	41
1821	46
1821	44
1821	47
1821	50
1821	49
1821	44
1821	25
1821	52
1821	40
1821	57
1821	48
1821	50
1821	56
1821	45
1821	50
1821	44
1821	46
1822	47
1822	54
1822	42
1822	46
1822	44
1822	47
1822	44
1822	40
1822	42
1822	33
1822	37
1822	42
1822	41
1822	42
1822	45
1822	37
1822	42
1822	51
1822	40
1822	43
1822	40
1822	34
1822	44
1822	39
1822	35
1822	42
1822	45
1822	44
1822	43
1822	46
1822	39
1822	46
1823	49
1823	45
1823	48
1823	46
1823	53
1823	48
1823	39
1823	43
1823	48
1823	56
1823	43
1823	54
1823	42
1823	45
1823	41
1823	45
1823	45
1823	41
1823	44
1823	47
1823	40
1823	47
1823	39
1823	42
1823	44
1823	39
1823	34
1823	43
1823	43
1823	42
1823	45
1823	48
1823	50
1823	53
1824	49
1824	51
1824	48
1824	45
1824	43
1824	45
1824	51
1824	50
1824	44
1824	50
1824	45
1824	47
1824	29
1824	54
1824	50
1824	42
1824	39
1824	42
1824	41
1824	38
1824	45
