year	delta	season
1803	20	s
1803	18	s
1803	18	s
1803	21	s
1803	18	s
1803	22	w
1803	21	w
1803	22	w
1804	18	w
1804	35	w
1804	18	w
1804	18	w
1804	18	w
1804	18	s
1804	18	s
1804	18	s
1804	18	s
1804	21	s
1804	18	s
1804	18	s
1804	18	w
1804	18	w
1804	18	w
1804	28	w
1804	18	w
1805	18	w
1805	21	w
1805	18	w
1805	21	w
1805	21	w
1805	21	w
1805	19	w
1805	18	w
1805	18	w
1805	18	s
1805	18	s
1805	18	s
1806	21	w
1806	21	w
1806	21	w
1806	18	w
1806	22	w
1806	21	w
1806	21	w
1806	21	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	18	s
1806	17	s
1806	36	w
1806	37	w
1807	39	w
1807	28	w
1807	42	w
1807	35	w
1807	56	w
1807	71	w
1807	57	s
1807	53	s
1807	56	s
1807	53	s
1807	32	s
1807	25	s
1807	25	s
1807	25	s
1807	25	s
1807	28	s
1807	36	s
1807	32	s
1807	32	s
1807	28	s
1807	30	w
1807	29	w
1807	28	w
1807	28	w
1807	29	w
1807	32	w
1807	29	w
1807	33	w
1807	28	w
1807	25	w
1807	24	w
1808	24	w
1808	28	w
1808	25	w
1808	25	w
1808	20	w
1808	25	w
1808	25	w
1808	30	w
1808	33	w
1808	25	w
1808	25	w
1808	22	w
1808	25	w
1808	41	w
1808	29	w
1808	25	s
1808	21	s
1808	22	s
1808	26	s
1808	33	s
1808	29	s
1808	25	s
1808	22	s
1808	25	s
1808	22	s
1808	22	s
1808	23	s
1808	22	s
1808	18	s
1808	22	s
1808	21	s
1808	21	s
1808	28	s
1808	22	s
1808	21	s
1808	29	s
1808	21	s
1808	22	s
1808	21	s
1808	20	s
1808	25	w
1808	29	w
1808	21	w
1809	21	w
1809	22	w
1809	21	w
1809	25	w
1809	27	w
1809	25	w
1809	18	w
1809	25	w
1809	21	w
1809	18	s
1809	18	s
1809	18	s
1809	18	s
1809	18	s
1809	22	w
1809	25	w
1810	21	w
1810	21	w
1810	22	w
1810	21	w
1810	17	w
1810	18	w
1810	18	s
1810	18	s
1810	18	s
1810	18	s
1810	18	s
1810	18	s
1810	18	s
1810	18	s
1810	18	s
1810	22	s
1810	18	s
1810	19	s
1810	21	s
1810	25	s
1810	18	s
1810	18	s
1810	18	s
1810	18	s
1810	18	s
1810	18	s
1810	19	w
1810	18	w
1810	19	w
1810	18	w
1810	18	w
1810	18	w
1810	22	w
1811	36	w
1811	18	w
1811	21	w
1811	29	w
1811	26	w
1811	22	w
1811	18	s
1811	18	s
1811	21	s
1811	18	s
1811	22	s
1811	18	s
1812	28	w
1812	22	w
1812	18	w
1812	18	w
1812	22	w
1812	19	w
1812	21	w
1812	21	w
1812	18	w
1812	25	s
1812	18	s
1812	18	s
1812	18	s
1812	29	s
1813	32	w
1813	21	w
1813	19	s
1813	22	s
1813	20	s
1814	24	w
1814	22	s
1814	25	s
1814	18	s
1814	18	s
1814	18	s
1814	18	s
1814	18	s
1814	18	s
1814	18	w
1814	18	w
1815	22	w
1815	18	s
1815	18	s
1815	18	s
1815	22	s
1815	18	s
1815	18	w
1815	18	w
1816	21	w
1816	22	w
1816	18	w
1816	18	s
1816	18	s
1816	18	s
1816	22	s
1816	18	s
1816	18	s
