year	delta
1805	25
1817	29
1818	25
1831	12
1832	16
1832	7
1834	13
1834	13
1835	14
1836	11
1836	13
1836	14
1836	11
1836	14
1836	14
1836	17
1836	44
1838	43
1839	9
1839	10
1840	8
1840	10
1841	12
1842	12
1843	9
1844	12
1844	15
1845	8
1846	9
1846	10
1846	12
1846	13
1846	12
1846	7
1846	11
1846	7
1846	11
1846	7
1846	10
1846	12
1846	11
1846	8
1846	15
1846	15
1846	13
1846	13
1847	7
1847	7
1847	9
1847	14
1847	13
1847	21
1847	6
1847	7
1847	10
1847	8
1847	8
1847	9
1847	14
1848	10
1848	7
1848	9
1848	8
1848	7
1848	9
1848	8
1848	7
1848	9
1848	7
1848	10
1848	10
1849	12
1849	6
1849	14
1849	14
1849	12
1849	8
1849	6
1849	11
1849	9
1849	8
1849	9
1849	8
1849	12
1849	13
1850	11
1850	10
1850	6
1850	7
1850	11
1850	8
1851	8
1851	37
1851	8
1853	14
1854	8
1854	10
1854	7
1854	12
1855	12
1855	5
1855	5
1860	5
1861	4
1862	8
1863	7
1863	5
1863	5
1863	4
1863	3
1863	4
1863	5
1863	4
1863	4
1863	4
1863	4
1863	4
1863	6
1863	4
1863	3
1863	3
1863	3
1863	5
1863	4
1863	3
1863	3
1863	4
1863	19
1863	18
1863	4
1863	3
1863	4
1863	3
1863	3
1863	5
1863	8
1863	5
1863	4
1863	5
1863	4
1863	2
1868	3
1868	2
1868	3
1869	5
1869	7
1869	6
1869	6
1869	2
1869	6
1869	4
1869	3
1871	2
1872	6
1876	5
1879	1
1880	4
1880	4
1880	15
1880	14
1880	3
1883	1
1883	5
1883	12
1884	3
1884	3
1884	2
1885	3
1886	3
1887	1
