year	delta	season
1867	12	w
1868	12	w
1868	12	w
1870	12	w
1870	12	w
1871	12	w
1871	12	w
1871	12	w
1871	12	w
1871	12	w
1871	14	w
1871	12	w
1871	14	w
1871	12	w
1872	12	w
1873	13	w
1873	12	w
1873	12	w
1873	15	s
1878	12	w
1878	12	w
1878	12	w
1878	11	w
1879	12	w
1879	12	w
1879	13	w
1879	12	w
1879	11	s
1879	12	s
1879	13	s
1880	13	w
1880	12	w
1880	12	w
1880	12	w
1880	12	w
1880	12	w
1880	12	w
1880	12	s
1881	12	w
1881	12	w
1881	13	w
1881	12	w
1881	8	s
1881	12	s
1883	12	w
1883	12	w
1883	12	w
1883	13	w
1883	12	w
1883	12	w
1883	12	w
1883	12	w
1883	41	w
1883	12	w
1883	12	w
1883	12	w
1883	12	w
1883	12	w
1883	12	w
1883	13	w
1883	13	s
1884	13	w
1884	12	w
1884	12	w
1884	12	w
1884	12	w
1884	13	w
1884	12	w
1884	12	w
1884	12	w
1884	12	w
1885	12	w
1885	12	w
1885	12	w
1885	12	w
1885	12	w
1886	12	w
1886	12	w
1886	13	w
1886	12	w
1886	12	w
1886	12	w
1886	12	w
1886	12	w
1887	12	w
1887	12	w
1888	12	w
1888	12	w
1888	13	w
1888	12	w
1888	12	w
1888	12	w
1888	12	w
