year	delta	season
1803	18	s
1806	16	s
1808	20	w
1809	13	s
1809	15	s
1809	15	s
1809	16	s
1809	15	s
1809	18	s
1809	14	s
1809	15	s
1809	23	s
1809	18	s
1809	15	s
1809	19	s
1809	25	w
1810	26	s
1810	19	s
1810	16	s
1811	20	s
1811	19	s
1811	23	s
1811	19	s
1811	19	s
1814	15	s
1826	20	s
1832	10	w
1833	18	s
1833	10	s
1833	13	w
1833	8	w
1834	10	s
1834	5	s
1834	11	w
1834	9	w
1834	13	w
1835	5	w
1835	5	w
1835	8	w
1836	12	w
1836	11	s
1836	5	s
1836	8	s
1836	9	w
1836	7	w
1837	10	w
1838	8	s
1838	8	s
1838	7	s
1839	6	s
1839	12	w
1839	7	w
1839	6	w
1840	7	s
1841	10	w
1842	9	s
1842	11	s
1842	7	w
1843	12	s
1843	7	w
1843	8	w
1843	8	w
1843	10	w
1844	9	s
1844	11	w
1844	8	w
1845	8	s
1845	4	s
1845	20	s
1845	9	w
1845	9	w
1845	7	w
1846	14	s
1846	11	w
1847	10	s
1847	12	s
1848	11	s
1848	11	w
1849	18	w
1849	15	w
1849	13	w
1849	20	w
1849	10	s
1849	9	s
1849	3	w
1849	11	w
1849	8	w
1850	11	s
1850	8	w
1852	9	s
1852	10	w
1853	7	s
1853	10	s
1853	9	s
1854	6	s
1854	6	s
1854	10	s
1854	7	s
1854	1	s
1855	18	s
1856	5	w
1856	7	w
1856	9	w
1859	5	s
1860	7	s
1860	9	s
1861	6	s
1861	6	s
1861	6	w
1862	5	s
1862	5	s
1862	6	s
1862	9	s
1862	6	s
1862	8	s
1862	7	w
1863	15	s
1863	7	s
1863	8	s
1864	8	s
1865	4	w
1865	6	w
1866	13	s
1867	8	w
1867	7	s
1867	5	s
1867	6	s
1867	6	s
1867	6	s
1867	2	w
1867	8	w
1867	4	w
1868	2	s
1868	2	s
1868	2	s
1868	2	s
1868	2	s
1868	5	s
1868	2	s
1868	3	s
1868	2	s
1868	2	s
1868	3	s
1868	3	s
1868	2	s
1868	6	s
1868	2	s
1868	2	s
1868	2	s
1868	2	w
1868	1	w
1868	2	w
1868	6	w
1868	6	w
1868	9	w
1869	1	s
1869	2	s
1869	1	s
1869	7	w
1869	5	w
1869	6	w
1869	7	w
1869	6	w
1870	1	s
1870	4	s
1870	3	s
1870	3	s
1870	3	s
1870	1	s
1870	1	w
1870	3	w
1870	2	w
1870	5	w
1870	2	w
1870	5	w
1870	4	w
1870	3	w
1870	6	w
1871	1	w
1871	3	s
1871	2	s
1871	2	s
1871	1	s
1871	6	s
1871	3	s
1871	2	s
1871	2	s
1871	2	s
1871	2	w
1871	2	w
1871	3	w
1871	2	w
1872	3	w
1872	2	s
1872	1	s
1872	3	s
1872	3	s
1872	4	s
1872	4	s
1873	2	s
1874	1	s
1874	16	s
1874	9	w
1875	7	w
1876	1	s
1876	1	s
1876	3	s
1877	2	s
1878	4	s
1879	1	w
1879	1	s
1879	1	s
1879	5	s
1880	2	w
1881	3	s
1881	2	s
1881	2	s
1881	2	s
1881	7	w
1883	1	w
1883	1	s
1883	1	s
1883	2	s
1883	1	s
1883	14	s
1883	1	s
1883	2	s
1883	1	s
1883	1	w
1883	1	w
1884	1	w
1884	1	s
1884	1	s
1884	2	s
1884	1	s
1884	2	s
1884	1	s
1884	2	s
1885	2	s
1885	1	s
1885	1	s
1885	1	s
1885	1	s
1885	2	s
1885	2	w
1885	2	w
1885	2	w
1885	1	w
1886	2	s
1886	1	s
1886	1	s
1886	2	w
1886	1	w
1887	2	w
1887	1	s
1887	4	s
1887	2	s
1888	2	s
1888	1	s
1888	2	s
1888	1	s
1888	2	s
1888	2	s
1888	1	s
