year	delta	season
1803	23	w
1814	20	w
1815	20	s
1818	19	w
1819	19	s
1819	19	w
1821	19	s
1821	19	w
1829	13	w
1829	14	s
1831	19	w
1831	11	s
1831	12	w
1836	10	w
1837	12	w
1838	10	w
1838	14	w
1838	10	s
1838	11	w
1838	11	w
1838	11	w
1839	6	w
1839	7	w
1839	7	w
1839	11	w
1839	8	s
1839	4	s
1840	4	w
1840	4	s
1840	7	s
1841	16	w
1841	6	w
1841	7	s
1841	8	s
1841	6	s
1841	8	s
1841	12	s
1841	7	s
1841	10	s
1841	19	w
1842	11	w
1842	6	s
1842	12	s
1842	11	s
1842	9	s
1842	9	s
1842	10	s
1842	11	s
1842	10	s
1843	10	w
1843	9	s
1843	6	s
1843	9	s
1843	9	s
1843	11	s
1843	10	w
1843	10	w
1843	10	w
1844	13	w
1844	13	w
1844	8	s
1844	10	s
1844	9	s
1844	10	s
1844	12	s
1844	9	s
1844	11	s
1844	10	w
1844	18	w
1844	9	w
1845	9	w
1845	16	w
1845	16	w
1845	11	s
1845	12	s
1845	9	s
1845	10	s
1845	12	s
1845	9	s
1845	10	s
1845	9	s
1845	14	s
1845	9	s
1845	10	s
1845	8	s
1845	9	s
1845	9	s
1845	7	s
1845	15	s
1845	10	w
1845	13	w
1845	16	w
1845	14	w
1845	11	w
1845	12	w
1846	9	w
1846	11	w
1846	8	w
1846	17	w
1846	13	w
1846	14	w
1846	14	s
1846	8	s
1846	12	s
1846	9	s
1846	8	s
1846	10	s
1846	8	s
1846	9	s
1846	8	s
1846	10	s
1846	12	w
1846	25	w
1846	10	w
1846	13	w
1846	14	w
1846	15	w
1847	15	w
1847	9	w
1847	10	w
1847	15	w
1847	9	w
1847	11	w
1847	8	w
1847	11	w
1847	10	w
1847	8	s
1847	8	s
1847	6	s
1847	8	s
1847	8	s
1847	13	s
1847	8	s
1847	13	s
1847	12	s
1847	8	s
1847	11	s
1847	9	s
1847	6	s
1847	5	s
1847	5	s
1847	10	s
1847	8	s
1847	10	w
1847	8	w
1847	9	w
1847	9	w
1847	10	w
1847	10	w
1847	11	w
1848	11	w
1848	8	w
1848	8	w
1848	7	w
1848	7	w
1848	8	w
1848	9	w
1848	10	w
1848	9	w
1848	7	w
1848	7	w
1848	5	w
1848	8	w
1848	10	w
1848	6	s
1848	13	s
1848	7	s
1848	7	s
1848	6	s
1848	10	s
1848	6	s
1848	8	s
1848	8	s
1848	8	s
1848	7	s
1848	5	s
1848	6	s
1848	7	s
1848	7	s
1848	7	s
1848	10	s
1848	6	s
1848	7	s
1848	6	s
1848	6	s
1848	7	s
1848	7	s
1848	7	s
1848	6	s
1848	8	s
1848	7	s
1848	6	s
1848	7	s
1848	7	w
1848	9	w
1848	7	w
1848	8	w
1848	8	w
1848	7	w
1848	8	w
1848	8	w
1848	10	w
1848	7	w
1848	8	w
1848	10	w
1849	6	w
1849	13	w
1849	6	s
1849	5	s
1849	6	s
1849	10	s
1849	8	s
1849	12	s
1849	7	w
1849	11	w
1849	8	w
1849	10	w
1850	8	w
1850	11	w
1850	11	s
1850	7	s
1850	7	s
1850	7	s
1850	11	s
1850	5	s
1850	9	w
1850	8	w
1851	8	w
1851	9	w
1851	9	w
1851	5	s
1851	6	s
1851	7	w
1851	17	w
1852	7	w
1852	6	w
1852	6	w
1852	7	w
1852	7	s
1852	8	s
1852	6	s
1852	6	s
