year	delta	season
1802	23	w
1802	22	s
1802	21	s
1803	29	w
1803	33	w
1804	24	w
1804	24	w
1806	35	w
1806	26	s
1806	27	s
1806	27	s
1807	15	w
1807	18	w
1807	17	w
1807	13	w
1807	10	w
1807	13	w
1807	13	w
1807	9	w
1807	10	w
1807	12	w
1807	11	w
1807	10	w
1807	14	w
1807	11	w
1807	9	w
1807	11	w
1807	14	w
1807	10	w
1807	12	w
1807	19	w
1807	34	w
1807	43	w
1807	11	s
1807	40	w
1807	10	s
1807	8	s
1807	4	s
1807	13	s
1807	11	s
1807	9	s
1807	30	s
1807	38	s
1807	13	s
1807	46	s
1808	25	w
1808	20	w
1808	27	w
1808	26	s
1808	19	s
1808	21	w
1808	20	w
1809	14	w
1809	25	s
1809	25	s
1809	24	w
1810	21	w
1810	23	w
1810	24	s
1810	28	s
1810	36	w
1811	33	w
1811	7	s
1811	9	s
1811	20	s
1811	21	s
1811	19	s
1811	20	s
1811	26	w
1812	20	w
1812	37	s
1812	19	s
1812	41	s
1812	28	w
1812	29	w
1813	11	w
1813	10	w
1813	10	w
1813	10	w
1813	11	w
1813	9	w
1813	9	w
1813	11	w
1813	12	w
1813	9	s
1813	10	s
1813	7	s
1813	7	s
1813	11	s
1813	13	s
1813	11	s
1813	10	s
1813	10	s
1813	9	s
1813	9	s
1813	10	w
1814	10	w
1814	6	s
1815	7	s
1815	19	s
1816	22	s
1818	20	w
1818	19	s
1818	24	s
1818	20	s
1818	25	w
1820	23	s
1825	24	w
1825	20	w
1825	18	w
1829	20	w
1829	13	w
1829	12	s
1829	12	s
1829	13	s
1831	14	s
1831	14	s
1831	14	w
1831	13	w
1832	16	s
1837	30	s
1837	15	w
1838	12	s
1839	12	s
1839	7	s
1839	9	s
1839	14	s
1839	9	w
1839	9	w
1840	9	w
1840	10	w
1840	8	s
1840	7	s
1840	11	s
1840	9	s
1840	10	s
1841	8	w
1841	8	w
1841	10	w
1841	15	s
1842	8	w
1842	11	w
1842	8	s
1842	12	s
1842	10	s
1843	8	s
1843	8	s
1843	9	s
1843	10	s
1843	8	s
1843	8	s
1843	8	s
1843	8	s
1843	13	w
1843	7	w
1843	8	w
1844	9	w
1844	7	w
1844	15	w
1844	11	s
1844	8	s
1844	8	s
1844	7	s
1844	9	s
1844	18	w
1844	7	w
1844	10	w
1845	7	w
1845	9	w
1845	14	s
1845	13	s
1845	37	s
1845	11	s
1845	19	s
1845	13	s
1845	14	s
1845	8	s
1845	16	s
1845	11	s
1845	6	s
1845	14	s
1845	13	s
1845	8	s
1845	5	s
1845	4	s
1845	8	s
1845	10	w
1845	8	w
1845	16	w
1845	9	w
1845	14	w
1845	16	w
1845	19	w
1846	12	w
1846	15	w
1846	16	w
1846	10	w
1846	12	w
1846	17	w
1846	12	w
1846	15	w
1846	12	w
1846	9	w
1846	24	w
1846	8	s
1846	11	s
1846	10	s
1846	17	s
1846	7	s
1846	7	s
1846	8	s
1846	8	s
1846	3	s
1846	9	s
1846	8	w
1846	8	w
1846	11	w
1846	9	w
1846	9	w
1846	14	w
1846	9	w
1847	8	w
1847	10	w
1847	13	w
1847	9	w
1847	12	w
1847	9	w
1847	8	w
1847	25	w
1847	8	w
1847	10	w
1847	9	s
1847	9	s
1847	10	s
1847	8	s
1847	7	s
1847	16	s
1847	9	s
1847	9	s
1847	9	s
1847	7	s
1847	12	s
1847	9	s
1847	9	s
1847	8	s
1847	17	s
1847	8	s
1847	7	s
1847	8	s
1847	7	s
1847	9	s
1847	9	s
1847	12	s
1847	11	s
1847	13	s
1847	7	s
1847	11	s
1847	8	w
1847	10	w
1847	10	w
1847	7	w
1847	15	w
1847	51	w
1847	8	w
1847	9	w
1848	18	w
1848	7	w
1848	11	w
1848	10	w
1848	8	w
1848	9	w
1848	8	w
1848	8	s
1848	9	s
1848	7	s
1848	7	s
1848	7	s
1848	7	s
1848	8	s
1848	8	s
1848	8	s
1848	7	w
1848	7	w
1848	8	w
1848	7	w
1849	14	w
1849	13	s
1849	9	s
1849	8	w
1849	9	w
1849	10	w
1849	6	w
1849	20	w
1850	12	w
1850	8	w
1850	10	w
1850	9	w
1850	8	w
1850	7	w
1850	9	s
1850	7	s
1850	8	s
1850	7	s
1850	7	s
1850	7	s
1850	7	s
1850	6	s
1850	10	w
1850	11	w
1851	10	w
1851	6	s
1851	7	s
1851	8	s
1851	7	s
1851	7	s
1851	9	s
1851	7	s
1851	6	s
1851	7	s
1851	7	s
1851	6	w
1851	9	w
1852	7	w
1852	8	w
1852	7	s
1852	10	s
1852	13	s
1852	8	s
1852	6	s
1852	6	s
1852	8	s
1852	7	w
1852	7	w
1852	13	w
1853	9	w
1853	16	s
1853	10	s
1853	7	s
1853	7	s
1853	8	s
1853	8	s
1853	6	s
1853	6	w
1853	5	w
1853	6	w
1853	5	w
1854	7	w
1854	7	w
1854	3	w
1854	13	s
1854	11	s
1854	5	s
1854	5	s
1854	6	s
1854	6	s
1854	3	s
1854	5	s
1854	8	w
1854	14	w
1854	10	w
1854	7	w
1855	10	w
1855	5	w
1855	7	s
1855	3	s
1855	8	s
1855	4	s
1855	8	s
1855	5	s
1855	4	s
1855	5	s
1855	6	s
1855	7	s
1855	5	s
1855	8	s
1855	5	w
1855	8	w
1856	6	w
1856	5	w
1856	7	w
1856	7	w
1856	6	w
1856	6	w
1856	6	w
1856	4	s
1856	3	s
1856	5	s
1856	5	s
1856	6	s
1856	9	s
1856	4	s
1856	6	s
1856	6	s
1856	6	s
1856	7	w
1856	5	w
1856	6	w
1856	5	w
1857	16	w
1857	6	w
1857	7	w
1857	6	s
1857	7	s
1857	5	s
1857	5	s
1857	5	s
1857	12	s
1857	7	s
1857	8	s
1857	5	s
1857	5	s
1857	6	s
1857	8	s
1857	5	w
1857	5	w
1857	4	w
1857	5	w
1857	4	w
1857	5	w
1858	5	w
1858	10	w
1858	7	w
1858	7	w
1858	6	s
1858	5	s
1858	12	s
1858	7	s
1858	6	s
1858	6	s
1858	16	s
1858	5	s
1858	5	s
1858	7	s
1858	6	s
1858	9	s
1858	9	s
1858	8	s
1858	5	w
1858	6	w
1858	12	w
1858	6	w
1858	5	w
1859	5	w
1859	6	w
1859	6	w
1859	8	w
1859	4	w
1859	10	w
1859	6	s
1859	8	s
1859	5	s
1859	7	s
1859	8	s
1859	8	s
1859	6	s
1859	8	s
1859	9	s
1859	6	w
1859	10	w
1859	4	w
1860	7	w
1860	5	w
1860	4	w
1860	6	w
1860	6	w
1860	6	w
1860	7	w
1860	7	s
1860	6	s
1860	7	s
1860	7	s
1860	6	s
1860	6	s
1860	5	s
1860	6	w
1861	5	s
1861	4	s
1861	6	s
1861	6	s
1861	7	s
1861	5	s
1861	5	s
1861	7	s
1861	5	s
1861	4	s
1861	6	s
1861	3	w
1861	3	w
1861	3	w
1861	5	w
1861	5	w
1861	4	w
1861	3	w
1861	6	w
1861	6	w
1862	9	w
1862	3	w
1862	8	s
1862	11	s
1862	4	s
1862	4	s
1862	15	w
1863	4	w
1863	4	w
1863	14	s
1863	3	s
1863	5	s
1863	10	s
1863	10	s
1863	7	s
1863	6	s
1863	6	s
1863	6	s
1863	3	w
1864	4	s
1864	6	w
1865	6	s
1865	8	s
1865	3	w
1867	5	w
1867	12	w
1867	9	w
1867	27	s
1868	3	s
1868	5	s
1868	4	s
1869	2	w
1869	1	w
1869	3	s
1869	1	s
1869	2	w
1870	7	s
1870	1	w
1870	2	w
1870	2	w
1871	3	w
1871	1	w
1871	2	w
1871	2	w
1871	2	w
1871	2	s
1871	2	w
1872	7	w
1872	2	s
1872	1	w
1873	1	w
1873	2	w
1873	2	w
1873	1	w
1873	1	w
1873	3	w
1873	5	w
1873	3	s
1873	2	s
1873	3	s
1873	3	s
1873	3	s
1873	2	s
1873	3	s
1873	3	s
1873	3	s
1873	2	s
1873	2	s
1873	3	s
1873	3	s
1873	2	w
1873	2	w
1873	3	w
1874	2	w
1874	4	w
1874	2	w
1874	4	s
1874	2	s
1874	4	s
1874	5	s
1874	5	s
1874	2	s
1874	3	s
1874	4	w
1875	22	w
1875	3	s
1875	2	w
1875	2	w
1875	2	w
1875	2	w
1875	2	w
1875	1	w
1875	3	w
1876	41	s
1876	3	w
1877	3	w
1877	4	s
1877	4	w
1877	4	w
1878	2	s
1878	2	s
1878	2	s
1878	4	s
1878	3	s
1878	3	s
1878	2	s
1878	4	s
1878	4	w
1878	4	w
1878	5	w
1878	2	w
1878	4	w
1878	2	w
1879	2	w
1879	2	w
1879	2	s
1879	2	s
1879	3	s
1880	1	w
1880	2	w
1880	2	s
1880	5	s
1880	3	s
1880	2	s
1880	3	w
1880	4	w
1883	3	s
1885	2	s
1885	2	s
1886	2	s
1886	3	s
1887	3	s
1888	3	w
1888	3	w
1888	2	w
1888	2	s
1888	1	s
1888	4	w
1888	1	w
1888	1	w
