year	delta
1804	20
1804	23
1804	20
1805	22
1805	20
1805	20
1805	21
1805	50
1805	22
1805	21
1805	19
1805	20
1805	19
1805	18
1805	23
1805	22
1806	19
1806	21
1806	20
1806	23
1806	26
1806	25
1806	46
1806	31
1807	42
1807	57
1807	41
1807	33
1808	22
1808	25
1808	34
1808	20
1808	19
1808	21
1808	19
1809	19
1809	20
1809	14
1809	19
1809	20
1809	23
1809	24
1809	20
1809	18
1809	20
1809	19
1809	19
1809	19
1809	19
1809	24
1809	22
1809	21
1809	21
1809	21
1809	20
1809	20
1809	21
1809	32
1809	21
1809	23
1809	20
1809	21
1809	28
1809	19
1810	25
1810	28
1810	30
1810	52
1810	19
1810	22
1810	27
1810	20
1810	19
1810	21
1811	23
1811	28
1811	26
1811	38
1812	21
1812	67
1812	18
1812	17
1812	28
1812	28
1812	30
1812	20
1812	18
1813	20
1813	19
1813	20
1813	15
1813	15
1813	17
1813	20
1813	23
1813	18
1813	18
1813	16
1813	14
1813	16
1814	17
1814	19
1814	19
1814	19
1814	23
1815	26
1815	21
1816	14
1819	29
1820	30
1820	14
1821	20
1821	21
1821	26
1823	24
1823	15
1823	15
1824	17
1824	19
1824	15
1825	22
1826	16
1826	17
1828	15
1829	11
1830	41
1830	11
1831	15
1831	12
1831	18
1832	18
1833	10
1833	12
1833	15
1833	19
1834	9
1834	15
1834	11
1834	12
1834	19
1834	8
1834	42
1834	13
1834	8
1834	18
1835	9
1835	14
1835	12
1835	14
1835	12
1836	18
1836	17
1836	11
1836	9
1836	21
1837	13
1837	8
1837	13
1837	8
1838	8
1838	9
1838	8
1838	11
1838	7
1838	8
1838	8
1838	9
1839	8
1839	9
1839	11
1839	10
1839	8
1839	8
1839	7
1839	18
1839	9
1839	8
1839	10
1840	16
1840	6
1840	8
1840	7
1840	8
1840	7
1840	7
1840	10
1840	9
1840	7
1840	7
1840	7
1840	9
1841	7
1841	8
1841	14
1841	8
1841	8
1841	8
1841	9
1841	10
1841	7
1841	9
1841	8
1841	5
1841	7
1841	8
1841	10
1842	8
1842	11
1842	12
1842	5
1842	6
1842	5
1842	7
1842	6
1842	10
1842	7
1843	9
1843	9
1843	9
1843	9
1843	9
1843	9
1843	9
1843	14
1843	9
1843	17
1843	7
1843	14
1843	6
1844	7
1844	15
1844	7
1844	11
1844	12
1844	13
1844	17
1844	5
1845	10
1845	8
1845	40
1845	7
1845	8
1845	11
1845	8
1845	7
1845	9
1845	10
1845	12
1845	14
1845	11
1845	12
1845	5
1845	7
1845	8
1845	13
1845	11
1845	10
1845	7
1845	6
1845	8
1845	5
1845	11
1845	6
1845	10
1845	7
1845	14
1845	13
1845	9
1845	12
1846	14
1846	16
1846	9
1846	10
1846	6
1846	12
1846	7
1846	25
1846	7
1846	8
1846	15
1846	5
1846	13
1846	13
1847	10
1847	12
1847	22
1847	9
1847	16
1847	7
1847	14
1847	7
1847	21
1847	15
1847	18
1847	15
1847	5
1847	18
1847	19
1847	5
1847	7
1847	6
1847	8
1847	9
1847	10
1847	6
1847	12
1847	7
1847	7
1847	23
1848	13
1848	12
1848	9
1848	6
1848	7
1848	13
1848	13
1848	6
1848	8
1848	8
1848	13
1848	5
1848	6
1848	8
1848	5
1848	14
1848	8
1848	7
1848	6
1849	12
1849	7
1849	6
1849	13
1849	7
1849	5
1849	6
1849	6
1849	5
1849	5
1849	7
1849	6
1849	5
1849	24
1849	6
1849	8
1849	8
1850	15
1850	7
1850	6
1850	6
1850	4
1850	7
1850	6
1850	9
1850	5
1850	6
1850	7
1850	6
1850	11
1850	10
1850	8
1850	10
1850	8
1850	7
1850	6
1851	6
1851	11
1851	6
1851	8
1851	10
1851	8
1851	6
1851	6
1851	43
1851	6
1851	7
1851	7
1851	14
1852	6
1852	6
1852	5
1852	6
1852	7
1852	7
1852	7
1852	10
1852	11
1852	7
1852	11
1852	10
1852	9
1853	11
1853	138
1853	5
1853	8
1853	10
1853	9
1854	9
1854	82
1854	5
1854	7
1854	8
1854	4
1854	3
1854	9
1854	6
1854	7
1854	8
1855	6
1855	7
1855	5
1855	6
1855	6
1855	6
1856	10
1856	6
1856	5
1856	4
1856	23
1856	8
1856	5
1856	11
1857	6
1857	5
1857	4
1857	5
1857	7
1857	4
1857	9
1857	12
1857	6
1858	4
1858	8
1858	14
1858	10
1858	11
1858	9
1858	10
1858	6
1858	10
1858	8
1858	6
1858	5
1858	8
1858	11
1858	6
1858	7
1858	5
1858	9
1858	8
1858	7
1858	10
1858	11
1859	10
1859	4
1859	8
1859	5
1859	6
1859	5
1859	7
1859	5
1859	6
1859	8
1859	10
1859	7
1859	6
1859	5
1859	10
1859	9
1859	8
1859	6
1859	5
1860	7
1860	5
1860	6
1860	5
1860	9
1860	37
1860	7
1860	7
1860	16
1860	7
1860	5
1861	7
1861	6
1861	6
1861	7
1861	3
1861	6
1861	6
1861	5
1861	6
1861	7
1861	6
1862	8
1862	8
1862	18
1863	4
1863	9
1863	10
1863	9
1863	9
1863	8
1863	5
1863	1
1863	3
1863	7
1863	8
1863	9
1863	19
1863	4
1863	3
1864	4
1864	4
1864	11
1864	7
1864	5
1864	15
1864	5
1865	6
1865	6
1865	9
1865	8
1865	7
1865	19
1865	2
1865	5
1865	3
1865	2
1865	2
1866	10
1866	3
1866	4
1866	3
1866	3
1866	4
1866	4
1866	3
1866	3
1866	7
1866	4
1866	4
1866	5
1866	4
1867	5
1867	6
1867	4
1867	12
1867	5
1867	2
1868	12
1868	28
1868	5
1868	2
1868	4
1868	9
1868	5
1868	3
1868	10
1868	4
1868	31
1868	19
1868	4
1868	5
1868	8
1868	12
1869	5
1869	8
1869	8
1869	10
1869	11
1869	6
1869	8
1870	9
1870	6
1870	5
1870	4
1870	3
1870	8
1870	6
1870	2
1870	6
1870	5
1870	3
1871	3
1871	2
1871	8
1871	2
1871	2
1871	3
1871	2
1871	2
1871	11
1871	7
1871	2
1872	5
1872	4
1872	2
1872	2
1872	2
1872	11
1872	3
1872	4
1872	6
1872	4
1873	17
1873	3
1873	6
1873	3
1873	3
1873	3
1873	3
1873	3
1873	3
1873	4
1873	3
1873	3
1873	2
1873	4
1873	3
1873	5
1873	3
1873	4
1874	3
1874	3
1874	2
1874	13
1874	4
1875	4
1875	4
1875	6
1875	3
1875	3
1875	4
1875	2
1876	14
1876	2
1876	2
1876	2
1876	14
1877	8
1877	2
1877	19
1878	2
1878	2
1878	3
1878	6
1878	3
1878	3
1879	3
1879	8
1879	3
1879	2
1879	2
1879	2
1880	2
1880	5
1881	7
1881	3
1881	3
1881	2
1881	5
1881	9
1881	2
1881	3
1883	4
1883	2
1883	2
1884	1
1884	1
1884	1
1884	1
1884	2
1884	7
1884	3
1884	3
1884	4
1884	6
1884	5
1884	5
1884	2
1884	3
1884	1
1884	1
1884	1
1884	1
