year	delta	season
1803	43	w
1805	39	s
1805	46	s
1806	43	w
1806	49	w
1811	48	s
1811	36	w
1815	38	s
1828	26	s
1828	21	w
1831	25	w
1833	24	s
1834	18	s
1834	19	w
1836	17	s
1842	22	s
1844	9	w
1846	16	s
1846	16	s
1846	11	w
1847	18	w
1847	17	s
1847	20	s
1847	10	s
1847	16	s
1847	14	s
1847	18	s
1847	17	w
1847	20	w
1848	20	w
1848	11	s
1848	14	w
1848	12	w
1848	15	w
1848	16	w
1848	16	w
1849	13	w
1849	12	w
1849	14	w
1849	13	w
1849	11	w
1852	13	w
1853	11	s
1853	8	w
1854	8	s
1854	10	s
1854	8	s
1855	5	s
1855	5	s
1855	5	s
1855	9	s
1855	9	w
1858	12	s
1858	12	s
1858	19	s
1860	8	w
1861	7	w
1861	7	s
1862	8	s
1862	6	s
1863	5	w
1863	18	w
1863	13	w
1863	4	w
1863	4	w
1863	3	w
1863	4	w
1863	4	w
1863	5	w
1863	3	w
1863	4	w
1863	3	w
1863	3	w
1863	5	w
1863	6	w
1863	3	s
1863	3	s
1863	4	s
1863	3	s
1863	4	s
1863	4	s
1863	3	s
1863	3	s
1863	4	s
1863	4	s
1863	8	s
1863	3	s
1863	4	s
1863	4	w
1864	3	w
1864	4	w
1864	3	w
1865	3	w
1866	6	w
1867	2	w
1867	15	s
1867	9	w
1868	11	s
1868	7	w
1869	8	w
1869	8	w
1869	8	w
1869	6	s
1869	13	s
1869	2	s
1869	9	s
1869	7	s
1869	3	s
1869	2	w
1870	9	w
1870	8	s
1871	2	s
1871	3	s
1872	2	s
1872	3	s
1872	3	w
1875	2	s
1876	5	w
1877	2	s
1877	3	w
1878	3	w
1879	3	w
1879	3	w
1879	2	w
1883	3	w
1883	1	s
1883	1	s
1883	3	s
1884	3	s
1886	3	w
1886	2	s
1886	3	s
1886	2	s
1886	2	s
1886	2	s
1887	2	s
1887	2	s
1887	4	s
1888	2	w
1888	1	w
1888	3	s
1888	1	s
1888	1	s
1888	1	s
1888	1	s
1888	1	w
