year	delta	season
1808	51	s
1808	13	s
1810	32	w
1810	32	s
1810	27	s
1810	27	s
1820	10	s
1829	5	w
1829	6	s
1829	5	s
1831	4	w
1831	10	w
1831	11	s
1831	11	s
1831	6	s
1832	5	w
1832	19	s
1833	5	w
1833	3	s
1833	33	s
1833	8	w
1834	4	s
1835	5	w
1837	17	w
1837	4	w
1837	6	w
1837	5	s
1838	7	w
1838	4	s
1838	9	w
1838	14	w
1839	7	w
1839	3	w
1839	7	s
1839	17	s
1839	15	w
1840	7	w
1840	15	w
1840	5	w
1840	6	s
1842	13	w
1843	43	w
1843	20	s
1844	7	w
1844	7	s
1844	26	w
1845	3	w
1845	4	w
1845	15	w
1846	7	s
1846	5	s
1847	6	w
1847	24	w
1847	8	s
1847	7	s
1848	2	w
1849	4	s
1849	9	s
1850	7	s
1850	19	w
1851	6	s
1852	9	s
1853	5	s
1853	5	s
1853	13	s
1853	6	s
1854	10	w
1854	24	w
1854	7	s
1854	9	s
1854	4	s
1854	10	s
1854	7	w
1855	3	s
1855	4	s
1855	5	s
1855	5	s
1855	4	s
1855	9	s
1855	6	s
1855	7	s
1855	7	s
1855	6	s
1856	7	w
1856	7	w
1856	12	s
1856	13	s
1856	8	s
1856	7	w
1857	4	w
1857	3	w
1857	3	s
1858	6	w
1858	3	s
1858	4	s
1858	7	s
1858	7	w
1859	5	w
1859	16	s
1859	7	s
1859	5	s
1859	4	w
1859	5	w
1860	6	w
1860	4	w
1860	5	w
1860	3	s
1860	10	s
1860	8	s
1860	5	s
1860	4	s
1860	4	s
1860	3	s
1860	3	s
1860	8	s
1860	10	s
1860	4	s
1860	7	s
1860	4	s
1860	3	w
1860	8	w
1861	7	s
1861	5	s
1861	5	s
1862	6	w
1862	5	s
1862	5	s
1862	2	s
1862	6	s
1862	5	s
1862	34	s
1862	4	s
1862	5	s
1862	4	s
1862	18	s
1862	4	s
1862	3	w
1862	5	w
1863	8	w
1863	7	w
1863	6	s
1863	5	s
1863	4	s
1863	7	s
1863	12	s
1863	5	w
1864	15	w
1864	5	s
1864	8	s
1864	4	w
1864	10	w
1864	5	w
1864	3	w
1865	19	w
1865	62	w
1865	15	s
1865	11	w
1865	3	w
1866	8	s
1866	4	s
1866	6	s
1866	7	s
1866	4	s
1866	4	s
1866	4	s
1866	8	w
1866	4	w
1866	9	w
1867	3	w
1867	7	w
1867	4	w
1867	3	s
1867	7	s
1867	3	s
1867	4	s
1867	4	s
1867	4	s
1867	3	s
1867	6	s
1867	5	w
1867	2	w
1867	6	w
1867	5	w
1868	10	w
1868	7	w
1868	5	w
1868	6	w
1868	3	s
1868	5	s
1868	3	s
1868	5	s
1868	4	s
1868	3	s
1868	7	s
1868	6	s
1868	5	w
1868	1	w
1868	12	w
1868	5	w
1869	6	w
1869	5	w
1869	1	s
1869	3	s
1869	4	s
1869	7	s
1869	2	s
1869	3	s
1869	3	s
1869	5	s
1869	7	w
1869	4	w
1869	2	w
1869	7	w
1869	3	w
1870	3	w
1870	2	w
1870	2	s
1870	7	s
1870	6	s
1870	6	s
1870	6	s
1870	4	s
1870	7	w
1870	5	w
1870	5	w
1870	1	w
1870	8	w
1871	3	w
1871	4	w
1871	1	w
1871	5	w
1871	2	s
1871	5	s
1871	2	s
1871	5	s
1871	5	s
1871	5	s
1871	2	s
1871	2	s
1871	6	s
1871	7	s
1871	3	s
1871	28	s
1871	5	w
1871	5	w
1872	5	w
1872	5	w
1872	4	w
1872	4	w
1872	3	s
1872	2	s
1872	5	s
1872	5	s
1872	12	s
1872	1	s
1872	6	s
1872	3	s
1872	4	w
1872	6	w
1873	8	w
1873	3	s
1873	4	s
1873	2	w
1874	1	w
1874	3	s
1874	4	s
1874	4	s
1874	6	s
1874	4	s
1874	2	w
1875	8	w
1875	3	w
1875	1	w
1875	4	w
1875	7	w
1875	8	w
1875	1	w
1875	1	w
1875	2	w
1876	1	w
1876	1	w
1876	1	w
1876	1	w
1876	6	w
1876	4	w
1876	1	s
1876	1	s
1876	1	w
1876	2	w
1876	1	w
1876	1	w
1876	1	w
1876	1	w
1876	1	w
1876	1	w
1876	2	w
1877	3	w
1877	19	w
1877	1	s
1877	3	s
1877	5	s
1877	2	w
1878	1	w
1878	4	w
1878	1	w
1878	4	w
1878	3	s
1878	1	s
1878	2	s
1879	6	w
1879	1	w
1879	1	w
1879	1	w
1879	1	w
1879	2	w
1879	1	w
1879	1	w
1879	1	w
1879	1	w
1879	1	w
1879	1	w
1879	1	w
1879	2	w
1879	1	w
1879	1	w
1879	1	w
1879	1	w
1879	1	w
1879	1	w
1879	1	w
1879	1	w
1879	1	w
1879	1	w
1879	1	w
1879	1	w
1879	1	s
1879	4	s
1879	1	s
1879	1	s
1879	1	s
1879	5	s
1879	1	s
1879	4	s
1879	6	w
1879	2	w
1879	4	w
1879	5	w
1879	2	w
1879	7	w
1879	2	w
1879	2	w
1879	3	w
1880	1	w
1880	1	w
1880	3	w
1880	1	s
1880	25	s
1880	5	s
1880	1	s
1880	1	s
1880	1	w
1880	2	w
1880	1	w
1880	1	w
1880	2	w
1880	1	w
1880	2	w
1880	1	w
1880	4	w
1880	1	w
1881	2	w
1881	1	w
1881	1	w
1881	208	s
1881	2	w
1881	3	w
1881	2	s
1881	1	s
1881	1	s
1881	1	s
1881	1	s
1881	2	s
1881	2	s
1881	1	s
1881	1	s
1881	2	s
1881	1	s
1881	1	s
1881	1	s
1881	1	s
1881	2	s
1881	1	s
1881	1	w
1881	1	w
1881	1	w
1881	1	w
1881	1	w
1881	1	w
1881	2	w
1881	1	w
1881	1	w
1881	1	w
1881	2	w
1881	1	w
1881	2	w
1881	1	w
1883	1	w
1883	1	w
1883	1	w
1883	1	w
1883	1	w
1883	1	s
1883	2	s
1883	2	s
1883	2	s
1883	1	s
1883	1	s
1883	1	s
1883	2	s
1883	1	s
1883	1	s
1883	1	s
1883	3	s
1883	1	w
1883	1	w
1883	1	w
1883	1	w
1883	1	w
1884	1	w
1884	1	w
1884	2	w
1884	1	w
1884	1	s
1884	1	s
1884	1	s
1884	1	s
1884	1	s
1884	1	w
1884	1	w
1884	1	w
1884	1	w
1884	1	w
1884	2	w
1884	1	w
1884	2	w
1884	1	w
1884	1	w
1884	1	w
1884	1	w
1884	3	w
1885	1	w
1885	2	w
1885	1	w
1885	1	w
1885	1	w
1885	1	w
1885	2	s
1885	1	s
