year	delta	season
1803	39	s
1803	53	s
1803	42	w
1804	46	w
1805	46	w
1805	52	w
1805	35	s
1805	50	s
1805	63	s
1806	42	s
1806	50	s
1806	58	s
1807	77	w
1807	74	s
1807	73	s
1807	77	s
1807	46	s
1807	48	s
1807	52	s
1807	46	w
1807	52	w
1807	45	w
1808	43	w
1808	45	w
1808	49	w
1808	49	w
1808	46	w
1808	36	w
1809	63	w
1810	42	s
1810	38	s
1810	44	w
1811	59	w
1811	44	w
1811	42	w
1811	41	w
1811	45	w
1811	46	w
1811	56	s
1811	47	s
1812	63	s
1812	67	s
1812	62	s
1812	56	s
1812	51	s
1812	55	s
1812	61	s
1812	67	s
1814	42	s
1814	42	w
1815	42	w
1816	36	w
1816	29	w
1817	33	s
1817	42	s
1817	39	w
1817	46	w
1818	41	w
1819	42	w
1820	46	w
1820	34	s
1820	38	s
1820	34	s
1820	39	s
1820	37	s
1820	38	s
1820	37	s
1820	39	s
1820	41	w
1820	39	w
1820	32	w
1820	34	w
1821	38	w
1821	35	w
1821	42	w
1821	38	w
1821	38	w
1821	39	w
1821	42	w
1821	39	w
1821	33	w
1821	34	w
1821	42	w
1821	37	w
1821	39	w
1821	37	s
1821	38	s
1821	36	s
1821	39	s
1821	39	s
1821	31	s
1821	37	s
1821	35	s
1821	36	s
1821	38	s
1821	42	s
1821	39	s
1821	33	s
1821	39	s
1821	39	s
1821	37	s
1821	39	s
1821	38	s
1821	40	w
1822	42	w
1822	40	w
1822	63	w
1822	40	w
1822	43	w
1822	41	w
1822	44	w
1822	42	s
1822	44	s
1822	31	s
1822	37	s
1822	29	s
1822	41	s
1822	36	s
1822	27	s
1822	37	s
1822	30	w
1822	40	s
1822	38	w
1822	37	w
1822	30	w
1822	31	w
1823	39	w
1823	36	w
1823	43	w
1823	36	w
1823	41	w
1823	39	w
1823	34	w
1823	40	w
1823	30	s
1823	33	s
1823	34	s
1823	37	s
1823	42	s
1823	38	s
1823	33	s
1823	31	s
1823	42	s
1823	34	s
1823	38	s
1823	31	w
1823	129	s
1823	34	w
1824	34	w
1824	28	w
1824	34	w
1824	30	w
1824	34	w
1824	34	w
1824	35	s
1824	27	s
1824	33	s
1824	35	s
1824	30	s
1824	42	s
1824	38	s
1824	38	s
1824	37	w
1824	33	w
1824	30	w
1825	36	w
1825	35	w
1825	38	w
1825	40	w
1825	38	s
1825	35	w
1825	35	w
1826	35	w
1826	30	w
1826	27	w
1826	28	w
1826	34	w
1826	33	w
1826	34	w
1826	38	s
1826	34	s
1826	34	s
1826	37	s
1826	33	s
1826	42	s
1826	33	s
1826	34	s
1826	34	s
1826	30	s
1826	29	s
1826	29	s
1826	29	s
1826	34	s
1826	30	s
1826	28	w
1826	33	w
1826	33	w
1826	31	w
1827	34	w
1827	34	w
1827	33	w
1827	34	w
1827	37	w
1827	27	w
1827	37	w
1827	34	w
1827	34	w
1827	38	w
1827	28	s
1827	27	s
1827	37	s
1827	30	s
1827	26	s
1827	34	s
1827	31	s
1827	34	s
1827	43	s
1827	37	s
1827	29	s
1827	33	s
1827	34	s
1827	31	s
1827	34	s
1827	29	s
1827	37	s
1827	64	s
1827	33	w
1827	28	w
1828	34	w
1828	33	w
1828	31	w
