year	delta	season
1820	23	s
1824	18	w
1842	10	s
1846	16	w
1847	9	w
1849	10	w
1851	8	s
1852	10	s
1852	5	w
1853	8	w
1857	7	s
1861	4	w
1861	4	w
1861	6	w
1861	4	w
1861	4	s
1862	3	s
1862	6	s
1863	4	s
1863	3	s
1863	3	s
1863	3	s
1863	4	s
1863	3	s
1864	3	w
1864	4	w
1864	4	w
1864	2	s
1866	8	w
1866	8	w
1866	10	w
1866	10	s
1866	9	s
1866	8	s
1866	11	s
1866	9	s
1866	9	s
1866	9	s
1866	12	s
1866	7	s
1866	8	s
1866	10	s
1866	11	s
1866	10	s
1866	9	s
1866	11	s
1866	11	s
1866	9	s
1866	15	s
1866	9	s
1866	16	w
1866	1	w
1866	9	w
1866	3	w
1866	2	w
1866	2	w
1867	2	w
1867	3	w
1867	2	w
1867	2	w
1867	2	w
1867	3	w
1867	2	w
1867	2	w
1867	2	w
1867	2	w
1867	10	w
1867	2	w
1867	5	w
1867	10	w
1867	2	w
1867	2	w
1867	11	w
1867	11	w
1867	2	s
1867	9	s
1867	2	s
1867	10	s
1867	11	s
1867	9	s
1867	8	s
1867	9	w
1867	3	w
1868	1	w
1868	4	w
1868	2	w
1868	1	w
1868	2	w
1868	9	w
1868	2	w
1868	2	w
1868	2	w
1868	2	w
1868	5	s
1868	4	s
1868	3	s
1868	9	s
1868	9	s
1868	10	s
1868	3	s
1868	10	s
1869	1	s
1869	11	s
1869	10	s
1870	3	w
1870	2	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	s
1873	1	s
1873	50	w
1873	1	s
1873	1	s
1873	4	s
1873	1	s
1873	1	s
1873	1	s
1873	2	s
1873	1	s
1873	1	s
1873	1	s
1873	1	s
1873	2	s
1873	1	s
1873	3	s
1873	2	s
1873	1	s
1873	1	s
1873	1	s
1873	1	s
1873	1	s
1873	1	s
1873	3	s
1873	1	s
1873	2	s
1873	1	s
1873	2	s
1873	7	s
1873	3	s
1873	1	s
1873	3	s
1873	4	s
1873	4	s
1873	7	s
1873	1	w
1873	1	w
1873	2	w
1873	1	w
1873	1	w
1873	4	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	2	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	3	w
1873	4	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	1	w
1873	2	w
1873	5	w
1873	1	w
1873	1	w
1874	4	w
1874	5	w
1874	2	w
1874	4	w
1874	3	w
1874	4	w
1874	1	w
1874	1	w
1874	1	w
1874	3	w
1874	1	w
1874	1	w
1874	1	w
1874	1	w
1874	2	w
1874	1	w
1874	1	w
1874	2	w
1874	1	w
1874	1	w
1874	1	w
1874	2	w
1874	1	w
1874	1	w
1874	1	w
1874	2	w
1874	2	w
1874	3	w
1874	1	w
1874	1	w
1874	1	w
1874	1	w
1874	1	w
1874	1	w
1874	10	w
1874	6	w
1874	7	w
1874	1	w
1874	1	w
1874	1	s
1874	1	s
1874	1	s
1874	1	s
1874	1	s
1874	2	s
1874	1	s
1874	1	s
1874	2	s
1874	1	s
1874	1	s
1874	1	s
