year	delta	season
1802	40	s
1803	31	w
1803	36	s
1804	37	w
1804	38	w
1804	33	s
1804	33	s
1804	33	s
1804	36	w
1804	37	w
1804	36	w
1804	37	w
1804	36	w
1805	36	w
1805	43	w
1805	37	s
1805	37	s
1805	37	s
1805	40	w
1805	42	w
1807	69	s
1807	47	s
1808	31	w
1810	34	s
1811	37	s
1811	38	w
1811	39	w
1814	44	s
1814	37	s
1814	36	s
1814	36	w
1815	39	w
1815	28	w
1815	40	s
1815	40	w
1817	38	s
1817	38	w
1820	32	s
1820	33	s
1821	32	s
1821	36	s
1821	36	w
1822	32	w
1822	30	w
1822	32	w
1822	33	w
1822	28	w
1822	37	w
1822	32	w
1822	31	w
1822	33	w
1822	35	w
1822	31	s
1822	30	s
1822	29	s
1823	30	s
1823	29	w
1824	29	w
1824	27	s
1825	29	w
1825	28	s
1825	29	s
1825	32	s
1825	28	s
1825	30	s
1825	27	s
1826	28	w
1826	30	w
1826	30	w
1826	32	s
1826	27	w
1828	25	w
1828	33	w
1828	20	s
1828	30	s
1828	20	s
1829	22	w
1829	22	s
1829	25	s
1829	22	w
1830	27	w
1830	21	w
1830	22	s
1830	24	s
1830	22	s
1830	22	s
1830	27	w
1831	27	w
1831	20	w
1831	28	w
1831	21	s
1831	20	s
1831	27	w
1832	20	s
1832	20	s
1832	27	s
1832	24	w
1835	21	s
1836	18	s
1836	22	w
1837	27	s
1838	19	s
1838	17	s
1839	16	w
1839	21	s
1840	19	s
1840	19	s
1840	19	w
1841	15	w
1843	27	s
1844	19	s
1844	20	w
1844	16	w
1845	21	s
1845	23	s
1846	22	w
1846	16	s
1846	18	s
1847	22	s
1847	14	s
1847	18	s
1847	17	s
1847	22	s
1847	9	s
1847	14	s
1847	21	w
1847	15	w
1847	20	w
1848	17	w
1848	15	w
1848	23	w
1848	17	w
1848	16	w
1848	19	w
1848	17	s
1848	17	s
1849	15	w
1849	18	w
1849	19	w
1849	22	w
1849	16	s
1849	17	s
1849	15	s
1849	16	s
1849	13	s
1849	15	s
1849	15	s
1849	16	s
1849	15	w
1850	13	w
1850	14	w
1850	15	s
1850	11	s
1850	11	w
1851	9	s
1851	10	w
1852	12	w
1852	9	s
1852	13	s
1853	11	s
1853	10	w
1853	13	w
1854	13	s
1855	8	w
1855	8	w
1856	8	w
1856	10	s
1857	10	s
1857	9	s
1857	9	s
1857	9	s
1857	44	s
1857	6	s
1857	7	s
1859	9	w
1859	14	s
1859	11	s
1860	4	w
1860	9	w
1860	7	w
1869	3	s
1876	3	s
1883	3	w
