year	delta
1802	29
1802	29
1802	22
1802	26
1802	25
1802	22
1802	25
1802	29
1802	25
1802	22
1802	22
1802	24
1802	26
1802	22
1802	22
1802	22
1802	22
1802	22
1802	19
1802	22
1802	19
1802	22
1802	25
1802	27
1802	26
1802	22
1802	22
1802	22
1802	22
1802	22
1802	22
1802	26
1802	19
1802	22
1802	22
1802	22
1802	22
1802	22
1802	19
1802	22
1802	22
1802	22
1802	22
1802	22
1802	22
1802	22
1802	22
1802	22
1802	22
1802	22
1802	22
1802	22
1802	22
1802	22
1802	22
1802	29
1802	22
1802	25
1802	22
1802	29
1802	22
1802	26
1802	25
1802	22
1802	32
1802	25
1802	22
1802	29
1803	29
1803	26
1803	26
1803	29
1803	29
1803	29
1803	28
1803	29
1803	29
1803	29
1803	30
1803	26
1803	35
1803	29
1803	30
1803	29
1803	29
1803	22
1803	25
1803	25
1803	29
1803	29
1803	22
1803	26
1803	29
1803	26
1803	25
1803	22
1803	26
1803	22
1803	22
1803	22
1803	25
1803	22
1803	22
1803	26
1803	22
1803	20
1803	22
1803	21
1803	22
1803	22
1803	22
1803	21
1803	22
1803	22
1803	22
1803	19
1803	22
1803	22
1803	22
1803	26
1803	23
1803	23
1803	24
1803	27
1803	29
1803	25
1803	25
1803	25
1803	25
1803	28
1803	28
1803	25
1803	22
1803	22
1803	26
1803	22
1803	26
1803	22
1803	22
1803	22
1803	24
1803	25
1803	26
1803	25
1803	27
1803	26
1803	25
1803	23
1803	22
1803	26
1803	29
1803	25
1803	26
1803	22
1803	30
1803	26
1803	25
1803	29
1803	26
1803	15
1803	28
1803	31
1803	27
1804	29
1804	25
1804	26
1804	29
1804	32
1804	29
1804	25
1804	29
1804	25
1804	22
1804	29
1804	28
1804	27
1804	32
1804	36
1804	36
1804	28
1804	33
1804	32
1804	29
1804	32
1804	33
1804	26
1804	25
1804	25
1804	24
1804	22
1804	26
1804	26
1804	26
1804	29
1804	26
1804	22
1804	22
1804	23
1804	26
1804	25
1804	22
1804	22
1804	25
1804	25
1804	26
1804	22
1804	25
1804	26
1804	26
1804	22
1804	26
1804	25
1804	22
1804	22
1804	22
1804	22
1804	22
1804	22
1804	22
1804	25
1804	22
1804	22
1804	26
1804	22
1804	22
1804	23
1804	22
1804	23
1804	26
1804	29
1804	25
1804	29
1804	26
1804	22
1804	25
1804	26
1804	22
1804	29
1804	29
1804	26
1804	26
1804	30
1804	30
1805	35
1805	30
1805	29
1805	29
1805	27
1805	29
1805	31
1805	32
1805	29
1805	29
1805	32
1805	39
1805	32
1805	29
1805	32
1805	28
1805	29
1805	22
1805	25
1805	26
1805	22
1805	26
1805	29
1805	26
1805	23
1805	29
1805	26
1805	24
1805	26
1805	25
1805	22
1805	22
1805	22
1805	24
1805	25
1805	29
1805	30
1805	22
1805	22
1805	27
1805	22
1805	22
1805	21
1805	25
1805	21
1805	22
1805	22
1805	26
1805	25
1805	25
1805	23
1805	25
1805	22
1805	22
1805	22
1805	22
1805	22
1805	22
1805	22
1805	25
1805	25
1805	22
1805	22
1805	22
1805	26
1805	22
1805	25
1805	21
1805	43
1805	39
1805	24
1805	27
1805	15
1805	29
1805	29
1805	29
1805	22
1805	24
1805	25
1805	25
1805	22
1806	25
1806	26
1806	29
1806	29
1806	29
1806	26
1806	25
1806	25
1806	26
1806	29
1806	26
1806	21
1806	24
1806	21
1806	25
1806	26
1806	31
1806	29
1806	42
1806	39
1806	36
1806	29
1806	30
1806	25
1806	31
1806	29
1806	32
1806	25
1806	26
1806	22
1806	26
1806	29
1806	25
1806	26
1806	29
1806	25
1806	24
1806	22
1806	22
1806	21
1806	22
1806	22
1806	26
1806	22
1806	23
1806	23
1806	25
1806	22
1806	22
1806	22
1806	22
1806	22
1806	23
1806	27
1806	22
1806	22
1806	22
1806	22
1806	22
1806	22
1806	26
1806	22
1806	25
1806	22
1806	22
1806	22
1806	23
1806	24
1806	22
1806	22
1806	21
1806	22
1806	21
1806	21
1806	46
1806	50
1806	50
1806	40
1806	42
1807	39
1807	56
1807	59
1807	48
1807	74
1807	86
1807	77
1807	85
1807	60
1807	39
1807	36
1807	39
1807	74
1807	26
1807	54
1807	67
1807	50
1807	81
1807	56
1807	67
1807	60
1807	57
1807	40
1807	109
1807	46
1807	36
1807	90
1807	64
1807	33
1807	30
1807	33
1807	40
1807	33
1807	15
1807	37
1807	32
1807	35
1807	42
1807	47
1807	50
1807	49
1807	49
1807	42
1807	52
1807	40
1807	48
1807	34
1807	52
1807	43
1807	40
1807	44
1807	39
1807	47
1807	41
1807	51
1807	43
1807	39
1807	47
1807	37
1807	39
1807	50
1807	43
1807	43
1807	41
1807	37
1807	38
1808	43
1808	43
1808	39
1808	35
1808	36
1808	36
1808	40
1808	41
1808	37
1808	37
1808	35
1808	37
1808	36
1808	39
1808	42
1808	38
1808	43
1808	51
1808	56
1808	39
1808	33
1808	50
1808	50
1808	39
1808	43
1808	46
1808	37
1808	32
1808	36
1808	36
1808	42
1808	46
1808	15
1808	15
1808	43
1808	45
1808	36
1808	46
1808	44
1808	54
1808	30
1808	54
1808	32
1808	36
1808	41
1808	16
1808	51
1808	33
1808	43
1808	33
1808	28
1808	14
1808	50
1808	32
1808	32
1808	16
1808	38
1808	45
1808	33
1808	14
1809	50
1809	16
1809	51
1809	43
1809	14
1809	40
1809	33
1809	15
1809	34
1809	30
1809	29
1809	35
1809	26
1809	32
1809	26
1809	27
1809	34
1809	29
1809	29
1809	29
1809	35
1809	32
1809	29
1809	29
1809	28
1809	28
1810	32
1810	28
1810	26
1810	28
1810	29
1810	32
1810	30
1810	35
1810	29
1810	36
1810	28
1810	40
1810	31
1810	28
1810	31
1810	32
1810	31
1810	24
1810	22
1810	26
1810	31
1810	34
1810	29
1810	25
1810	26
1810	29
1810	26
1810	33
1810	34
1810	31
1810	27
1810	23
1810	26
1810	30
1810	28
1810	28
1810	29
1810	33
1810	28
1810	26
1810	29
1810	29
1810	28
1810	29
1810	28
1810	25
1810	25
1810	29
1810	32
1810	32
1810	31
1810	28
1810	32
1810	29
1810	32
1810	29
1810	33
1810	32
1810	26
1810	28
1810	37
1810	30
1810	32
1810	29
1810	32
1810	28
1810	30
1810	29
1810	30
1810	30
1810	30
1810	27
1810	28
1811	32
1811	32
1811	35
1811	28
1811	30
1811	29
1811	28
1811	26
1811	28
1811	28
1811	35
1811	36
1811	30
1811	26
1811	30
1811	32
1811	39
1811	27
1811	28
1811	29
1811	33
1811	24
1811	26
1811	27
1811	25
1811	28
1811	25
1811	37
1811	26
1811	56
1811	25
1811	23
1811	26
1811	26
1811	26
1811	26
1811	26
1811	30
1811	25
1811	24
1811	28
1811	28
1811	36
1811	29
1811	26
1811	24
1811	27
1811	32
1811	28
1811	30
1811	31
1811	27
1811	28
1811	28
1811	26
1811	28
1811	31
1811	28
1811	35
1811	31
1811	28
1811	29
1811	32
1811	29
1811	29
1811	33
1811	25
1811	31
1811	30
1811	30
1811	29
1811	28
1811	24
1811	28
1811	28
1811	32
1811	26
1811	29
1811	28
1811	27
1811	36
1812	30
1812	30
1812	30
1812	30
1812	31
1812	42
1812	30
