year	delta
1817	23
1831	19
1831	24
1831	17
1831	25
1831	13
1831	11
1833	15
1833	14
1834	14
1834	13
1841	15
1841	16
1841	11
1842	13
1842	15
1842	14
1842	11
1843	13
1848	17
1850	20
1850	11
1851	16
1853	9
1853	11
1853	4
1853	8
1853	10
1854	8
1855	10
1855	8
1855	9
1855	7
1856	7
1857	9
1857	7
1857	9
1858	7
1858	6
1858	8
1858	8
1858	8
1858	7
1858	9
1858	8
1858	10
1858	7
1858	7
1858	8
1858	9
1858	8
1858	7
1858	9
1858	8
1859	10
1859	8
1859	10
1859	12
1859	14
1859	7
1859	7
1859	9
1859	9
1859	9
1859	7
1859	9
1859	7
1859	6
1859	8
1859	8
1860	6
1860	8
1860	9
1860	9
1860	10
1861	9
1861	8
1861	8
1861	9
1861	9
1861	8
1861	7
1861	11
1861	7
1861	9
1862	13
1862	10
1862	10
1864	8
1867	2
1867	6
1867	3
1867	3
1867	5
1867	4
1867	8
1867	5
1867	6
1867	6
1867	6
1867	11
1868	8
1868	7
1868	7
1868	7
1869	5
1870	8
1870	5
1870	3
1870	8
1870	2
1870	5
1870	3
1871	3
1871	3
1871	8
1871	4
1871	2
1871	4
1872	12
1872	2
1872	6
1872	3
1875	4
1875	3
1876	6
1879	2
1881	3
1885	1
