year	delta
1814	30
1831	16
1832	19
1833	15
1834	14
1837	15
1838	15
1838	17
1838	17
1838	13
1838	15
1838	17
1838	13
1838	16
1838	14
1838	16
1838	12
1839	15
1841	13
1841	13
1843	13
1843	13
1843	14
1843	17
1843	12
1843	11
1844	75
1844	13
1845	13
1845	15
1845	13
1845	14
1845	14
1845	11
1845	14
1845	10
1845	9
1845	12
1846	12
1846	13
1847	12
1847	12
1847	13
1847	13
1847	14
1847	9
1847	10
1847	9
1847	9
1847	10
1847	9
1847	12
1847	11
1848	12
1848	11
1848	13
1849	11
1849	11
1849	9
1850	11
1852	8
1853	33
1854	11
1858	9
1862	3
1872	2
1873	3
1883	4
1887	1
1887	5
1888	2
1888	5
