year	delta	season
1802	28	w
1802	29	w
1802	30	w
1804	31	w
1809	40	w
1809	27	s
1815	30	w
1817	32	s
1821	25	w
1827	20	s
1830	22	s
1832	19	w
1832	51	w
1834	15	w
1834	15	w
1835	21	s
1836	17	s
1837	20	w
1837	19	s
1839	12	s
1839	14	w
1839	13	w
1840	18	w
1845	13	s
1848	15	w
1848	11	s
1848	12	s
1848	12	s
1848	12	s
1848	10	s
1848	13	s
1848	13	w
1849	13	w
1849	13	s
1849	11	s
1849	13	w
1849	12	w
1850	9	s
1850	13	s
1850	13	w
1851	17	s
1851	11	s
1851	10	s
1851	9	s
1852	11	s
1852	7	s
1853	11	w
1853	10	s
1853	10	s
1853	11	w
1853	12	w
1854	10	w
1854	10	w
1854	6	w
1854	9	s
1854	8	s
1854	6	w
1854	8	w
1856	6	s
1856	7	s
1857	8	w
1858	10	s
1865	3	s
1865	3	s
1869	3	s
1870	9	s
1870	9	s
1870	8	s
1870	9	w
1871	4	w
1871	8	s
1871	6	s
1871	2	s
1871	2	w
1875	2	s
1875	3	s
1875	3	s
1876	2	s
1879	4	w
1880	3	s
1883	1	w
1883	1	w
1883	3	w
1884	1	w
1884	1	w
1884	1	s
1887	1	w
