year	delta	season
1802	16	s
1805	15	s
1806	30	w
1806	27	w
1806	41	w
1807	36	w
1807	43	w
1808	35	s
1808	37	s
1808	36	s
1808	16	w
1808	43	w
1809	15	s
1811	34	w
1811	18	w
1811	40	w
1813	15	w
1813	20	w
1814	18	w
1814	19	w
1814	17	w
1814	16	w
1814	18	w
1814	20	w
1814	24	s
1814	14	s
1814	16	s
1814	19	s
1814	16	w
1818	18	w
1819	19	s
1820	17	w
1828	14	w
1828	12	w
1830	11	w
1831	12	s
1831	11	s
1831	14	s
1831	13	s
1831	11	s
1831	11	w
1832	274	s
1833	11	s
1833	10	w
1836	10	w
1836	15	w
1836	14	w
1837	9	s
1838	9	s
1838	11	s
1840	10	s
1842	33	s
1842	15	w
1843	16	w
1843	38	w
1843	11	s
1843	9	s
1843	20	s
1843	9	s
1843	9	w
1843	7	w
1843	7	w
1843	9	w
1843	7	w
1844	10	w
1844	8	w
1844	6	w
1844	9	w
1844	8	s
1844	6	s
1844	9	s
1844	11	s
1845	19	w
1845	1	s
1845	25	s
1845	7	s
1845	11	s
1846	9	w
1846	10	s
1846	10	w
1847	7	s
1847	7	s
1847	9	s
1847	7	s
1847	8	s
1848	7	w
1848	6	s
1848	6	s
1848	7	s
1848	6	s
1848	6	s
1848	7	s
1848	7	s
1848	7	s
1848	7	s
1848	6	s
1848	6	s
1848	7	s
1848	6	s
1848	7	s
1848	6	w
1848	6	w
1848	7	w
1848	8	w
1849	6	w
1849	6	w
1849	6	w
1849	7	w
1849	47	w
1849	5	s
1849	6	s
1849	7	s
1849	7	s
1849	8	w
1849	6	w
1850	11	w
1850	11	w
1850	9	s
1850	6	s
1850	12	s
1850	7	s
1850	6	s
1850	11	s
1850	6	s
1850	7	s
1850	6	w
1850	7	w
1850	12	w
1850	10	w
1850	10	w
1851	6	w
1851	7	w
1851	7	w
1851	6	w
1851	7	w
1851	6	s
1851	7	s
1851	8	s
1851	6	w
1851	9	w
1851	9	w
1852	8	w
1852	8	s
1852	8	s
1852	11	s
1852	8	s
1853	7	s
1853	12	s
1853	6	s
1853	3	s
1853	6	w
1854	8	w
1854	7	w
1854	5	s
1854	6	s
1854	5	s
1854	6	s
1854	4	s
1854	7	s
1854	7	w
1854	5	w
1855	4	w
1855	8	w
1855	6	s
1855	7	s
1855	7	w
1856	15	w
1856	6	w
1856	7	s
1856	5	s
1856	6	w
1857	5	w
1857	5	w
1857	6	w
1857	4	s
1857	8	s
1857	11	s
1857	6	s
1857	6	s
1857	6	w
1857	5	w
1857	5	w
1858	11	w
1858	6	s
1858	7	s
1858	5	s
1858	6	w
1859	6	w
1859	6	w
1859	9	w
1859	5	w
1859	6	w
1859	7	w
1859	5	s
1859	6	s
1859	7	s
1859	8	s
1859	6	s
1859	8	w
1859	6	w
1860	5	s
1860	7	s
1860	7	w
1861	7	s
1861	7	s
1861	14	s
1861	7	s
1862	13	w
1862	9	s
1862	8	w
1864	5	w
1864	3	w
1864	4	w
1864	11	w
1864	4	w
1864	3	w
1864	4	w
1864	3	s
1864	6	s
1864	2	s
1864	3	s
1864	2	s
1864	3	s
1864	3	s
1864	2	s
1864	3	w
1864	3	w
1864	5	w
1865	4	w
1865	2	s
1865	15	w
1865	3	w
1866	2	w
1867	5	s
1867	3	w
1868	2	w
1868	3	w
1868	6	w
1868	3	s
1868	1	w
1868	8	w
1868	5	w
1870	5	s
1870	3	s
1871	8	s
1871	8	s
1871	8	s
1872	6	s
1872	2	w
1872	6	w
1876	4	s
1877	8	s
1880	3	s
1883	6	s
1884	3	w
1884	3	w
1885	1	s
1886	2	w
1886	6	w
1886	4	s
1886	4	s
1886	9	s
1886	5	w
1886	2	w
1886	3	w
1886	2	w
1887	5	w
1887	2	w
1887	2	w
1887	2	w
1888	5	s
1888	4	w
1888	2	w
