year	delta	season
1814	21	s
1815	20	s
1815	19	s
1815	20	s
1815	23	s
1815	19	s
1815	18	s
1815	20	s
1815	19	s
1816	19	w
1830	18	s
1830	13	s
1830	14	s
1830	16	s
1830	13	w
1830	14	w
1830	15	w
1831	14	w
1831	13	w
1831	15	w
1831	14	w
1831	13	w
1831	14	w
1831	13	w
1831	13	w
1831	17	w
1831	13	s
1831	14	s
1831	13	s
1831	13	s
1831	15	s
1831	45	s
1831	12	s
1831	13	s
1831	12	s
1831	13	s
1831	13	s
1831	12	s
1831	13	s
1831	15	s
1831	13	s
1831	13	w
1831	12	w
1831	13	w
1831	12	w
1831	13	w
1831	12	w
1831	13	w
1831	14	w
1832	12	w
1832	13	w
1832	14	w
1832	13	w
1832	13	w
1832	14	w
1832	13	w
1834	12	w
1834	12	w
1834	12	w
1834	12	s
1834	12	w
1834	12	w
1836	13	w
1836	12	w
1838	15	s
1838	11	s
1838	14	s
1839	12	w
1839	12	w
1839	12	w
1840	9	w
1840	8	w
1841	10	w
1841	9	w
1841	11	s
1842	10	s
1842	11	s
1843	10	s
1848	6	s
1849	6	w
1852	6	s
1853	9	w
1853	6	s
1853	7	s
1853	7	w
1853	7	w
1853	6	w
1854	7	w
1854	7	w
1854	8	w
1854	6	s
1859	8	s
1862	7	w
1863	4	w
1870	3	w
1875	4	s
1875	3	s
1875	1	s
1876	7	s
1877	2	s
1880	4	w
1883	3	w
1886	5	w
1886	2	w
1886	1	w
1886	3	w
1886	2	w
1886	3	s
1887	2	s
1887	3	s
