year	delta	season
1808	18	w
1809	21	w
1809	18	s
1809	25	s
1809	17	s
1810	19	w
1810	17	s
1810	18	s
1811	20	w
1811	17	w
1812	15	w
1813	16	s
1813	27	s
1814	17	s
1816	14	s
1816	18	w
1817	15	s
1817	19	s
1818	13	s
1822	21	w
1827	13	s
1831	20	w
1838	10	s
1841	25	s
1841	7	s
1842	5	s
1844	10	s
1844	6	s
1844	9	s
1844	19	s
1845	7	s
1845	6	s
1845	7	s
1845	6	s
1845	11	s
1846	6	s
1847	6	w
1847	7	w
1847	6	s
1847	5	s
1847	8	s
1847	7	s
1847	7	s
1847	13	s
1847	7	s
1847	5	s
1847	6	s
1847	13	s
1847	8	w
1847	14	w
1847	10	w
1847	6	w
1847	8	w
1847	11	w
1847	9	w
1848	9	w
1848	6	w
1848	7	w
1848	5	w
1848	7	w
1848	10	w
1848	11	s
1848	6	s
1848	5	s
1848	18	s
1848	5	s
1848	7	s
1848	5	s
1848	5	s
1848	5	s
1848	5	s
1848	5	w
1848	4	w
1848	6	w
1848	5	w
1849	8	w
1850	10	w
1850	6	w
1850	9	s
1850	8	s
1850	8	s
1850	5	s
1850	5	s
1850	6	s
1850	5	s
1851	8	w
1851	7	w
1851	6	w
1851	6	w
1851	9	s
1851	6	w
1851	7	w
1852	6	s
1852	7	s
1852	7	s
1852	8	w
1853	8	s
1853	7	s
1853	9	s
1853	4	w
1853	4	w
1853	7	w
1853	5	w
1854	5	w
1854	14	w
1854	6	s
1854	4	s
1855	8	w
1855	4	w
1855	10	s
1855	5	s
1856	12	s
1856	7	w
1857	4	w
1857	3	s
1857	9	s
1858	7	s
1858	10	s
1858	3	w
1859	7	w
1859	12	w
1859	4	w
1859	11	w
1859	4	w
1859	6	w
1859	6	w
1859	7	s
1859	10	s
1859	7	w
1860	9	s
1861	6	s
1861	6	s
1863	4	w
1865	2	s
1866	3	w
1866	3	s
1866	4	s
1870	2	w
1871	2	s
1874	3	s
1876	2	w
1876	4	w
1876	3	w
1876	2	w
1876	3	w
1876	2	s
1878	4	s
1878	4	s
1883	2	w
1883	2	w
1886	2	w
1887	2	s
1887	3	w
