year	delta	season
1802	34	w
1802	42	w
1802	33	w
1802	33	s
1802	33	s
1802	33	s
1802	31	s
1802	32	s
1802	34	s
1802	32	s
1802	29	s
1802	26	w
1803	41	w
1803	34	w
1803	34	s
1803	27	w
1803	35	w
1804	34	w
1804	33	s
1804	33	s
1804	34	w
1805	33	w
1805	33	s
1806	40	w
1806	34	s
1807	63	w
1807	34	w
1807	40	w
1808	31	w
1808	38	w
1808	32	w
1808	32	w
1808	31	s
1809	34	w
1809	28	s
1809	32	s
1809	31	s
1809	31	s
1809	30	s
1809	40	s
1809	37	w
1809	31	w
1810	31	w
1810	31	w
1810	23	w
1810	29	w
1810	30	s
1810	33	s
1810	31	s
1810	31	s
1810	28	s
1810	32	s
1810	31	s
1810	34	s
1810	30	w
1810	28	w
1810	33	w
1810	31	w
1811	32	w
1811	31	w
1811	32	w
1811	34	w
1811	31	w
1811	32	s
1811	28	s
1811	31	s
1811	32	s
1812	39	w
1812	32	w
1814	27	s
1814	23	w
1815	34	w
1815	31	w
1815	28	w
1815	28	s
1815	25	s
1815	29	s
1815	28	s
1815	28	s
1815	28	s
1815	36	s
1815	28	s
1815	33	w
1815	26	w
1816	27	w
1816	36	w
1816	27	w
1816	28	w
1817	37	w
1818	33	w
1819	35	s
1820	37	s
1821	28	w
1821	29	w
1823	27	w
1825	26	w
1825	25	s
1825	24	s
1831	26	w
1831	24	s
1832	21	w
1832	17	w
1832	18	s
1832	18	s
1832	17	w
1832	17	w
1832	23	w
1832	18	w
1832	30	w
1833	17	w
1833	19	s
1834	22	w
1834	18	w
1834	17	s
1834	18	s
1834	18	s
1834	17	s
1835	18	w
1835	15	w
1835	16	s
1835	17	s
1836	15	w
1836	17	w
1836	15	w
1836	14	s
1838	15	w
1838	16	s
1838	15	s
1838	15	s
1838	15	s
1838	14	s
1838	15	s
1838	16	s
1838	17	s
1838	17	s
1838	16	s
1838	17	w
1838	20	w
1838	15	w
1839	15	w
1839	15	w
1839	15	w
1839	18	s
1840	17	w
1840	13	s
1840	17	s
1841	16	s
1843	12	s
1843	16	s
1843	12	s
1843	12	s
1843	16	w
1844	25	w
1844	20	w
1844	16	s
1844	16	s
1844	23	w
1845	13	w
1846	27	w
1846	15	s
1847	17	w
1847	13	s
1847	13	s
1847	15	s
1847	13	w
1847	12	w
1848	14	w
1848	13	w
1848	17	w
1848	15	w
1848	15	w
1848	13	w
1848	15	w
1848	14	w
1848	14	w
1848	14	w
1848	14	w
1848	12	w
1848	15	w
1848	16	w
1848	13	w
1848	17	w
1848	23	w
1848	15	w
1848	13	w
1848	14	w
1848	10	s
1848	13	s
1848	14	s
1848	14	s
1848	18	s
1848	15	s
1848	13	s
1848	13	s
1848	14	s
1848	14	s
1848	13	s
1848	11	s
1848	9	s
1848	14	s
1848	15	s
1848	12	s
1848	13	s
1848	14	s
1848	14	s
1848	11	s
1848	12	s
1848	16	s
1848	13	s
1848	14	s
1848	13	s
1848	22	s
1848	13	s
1848	11	s
1848	10	s
1848	11	s
1848	11	s
1848	11	s
1848	13	s
1848	15	s
1848	12	s
1848	19	s
1848	11	s
1848	12	s
1848	10	s
1848	12	s
1848	15	s
1848	9	s
1848	13	s
1848	14	s
1848	14	w
1848	13	w
1848	18	w
1848	16	w
1848	11	w
1848	16	w
1848	13	w
1848	14	w
1848	16	w
1848	14	w
1848	13	w
1848	13	w
1848	10	w
1848	14	w
1848	11	w
1848	11	w
1848	12	w
1848	15	w
1848	20	w
1848	15	w
1849	12	w
1849	13	w
1849	14	w
1849	11	w
1849	15	w
1849	11	w
1849	12	w
1849	19	w
1849	14	w
1849	15	w
1849	12	w
1849	17	w
1849	11	w
1849	12	w
1849	11	w
1849	11	w
1849	12	w
1849	14	w
1849	12	w
1849	11	w
1849	13	w
1849	12	w
1849	13	w
1849	11	s
1849	11	s
1849	11	s
1849	10	s
1849	10	s
1849	11	s
1849	12	s
1849	12	s
1849	17	w
1849	10	w
1850	17	w
1850	15	w
1850	12	w
1850	14	w
1850	14	w
1850	11	s
1850	12	s
1850	11	s
1850	12	s
1850	6	w
1850	11	w
1850	13	w
1850	11	w
1850	13	w
1850	11	w
1850	15	w
1851	11	w
1851	15	w
1851	10	w
1851	11	w
1851	14	w
1851	9	w
1851	12	w
1851	9	s
1851	12	s
1851	12	s
1851	12	s
1851	9	s
1851	12	s
1851	8	s
1851	8	s
1851	9	s
1851	10	s
1851	13	s
1851	16	s
1851	14	s
1851	11	s
1851	9	s
1851	7	s
1851	11	s
1851	7	s
1851	8	s
1851	10	s
1851	11	s
1851	17	w
1851	11	w
1852	12	w
1852	13	s
1852	9	s
1852	12	s
1852	9	s
1852	13	s
1852	13	s
1852	11	s
1852	7	s
1853	7	w
1853	6	w
1853	8	w
1853	7	w
1853	12	w
1853	8	w
1853	12	w
1853	11	w
1853	12	w
1853	13	w
1853	10	w
1853	8	w
1853	12	w
1853	10	w
1853	11	w
1853	12	w
1853	11	w
1853	11	w
1853	9	w
1853	14	w
1853	8	w
1853	13	w
1853	12	w
1853	12	w
1853	13	w
1853	9	w
1853	9	w
1853	10	w
1853	15	w
1853	11	w
1853	12	w
1853	13	w
1853	10	w
1853	14	w
1853	10	w
1853	12	s
1853	14	s
1853	9	s
1853	7	s
1853	10	s
1853	10	s
1853	13	s
1853	12	s
1853	13	s
1853	9	s
1853	13	s
1853	11	s
1853	12	s
1853	12	s
1853	9	s
1853	6	s
1853	13	s
1853	14	s
1853	10	w
1853	7	w
1853	8	w
1854	11	w
1854	10	w
1854	16	w
1854	5	s
1854	10	s
1854	9	s
1855	9	w
1855	7	s
1855	8	s
1855	7	s
1855	11	s
1855	10	s
1855	9	s
1855	15	s
1856	11	w
1856	9	w
1856	7	w
1856	7	w
1856	11	w
1856	7	w
1856	7	w
1856	8	w
1856	9	w
1857	5	w
1857	9	w
1857	12	w
1857	6	w
1857	4	w
1857	8	w
1857	9	w
1857	12	w
1857	9	w
1857	12	w
1857	11	w
1857	10	w
1857	8	w
1857	7	w
1857	9	w
1857	7	w
1857	12	w
1857	11	w
1857	14	w
1857	7	w
1857	10	w
1857	7	w
1857	12	w
1857	10	w
1857	5	w
1857	7	w
1857	11	w
1857	10	w
1857	10	s
1857	9	s
1857	10	s
1857	14	s
1857	16	s
1857	9	s
1857	5	s
1857	11	s
1857	7	w
1857	7	w
1857	9	w
1857	9	w
1857	16	w
1858	9	w
1858	10	w
1858	7	w
1858	6	s
1858	7	s
1858	8	s
1858	8	s
1858	12	s
1858	27	s
1858	7	s
1858	13	s
1858	7	w
1858	9	w
1858	14	w
1858	11	w
1858	9	w
1858	13	w
1859	11	w
1859	15	w
1859	9	w
1859	7	w
1859	9	w
1859	7	w
1859	12	w
1859	9	w
1859	9	w
1859	9	w
1859	9	w
1859	10	w
1859	8	w
1859	9	w
1859	8	w
1859	6	w
1859	7	s
1859	15	s
1859	8	s
1859	8	s
1859	8	s
1859	12	s
1859	7	s
1859	13	s
1859	5	s
1859	7	s
1859	14	s
1859	5	s
1859	8	w
1860	10	w
1860	9	w
1860	9	w
1860	4	w
1860	7	w
1860	4	s
1860	8	s
1860	9	s
1860	5	s
1860	5	s
1860	4	s
1860	4	s
1860	4	s
1860	4	s
1860	4	s
1860	5	s
1860	5	s
1860	6	w
1860	6	w
1860	5	w
1860	6	w
1860	7	w
1860	6	w
1860	6	w
1860	7	w
1860	8	w
1860	7	w
1860	7	w
1860	6	w
1860	6	w
1860	5	w
1860	7	w
1860	7	w
1860	7	w
1860	6	w
1860	10	w
1860	7	w
1860	7	w
1860	7	w
1860	7	w
1860	9	w
1860	7	w
1861	6	w
1861	23	w
1861	7	w
1861	4	w
1861	6	w
1861	6	w
1861	7	w
1861	7	w
1861	5	w
1861	7	w
1861	13	w
1861	7	w
1861	7	s
1861	6	s
1861	7	s
1861	8	s
1861	7	s
1861	7	s
1861	7	s
1861	7	s
1861	9	s
1861	7	s
1861	8	s
1861	7	s
1861	7	s
1861	7	s
1861	5	w
1861	6	w
1861	6	w
1861	6	w
1861	5	w
1861	6	w
1861	5	w
1862	2	w
1862	3	w
1862	1	s
1862	7	s
1862	7	s
1862	5	w
1863	6	w
1863	3	w
1863	12	w
1863	6	w
1863	12	s
1865	15	w
1866	12	w
1866	4	s
1866	3	s
1866	4	s
1866	4	s
1866	5	s
1866	3	s
1866	3	w
1868	10	s
1868	4	s
1868	2	s
1868	1	w
1869	4	s
1869	3	s
1869	3	s
1870	1	s
1870	3	w
1873	3	w
1873	3	s
1873	6	s
1873	3	s
1873	3	s
1874	4	s
1875	4	s
1875	3	w
1875	1	w
1875	1	w
1875	1	w
1875	204	s
1876	4	w
1877	9	w
1878	2	s
1880	2	w
1880	3	s
1881	3	s
1881	12	s
1883	6	w
1883	7	w
1883	2	s
1887	1	w
1887	1	w
1887	2	w
1887	3	s
1888	3	s
1888	2	s
1888	2	s
1888	2	s
1888	2	s
1888	3	s
1888	2	w
