year	delta	season
1802	21	w
1802	21	w
1802	22	w
1802	21	s
1802	22	s
1802	21	s
1802	22	s
1802	22	s
1802	22	s
1803	21	w
1803	21	w
1803	22	w
1803	25	w
1803	21	w
1804	22	w
1804	22	w
1804	21	w
1804	22	w
1804	21	w
1804	21	w
1804	25	w
1804	25	w
1804	21	w
1804	23	s
1804	21	s
1804	20	s
1804	22	s
1804	21	s
1804	22	s
1804	21	s
1805	21	w
1805	23	w
1805	21	w
1805	21	w
1805	21	s
1805	21	s
1805	21	s
1805	21	s
1805	21	s
1805	21	s
1805	21	s
1805	21	s
1805	21	s
1805	21	s
1805	22	s
1805	25	s
1805	22	w
1805	26	w
1806	26	w
1806	21	w
1806	21	w
1806	21	w
1806	25	w
1806	21	w
1806	22	w
1806	21	w
1806	25	w
1806	25	w
1806	32	w
1806	28	w
1806	28	w
1806	25	w
1806	25	w
1806	25	s
1806	21	s
1806	25	s
1806	22	s
1806	21	s
1806	28	s
1806	21	s
1806	22	s
1806	22	s
1806	22	s
1806	22	s
1806	23	s
1806	22	s
1806	22	s
1806	25	s
1806	21	s
1806	20	s
1806	22	s
1806	25	s
1806	54	w
1806	38	w
1806	33	w
1806	35	w
1807	36	w
1807	40	w
1807	43	w
1807	46	w
1807	58	w
1807	67	w
1807	32	s
1807	85	w
1807	63	s
1807	32	s
1808	29	w
1808	21	s
1808	21	s
1809	23	w
1809	25	w
1809	22	w
1809	21	w
1809	20	s
1809	22	s
1809	19	s
1809	22	s
1809	22	s
1809	20	s
1809	23	s
1809	24	s
1809	21	s
1809	20	s
1809	21	s
1809	20	s
1809	22	s
1810	19	w
1810	21	w
1810	22	w
1810	21	w
1810	21	w
1810	22	w
1810	22	w
1810	21	w
1810	28	w
1810	21	w
1810	21	w
1810	21	w
1810	20	w
1810	21	s
1810	21	s
1810	20	s
1810	21	s
1810	20	s
1810	21	s
1810	31	s
1810	21	s
1810	22	s
1810	21	s
1810	21	s
1810	20	s
1810	19	s
1810	23	s
1810	24	s
1810	25	s
1810	25	s
1810	21	s
1810	19	s
1810	23	s
1810	22	s
1810	20	w
1810	20	w
1810	26	w
1810	20	w
1810	19	w
1810	22	w
1810	23	w
1811	21	w
1811	28	w
1811	21	w
1811	21	w
1811	22	w
1811	20	s
1811	21	s
1811	23	s
1811	20	s
1811	27	s
1811	24	s
1811	21	s
1811	29	s
1811	22	s
1811	21	s
1811	27	w
1812	23	w
1812	21	s
1813	27	s
1813	22	s
1813	35	s
1813	26	s
1813	27	s
1813	34	s
1813	21	w
1813	23	w
1813	22	w
1813	30	w
1814	25	w
1814	19	w
1814	24	w
1814	20	w
1814	20	w
1814	21	s
1814	20	s
1814	18	s
1814	21	s
1814	20	s
1814	22	s
1814	19	s
1814	20	s
1814	20	s
1814	21	s
1814	20	s
1814	19	s
1814	22	s
1814	18	s
1814	20	s
1814	16	s
1814	19	s
1814	21	s
1814	20	w
1814	24	w
1814	20	w
1814	13	w
1814	20	w
1814	18	w
1814	16	w
1815	20	w
1815	17	w
1815	19	w
1815	20	w
1815	15	w
1815	19	w
1815	20	w
1815	18	w
1815	19	w
1815	20	w
1815	18	w
1815	19	w
1815	17	w
1815	18	w
1815	20	w
1815	20	w
1815	20	w
1815	18	w
1815	19	w
1815	18	w
1815	19	s
1815	19	s
1815	18	s
1815	18	s
1815	19	s
1815	19	s
1815	18	s
1815	20	s
1815	19	s
1815	19	s
1815	18	s
1815	18	s
1815	18	s
1815	16	s
1815	18	s
1815	19	s
1815	21	s
1815	19	s
1815	21	s
1815	21	s
1815	18	s
1815	19	s
1815	19	s
1815	17	s
1815	18	s
1815	19	s
1815	19	s
1815	15	s
1815	17	s
1815	19	s
1815	19	s
1815	20	s
1815	20	s
1815	20	s
1815	21	s
1815	19	s
1815	18	w
1815	17	w
1815	19	w
1815	18	w
1815	19	w
1815	18	w
1815	18	w
1815	20	w
1815	19	w
1815	21	w
1815	18	w
1815	20	w
1815	19	w
1815	23	w
1815	20	w
1815	19	w
1815	19	w
1816	19	w
1816	25	w
1816	19	w
1816	18	w
1816	21	w
1816	22	w
1816	18	w
1816	17	w
1816	18	w
1816	19	w
1816	19	w
1816	20	w
1816	17	w
1816	21	w
1816	17	w
1816	19	w
1816	19	w
1816	23	w
1816	17	w
1816	18	w
1816	21	w
1816	20	w
1816	18	w
1816	27	w
1816	18	w
1816	20	w
1816	20	w
1816	19	w
1816	18	s
1816	21	s
1816	18	s
1816	24	s
1816	18	s
1816	18	s
1816	19	s
1816	18	s
1816	19	s
1816	21	s
1816	20	s
1816	21	s
1816	19	s
1816	24	s
1816	21	s
1816	19	s
1816	18	s
1816	18	s
1816	20	s
1816	22	s
1816	18	s
1816	21	s
1816	19	s
1816	20	s
1816	21	s
1816	21	s
1816	18	s
1816	19	s
1816	19	s
1816	21	s
1816	19	s
1816	20	s
1816	19	s
1816	18	s
1816	19	s
1816	19	s
1816	19	s
1816	20	s
1816	21	s
1816	18	s
1816	18	s
1816	12	s
1816	19	s
1816	18	s
1816	21	s
1816	19	s
1816	18	s
1816	19	s
1816	16	s
1816	20	s
1816	20	s
1816	18	s
1816	18	w
1816	20	w
1816	18	w
1816	20	w
1816	19	w
1816	18	w
1816	18	w
1816	21	w
1816	18	w
1816	20	w
1816	21	w
1816	18	w
1816	20	w
1816	20	w
1816	19	w
1816	20	w
1816	18	w
1816	18	w
1816	21	w
1816	18	w
1816	22	w
1817	22	w
1817	19	w
1817	19	w
