year	delta	season
1802	25	w
1802	22	w
1802	21	s
1802	18	s
1803	19	w
1803	20	w
1803	19	w
1804	25	w
1805	24	s
1805	22	s
1805	21	s
1807	29	w
1808	29	s
1808	27	s
1808	25	w
1810	27	w
1810	29	s
1810	33	w
1811	19	w
1814	17	s
1814	25	s
1815	21	w
1815	23	s
1816	22	s
1817	15	s
1817	22	s
1817	21	s
1819	23	w
1823	30	w
1825	19	w
1828	16	s
1829	14	s
1830	18	w
1831	24	w
1831	19	w
1831	13	s
1831	26	s
1831	16	s
1831	16	s
1832	20	s
1832	19	s
1832	25	s
1832	25	s
1833	13	s
1834	15	w
1834	11	w
1834	11	s
1835	9	w
1835	19	w
1835	11	s
1835	12	s
1836	12	s
1837	15	w
1837	21	w
1837	16	s
1837	11	s
1839	9	w
1840	39	s
1840	14	w
1841	14	w
1841	13	w
1842	11	s
1842	15	w
1843	13	w
1843	40	s
1843	9	s
1843	10	w
1844	8	s
1844	12	s
1844	9	w
1844	14	w
1845	14	w
1846	9	s
1846	15	s
1846	12	s
1846	10	w
1847	13	w
1847	14	s
1847	14	s
1848	9	w
1848	8	w
1848	9	w
1848	8	w
1848	13	w
1848	12	w
1848	14	w
1848	8	s
1848	7	s
1848	7	s
1848	9	s
1848	7	s
1848	7	s
1848	8	s
1848	8	s
1849	9	w
1849	6	w
1849	9	s
1849	8	s
1849	8	s
1849	11	s
1849	10	s
1849	9	s
1849	8	s
1849	7	s
1849	8	s
1849	7	s
1849	8	s
1849	8	s
1849	7	s
1849	7	s
1849	7	s
1849	13	s
1849	9	s
1849	9	w
1850	13	w
1850	9	w
1850	9	w
1850	6	w
1850	6	s
1850	8	s
1850	9	s
1850	8	s
1850	9	s
1850	8	s
1850	7	s
1850	9	w
1850	10	w
1851	7	s
1851	7	s
1851	7	s
1851	7	s
1851	10	s
1851	8	s
1851	6	s
1851	7	s
1852	8	w
1852	9	s
1852	13	s
1852	9	s
1852	9	s
1852	12	s
1852	9	w
1853	8	s
1853	8	s
1853	5	w
1853	6	w
1853	10	w
1854	7	w
1854	7	w
1854	7	w
1854	6	w
1854	8	w
1854	8	s
1854	6	s
1854	9	s
1854	8	s
1854	6	s
1854	5	w
1855	9	w
1855	7	w
1855	8	s
1855	12	s
1855	6	s
1855	5	s
1855	6	w
1856	11	w
1856	7	w
1856	7	w
1856	5	s
1856	6	s
1856	5	s
1856	6	s
1856	7	w
1857	6	w
1857	7	s
1857	9	s
1857	8	s
1857	7	s
1857	8	s
1857	5	s
1857	6	w
1857	5	w
1857	4	w
1857	5	w
1857	5	w
1857	6	w
1857	5	w
1857	5	w
1857	6	w
1857	5	w
1857	4	w
1857	6	w
1857	7	w
1857	6	w
1857	4	w
1857	7	w
1857	5	w
1857	9	w
1857	7	w
1857	5	w
1857	6	w
1857	8	w
1857	11	w
1857	6	w
1857	5	w
1858	7	w
1858	5	w
1858	8	s
1858	9	s
1858	7	s
1858	8	s
1858	11	w
1858	6	w
1858	16	w
1859	8	w
1859	7	s
1859	7	s
1859	8	w
1860	8	w
1860	6	w
1860	8	w
1860	6	w
1860	8	s
1860	7	s
1860	9	w
1860	6	w
1860	6	w
1861	8	s
1861	7	s
1862	8	s
1862	11	w
1862	12	w
1862	11	w
1863	3	s
1863	8	s
1866	8	s
1866	3	s
1867	5	s
1867	10	w
1868	6	s
1868	15	s
1869	3	s
1869	3	s
1869	5	s
1870	2	s
1870	1	s
1870	5	s
1870	3	s
1870	8	s
1871	3	w
1871	6	s
1871	2	w
1871	2	w
1871	5	w
1872	5	s
1872	6	s
1873	5	s
1874	5	w
1874	3	s
1874	4	s
1874	3	s
1874	9	s
1874	4	s
1874	3	s
1875	3	s
1875	3	s
1876	6	s
1878	3	s
1879	6	s
1881	2	w
1886	4	s
1886	1	w
1886	1	w
1886	2	w
1887	4	s
1887	3	s
