year	delta	season
1812	107	s
1822	54	w
1823	53	w
1823	49	w
1824	49	w
1826	41	s
1828	45	w
1831	60	w
1836	38	s
1836	66	s
1837	64	w
1837	26	s
1840	25	w
1840	23	w
1841	22	w
1841	18	w
1841	23	s
1841	16	s
1841	20	w
1842	50	s
1844	28	w
1844	25	s
1844	15	s
1845	18	s
1847	25	w
1848	49	s
1850	22	s
1850	12	s
1850	24	s
1851	20	s
1851	21	s
1851	15	s
1852	27	w
1852	33	w
1852	17	w
1853	12	s
1853	11	s
1854	13	w
1854	19	w
1854	11	s
1854	9	s
1854	19	s
1854	11	s
1854	17	s
1855	14	w
1855	14	w
1855	15	s
1855	16	s
1856	12	s
1856	13	s
1856	13	s
1856	12	s
1856	13	w
1856	23	w
1857	21	w
1857	11	s
1857	12	s
1857	8	w
1858	16	w
1858	14	s
1858	6	s
1859	6	w
1859	10	w
1859	13	s
1859	10	s
1859	15	s
1859	12	s
1860	13	s
1867	4	s
1867	3	s
1867	4	w
1868	3	s
1868	4	s
1868	4	s
1874	1	w
1876	3	s
1876	3	s
1876	3	w
1877	3	s
1877	3	s
1878	3	w
1878	3	w
1878	3	s
1878	3	s
1878	3	s
1885	3	w
1886	2	s
