year	delta
1802	25
1804	22
1804	26
1804	23
1804	22
1804	22
1805	20
1805	21
1805	26
1805	22
1805	22
1805	23
1805	22
1805	23
1805	23
1806	26
1806	33
1809	35
1810	23
1811	21
1814	21
1814	22
1814	23
1815	22
1815	20
1815	20
1815	19
1817	23
1817	22
1818	24
1819	21
1819	21
1819	28
1819	24
1824	22
1832	13
1832	13
1835	12
1836	12
1841	14
1841	15
1843	11
1844	8
1845	9
1845	9
1845	16
1846	10
1846	11
1847	11
1847	9
1848	8
1848	9
1848	8
1848	6
1848	7
1848	7
1848	9
1848	9
1848	10
1848	9
1848	8
1848	7
1848	8
1848	8
1848	11
1848	9
1848	10
1849	7
1849	8
1849	8
1849	9
1849	8
1849	9
1849	8
1849	9
1849	7
1849	8
1849	10
1849	7
1849	12
1849	9
1849	8
1849	7
1849	8
1850	11
1850	9
1850	10
1850	6
1850	10
1850	7
1850	9
1850	7
1850	10
1851	6
1851	11
1852	8
1852	8
1852	8
1852	7
1852	7
1853	6
1853	8
1853	5
1853	8
1853	13
1853	8
1853	8
1853	6
1853	7
1853	10
1853	13
1854	7
1854	7
1854	7
1854	7
1854	10
1854	7
1855	7
1855	6
1855	5
1855	6
1856	9
1856	7
1856	7
1856	6
1856	11
1856	6
1856	6
1856	6
1857	5
1857	5
1857	8
1857	8
1857	9
1858	9
1859	7
1859	7
1859	9
1859	9
1859	8
1859	8
1859	11
1859	8
1859	7
1860	9
1860	9
1860	8
1860	7
1860	7
1861	7
1861	7
1862	10
1862	8
1862	10
1864	6
1866	4
1866	4
1867	10
1867	3
1867	10
1873	2
1873	8
1873	5
1876	5
1878	2
1880	2
1881	2
1884	2
1886	3
