year	delta	season
1809	33	w
1810	36	w
1810	33	s
1815	31	s
1816	32	s
1817	33	s
1817	30	w
1818	26	w
1818	32	w
1819	31	w
1821	30	s
1821	27	s
1821	37	s
1822	31	w
1822	30	w
1822	31	w
1822	32	s
1822	30	w
1822	32	w
1823	30	w
1823	27	w
1823	31	s
1823	35	s
1823	33	w
1823	36	w
1824	28	w
1824	30	w
1824	26	w
1824	33	w
1824	24	s
1825	33	w
1825	30	s
1825	26	s
1826	37	w
1826	26	w
1826	26	w
1826	28	w
1826	28	s
1827	28	s
1827	29	w
1828	22	w
1828	28	w
1828	19	w
1828	23	w
1828	23	s
1828	24	s
1828	22	s
1828	21	s
1828	22	w
1829	22	w
1829	22	w
1830	25	w
1831	21	w
1831	21	s
1832	24	w
1834	22	s
1836	20	s
1836	23	w
1838	19	s
1839	16	w
1839	14	w
1839	15	w
1839	16	w
1840	13	w
1840	12	w
1840	15	s
1840	15	s
1841	17	w
1841	19	s
1841	13	s
1841	15	s
1841	15	w
1842	15	s
1842	15	s
1843	11	w
1843	17	w
1844	20	w
1845	14	w
1845	19	w
1846	17	w
1846	16	w
1848	10	w
1849	12	s
1850	18	w
1850	16	w
1850	16	s
1850	16	s
1850	15	s
1851	15	w
1851	16	s
1851	10	s
1851	14	s
1852	14	s
1852	8	s
1853	7	s
1853	5	s
1853	6	s
1853	5	s
1853	11	s
1853	4	w
1854	10	w
1854	6	w
1854	7	w
1854	8	s
1854	6	s
1854	6	s
1854	10	s
1854	6	s
1854	7	s
1854	5	w
1854	5	w
1854	5	w
1854	6	w
1854	5	w
1854	5	w
1854	6	w
1854	7	w
1854	6	w
1854	8	w
1855	7	w
1855	8	w
1855	6	w
1855	10	w
1855	10	w
1855	7	w
1855	6	w
1855	10	s
1855	13	s
1855	4	s
1855	5	s
1855	5	s
1855	5	s
1855	7	s
1855	12	s
1855	7	s
1855	5	s
1855	6	w
1855	5	w
1855	5	w
1855	5	w
1855	6	w
1855	5	w
1855	6	w
1855	6	w
1856	6	w
1856	6	w
1856	7	w
1856	6	w
1856	5	w
1856	6	w
1856	4	w
1856	5	w
1856	6	w
1856	4	w
1856	5	w
1856	6	w
1856	5	w
1856	5	s
1856	7	s
1856	6	s
1856	6	s
1856	6	s
1856	4	s
1856	9	s
1856	7	s
1856	6	s
1856	8	s
1856	6	s
1856	6	s
1856	5	s
1856	5	w
1856	5	w
1856	5	w
1856	5	w
1856	8	w
1856	10	w
1856	6	w
1857	6	w
1857	8	w
1857	5	w
1857	7	w
1857	6	w
1857	5	w
1857	5	w
1857	5	w
1857	5	w
1857	7	w
1857	6	w
1857	8	s
1857	5	s
1857	6	s
1857	6	s
1857	6	s
1857	5	s
1857	5	s
1857	6	s
1857	5	s
1857	5	s
1857	5	s
1857	6	s
1857	7	s
1857	6	s
1857	7	w
1857	6	w
1857	6	w
1857	6	w
1857	5	w
1857	6	w
1857	7	w
1858	8	w
1858	7	w
1858	6	w
1858	5	w
1858	6	w
1858	5	w
1858	6	w
1858	5	w
1858	14	w
1858	6	w
1858	8	w
1858	6	w
1858	6	s
1858	7	s
1858	6	s
1858	10	s
1858	6	s
1858	5	s
1858	6	s
1858	5	w
1858	5	w
1858	6	w
1858	5	w
1858	5	w
1858	5	w
1858	7	w
1859	7	w
1859	7	w
1859	7	w
1859	6	w
1859	5	w
1859	6	w
1859	7	w
1859	7	w
1859	5	w
1859	7	w
1859	6	s
1859	5	s
1859	8	s
1859	7	s
1859	5	s
1859	5	s
1859	6	s
1859	7	s
1859	6	s
1859	5	s
1859	5	s
1859	6	s
1859	4	s
1859	4	s
1859	7	s
1859	6	s
1859	8	s
1859	6	w
1859	8	w
1859	5	w
1859	7	w
1859	9	w
1860	4	w
1860	7	w
1860	7	s
1860	6	s
1861	6	w
1861	6	s
1861	5	s
1862	9	w
1862	3	w
1863	6	w
1864	6	s
1864	5	s
1864	4	w
1865	3	s
1866	5	s
1866	5	w
1866	3	w
1867	9	w
1867	3	s
1867	4	w
1867	2	w
1867	3	w
1868	3	w
1868	8	w
1868	3	s
1868	2	s
1868	3	s
1868	4	s
1869	3	w
1869	6	w
1869	2	w
1869	2	w
1869	2	w
1870	2	w
1870	1	s
1870	10	s
1870	12	w
1870	10	w
1870	10	w
1871	2	w
1871	4	w
1871	4	w
1871	1	w
1871	3	w
1871	2	s
1871	4	s
1871	5	s
1871	3	s
1871	3	s
1871	4	s
1871	3	s
1871	3	s
1871	3	s
1871	4	w
1872	1	w
1873	3	w
1874	4	s
1875	3	s
1878	3	s
1878	3	s
1879	1	w
1879	2	w
1879	2	s
1879	4	s
1880	2	w
1881	2	s
1881	2	s
1881	2	s
1881	2	s
1881	1	s
1881	1	s
1881	3	s
1881	3	w
1881	3	w
1881	3	w
1883	2	w
1883	1	w
1883	1	w
1883	3	s
1883	3	s
1883	3	s
1883	3	s
1883	1	s
1883	3	s
1883	3	s
1883	3	s
1883	3	s
1883	1	s
1883	2	s
1883	1	s
1883	3	s
1884	2	s
1884	1	s
1884	6	s
1884	6	s
1884	8	s
1884	3	s
1885	1	s
1885	2	s
1885	1	s
1885	3	s
1885	1	s
1886	1	w
1886	2	s
1886	3	s
1887	2	w
1887	2	s
