year	delta	season
1802	21	s
1802	21	s
1807	18	w
1807	14	w
1807	16	w
1807	31	w
1807	19	s
1807	44	s
1807	38	w
1808	28	w
1808	28	w
1808	32	w
1811	36	s
1825	18	w
1831	13	s
1831	5	s
1838	14	w
1839	15	s
1841	5	w
1841	11	w
1841	21	w
1841	29	w
1841	12	s
1842	8	s
1843	18	s
1845	14	s
1847	10	s
1847	12	s
1852	13	s
1852	11	s
1853	49	w
1853	64	w
1854	3	w
1854	15	w
1854	21	w
1854	8	s
1854	7	s
1854	6	s
1854	3	s
1854	6	s
1854	3	s
1854	6	s
1854	7	s
1854	7	s
1854	7	s
1854	6	s
1854	9	s
1854	8	s
1854	8	s
1854	8	s
1854	14	s
1854	6	s
1854	9	s
1854	8	s
1854	7	s
1854	8	s
1854	8	s
1854	7	s
1854	6	s
1854	9	s
1854	7	s
1854	7	s
1854	9	s
1854	7	s
1854	11	s
1854	6	s
1854	7	s
1854	7	s
1854	8	s
1854	6	s
1854	7	s
1854	10	s
1854	7	s
1854	8	s
1854	8	s
1854	7	s
1854	8	s
1854	2	s
1854	4	s
1854	4	s
1854	6	s
1854	6	s
1854	6	s
1854	6	w
1854	6	w
1854	10	w
1854	7	w
1854	8	w
1854	9	w
1855	9	w
1855	7	s
1855	6	s
1855	10	s
1855	12	s
1855	9	s
1855	7	s
1855	7	s
1855	8	s
1855	8	s
1855	7	s
1855	7	s
1855	7	s
1855	6	s
1855	7	s
1855	7	w
1855	6	w
1855	11	w
1855	7	w
1855	8	w
1855	12	w
1856	9	s
1856	6	s
1856	9	w
1857	6	s
1857	9	w
1858	6	w
1858	7	s
1858	5	s
1858	7	s
1858	8	s
1858	6	w
1858	6	w
1859	9	w
1859	10	w
1859	9	w
1859	6	w
1860	10	w
1860	8	w
1860	12	w
1860	18	s
1860	9	s
1860	23	s
1861	21	w
1866	9	w
1878	2	s
1878	2	w
1879	3	w
1879	4	s
1879	3	w
1887	3	s
1888	1	s
