year	delta	season
1808	32	s
1809	29	w
1811	25	w
1831	23	w
1849	15	w
1855	10	s
1855	8	s
1865	2	s
1868	3	s
1870	3	w
1870	1	w
1872	8	w
1872	10	w
1872	8	s
1872	13	s
1872	6	s
1872	2	s
1873	2	s
1873	5	s
1873	6	s
1874	3	w
1874	5	w
1874	3	w
1874	5	s
1874	4	s
1874	6	s
1874	7	s
1874	6	s
1874	6	s
1874	7	w
1876	4	w
1877	5	s
1877	5	s
1877	5	w
1879	2	s
1879	2	w
1880	2	w
1883	2	s
1883	3	w
1883	5	w
1884	3	s
1884	1	w
1886	9	s
1886	1	s
1887	3	w
1887	1	w
1887	2	s
1887	2	s
1887	1	s
1887	1	s
1887	2	w
1887	2	w
1888	1	w
