year	delta	season
1804	9	w
1804	8	w
1804	9	w
1805	41	w
1806	35	s
1808	9	s
1808	7	s
1810	5	s
1810	5	s
1810	6	s
1812	10	s
1812	5	s
1812	7	w
1812	4	w
1812	4	w
1812	4	w
1813	5	s
1813	14	s
1813	8	w
1813	5	w
1814	10	w
1816	12	w
1816	8	w
1817	8	s
1818	9	s
1823	7	w
1824	14	s
1831	4	s
1833	7	s
1833	21	s
1834	4	w
1834	6	s
1834	10	w
1834	11	w
1835	5	w
1836	6	w
1836	10	w
1836	20	w
1836	12	s
1836	8	w
1837	7	s
1837	17	w
1838	20	w
1838	11	w
1838	11	w
1838	7	w
1838	7	s
1838	8	s
1838	15	s
1839	7	s
1840	10	w
1841	10	s
1841	25	s
1841	10	s
1841	4	s
1841	13	w
1842	3	w
1842	6	w
1842	2	w
1842	3	s
1842	8	s
1842	17	s
1842	22	s
1843	10	s
1843	11	s
1843	6	s
1843	8	s
1843	2	s
1843	3	s
1843	5	s
1844	16	w
1844	9	s
1844	12	s
1844	15	s
1844	8	s
1845	1	w
1845	1	s
1845	1	s
1845	4	s
1845	1	s
1845	2	s
1845	13	w
1845	20	w
1846	6	w
1846	3	s
1846	9	s
1846	14	s
1846	11	s
1846	14	s
1846	3	s
1846	6	w
1846	40	w
1846	12	w
1846	7	w
1847	16	w
1847	21	w
1847	18	w
1847	9	w
1847	17	s
1847	3	s
1848	6	w
1848	4	w
1848	4	w
1848	3	w
1848	7	w
1848	13	w
1848	8	s
1848	5	s
1848	9	s
1848	11	s
1848	2	s
1848	1	s
1848	4	s
1848	7	w
1849	2	w
1849	8	w
1849	4	s
1849	3	s
1849	3	s
1850	17	w
1850	19	w
1850	8	w
1850	1	s
1850	3	s
1850	8	s
1850	34	s
1850	11	s
1850	32	s
1850	7	w
1850	6	w
1850	5	w
1850	19	w
1851	1	w
1851	7	w
1851	3	s
1851	7	w
1852	18	w
1852	14	w
1852	7	s
1852	8	s
1853	5	w
1853	1	w
1853	4	s
1853	8	s
1853	3	s
1853	5	s
1853	2	s
1853	2	s
1853	3	w
1853	5	w
1853	8	w
1853	3	w
1853	9	w
1853	3	w
1854	7	w
1854	1	w
1854	5	w
1854	5	s
1854	6	s
1854	29	w
1854	4	s
1854	2	s
1854	9	s
1854	3	s
1854	1	s
1854	3	s
1854	3	s
1854	4	s
1854	2	s
1854	11	s
1854	4	s
1854	1	s
1854	2	s
1854	18	s
1854	24	s
1854	2	s
1854	2	s
1854	2	s
1854	2	w
1855	20	s
1855	3	s
1855	6	s
1855	10	s
1855	1	w
1856	20	w
1856	4	w
1856	3	s
1856	10	s
1857	1	w
1857	5	s
1857	32	w
1858	7	w
1858	9	w
1858	3	w
1858	1	w
1858	1	s
1858	1	s
1858	12	w
1858	10	w
1858	10	w
1858	7	w
1858	2	w
1859	2	w
1859	2	w
1859	2	w
1859	4	w
1859	3	w
1859	5	w
1859	5	w
1859	5	w
1859	7	w
1859	1	w
1859	5	w
1859	16	w
1859	6	s
1859	23	s
1859	10	s
1859	6	s
1859	3	s
1859	21	s
1859	5	s
1859	6	s
1859	1	s
1859	3	s
1859	2	s
1859	6	s
1859	6	s
1859	5	s
1859	9	s
1859	4	w
1859	10	w
1859	14	w
1859	6	w
1859	3	w
1859	3	w
1859	3	w
1859	4	w
1859	2	w
1859	2	w
1859	4	w
1860	5	w
1860	6	w
1860	2	w
1860	5	w
1860	5	w
1860	2	w
1860	3	s
1860	3	s
1860	3	s
1860	4	s
1860	2	s
1860	4	s
1860	4	s
1860	3	s
1860	5	s
1860	10	s
1861	14	w
1861	9	w
1861	8	s
1861	12	s
1861	9	s
1861	2	s
1861	6	s
1861	15	w
1862	1	w
1862	15	s
1862	13	s
1862	7	s
1862	67	s
1862	9	s
1862	1	s
1862	3	w
1862	2	w
1862	1	w
1862	9	w
1862	1	w
1863	14	w
1863	15	w
1863	27	w
1863	3	s
1863	1	s
1863	2	s
1863	1	s
1863	125	w
1863	4	w
1863	5	w
1863	5	w
1864	5	s
1864	1	s
1864	4	s
1864	3	s
1864	2	s
1864	8	w
1864	4	w
1865	2	w
1865	8	s
1865	10	s
1865	1	s
1865	5	s
1865	3	s
1865	11	s
1865	2	w
1866	1	w
1866	2	s
1866	4	w
1867	4	s
1867	14	s
1867	340	s
1867	266	w
1867	8	s
1867	1	w
1868	6	w
1868	4	w
1868	4	w
1868	3	w
1868	4	w
1868	6	w
1868	4	w
1868	3	s
1868	3	s
1868	5	s
1868	5	s
1868	4	s
1868	7	s
1868	6	s
1868	5	s
1868	8	s
1868	3	s
1868	3	w
1868	4	w
1868	3	w
1868	6	w
1868	5	w
1869	4	w
1869	1	w
1869	1	s
1869	3	s
1869	2	w
1869	3	s
1869	3	w
1869	3	w
1869	22	w
1869	2	w
1869	4	w
1870	2	w
1870	14	w
1870	4	s
1870	4	s
1870	4	s
1870	8	s
1870	2	s
1870	4	w
1870	2	w
1871	8	w
1871	32	w
1871	5	w
1871	1	w
1871	2	s
1871	3	s
1871	3	s
1871	12	s
1871	5	s
1871	32	s
1871	2	s
1871	16	s
1871	2	s
1871	5	s
1871	4	s
1871	3	s
1871	3	s
1871	2	s
1871	4	s
1871	1	w
1871	3	w
1871	1	w
1871	50	w
