year	delta	season
1821	25	s
1832	28	w
1832	19	w
1832	24	w
1832	20	w
1833	18	s
1834	20	w
1840	15	w
1842	20	s
1846	19	w
1847	22	w
1847	13	s
1847	14	s
1847	16	w
1847	14	w
1847	20	w
1848	15	w
1848	16	w
1848	15	w
1848	24	w
1848	16	w
1849	22	w
1849	16	w
1849	16	w
1849	16	w
1849	18	w
1849	16	s
1849	19	s
1849	17	w
1850	14	w
1850	18	w
1850	23	s
1850	19	s
1850	10	s
1850	19	w
1851	14	w
1851	13	w
1851	12	w
1853	10	w
1853	19	w
1853	9	s
1853	9	s
1853	13	w
1854	14	s
1854	11	s
1856	10	w
1857	8	w
1857	11	s
1857	11	s
1858	8	s
1858	7	s
1858	7	s
1858	10	w
1859	8	w
1859	11	w
1859	8	w
1859	9	w
1859	10	w
1859	9	w
1859	10	w
1859	14	s
1859	9	s
1859	16	s
1859	13	s
1859	13	s
1859	5	s
1859	13	s
1859	12	w
1859	12	w
1859	14	w
1860	10	w
1860	13	w
1860	9	w
1876	12	w
