year	delta	season
1804	24	w
1804	33	w
1804	46	s
1805	32	w
1806	37	s
1807	42	w
1807	38	s
1809	33	w
1809	30	w
1809	27	w
1809	16	w
1809	16	w
1809	16	w
1810	23	w
1810	23	w
1810	33	w
1810	27	w
1810	21	w
1811	26	w
1811	41	w
1811	22	s
1811	22	s
1811	20	s
1811	23	s
1811	30	s
1811	25	s
1811	30	w
1812	23	w
1812	23	s
1812	19	s
1812	23	s
1812	19	s
1812	16	s
1812	16	w
1812	22	w
1812	18	w
1812	15	w
1813	20	w
1813	28	s
1813	22	s
1813	21	w
1813	18	w
1813	24	w
1814	30	s
1814	23	s
1814	54	s
1815	23	w
1815	26	s
1816	19	w
1816	18	s
1816	20	s
1816	26	w
1817	17	w
1817	19	w
1817	20	w
1818	24	w
1818	19	s
1818	17	s
1818	17	s
1818	30	w
1819	23	w
1819	16	w
1820	19	s
1820	22	s
1822	23	w
1826	32	s
1826	16	s
1826	21	s
1826	19	s
1826	23	s
1826	12	s
1826	18	s
1826	17	s
1826	16	s
1826	21	s
1826	15	s
1826	20	s
1827	16	w
1828	17	s
1828	16	w
1829	13	s
1829	21	s
1829	18	w
1830	9	w
1830	22	w
1830	18	w
1831	15	s
1832	19	s
1832	14	s
1833	16	w
1833	10	w
1834	15	s
1834	16	s
1834	12	s
1834	11	s
1835	21	s
1835	16	w
1836	16	s
1836	18	s
1836	10	s
1836	15	s
1837	16	s
1837	13	w
1837	17	w
1838	11	w
1838	42	w
1838	102	w
1838	87	w
1839	11	s
1839	19	s
1840	16	w
1840	15	s
1841	11	s
1841	13	s
1841	17	s
1841	18	s
1842	13	s
1843	18	s
1843	13	s
1844	31	w
1844	8	s
1845	17	s
1845	17	s
1846	12	s
1846	17	s
1846	20	s
1847	14	w
1847	7	w
1847	33	w
1847	61	s
1847	12	s
1847	13	s
1847	13	w
1848	89	w
1848	12	w
1848	14	s
1848	13	s
1848	17	s
1849	38	w
1849	17	w
1849	9	s
1849	13	s
1849	16	s
1849	13	w
1850	12	w
1850	9	w
1850	15	w
1850	18	w
1850	12	s
1850	9	s
1850	10	s
1850	8	s
1850	12	s
1851	11	w
1851	8	w
1851	19	w
1851	11	s
1851	13	s
1851	10	s
1851	10	s
1851	10	s
1851	12	s
1851	14	s
1851	16	s
1852	7	w
1852	10	w
1852	23	w
1852	12	s
1853	10	w
1853	17	w
1853	17	s
1853	13	s
1853	14	s
1853	12	s
1853	12	w
1854	12	w
1854	9	w
1854	14	w
1854	44	s
1854	8	s
1854	20	s
1854	9	s
1854	13	s
1854	13	w
1854	10	w
1855	11	w
1855	17	s
1855	9	s
1855	7	s
1855	6	s
1855	8	s
1855	9	s
1855	11	s
1855	8	s
1855	10	s
1855	8	w
1855	13	w
1856	22	w
1856	7	s
1856	7	s
1856	8	s
1856	9	s
1856	11	s
1856	8	s
1856	7	s
1856	5	s
1856	9	s
1856	10	s
1856	12	s
1856	12	s
1856	12	s
1856	5	s
1856	6	s
1856	26	s
1856	5	s
1856	24	s
1856	5	s
1856	30	s
1856	6	s
1856	5	s
1856	5	s
1856	7	s
1856	25	s
1856	29	s
1856	47	s
1856	22	s
1857	68	w
1857	9	s
1857	9	s
1857	7	s
1857	11	w
1857	12	w
1858	6	s
1858	6	s
1858	8	s
1858	6	s
1858	6	s
1858	6	s
1858	8	s
1858	7	w
1858	9	w
1859	10	w
1859	9	w
1859	8	w
1859	9	s
1859	7	s
1859	7	s
1859	7	s
1859	9	w
1859	9	w
1860	8	w
1860	8	w
1860	20	w
1860	13	s
1860	12	s
1860	14	s
1860	5	s
1860	4	s
1860	4	s
1860	4	s
1860	12	s
1860	14	s
1861	10	s
1861	9	s
1861	10	s
1861	8	s
1861	8	s
1861	7	s
1861	9	s
1861	5	w
1861	5	w
1861	10	w
1861	13	w
1862	22	w
1862	6	w
1862	10	w
1862	6	w
1862	12	s
1862	15	s
1862	10	s
1862	6	s
1862	9	w
1862	16	w
1862	7	w
1862	5	w
1862	3	w
1862	5	w
1862	5	w
1862	8	w
1862	6	w
1862	13	w
1862	4	w
1862	6	w
1862	6	w
1862	6	w
1862	10	w
1862	7	w
1862	8	w
1862	6	w
1863	7	w
1863	8	w
1863	10	w
1863	9	w
1863	5	s
1863	6	s
1863	8	s
1863	35	s
1863	10	s
1863	8	s
1863	10	s
1863	7	s
1863	6	s
1863	7	w
1864	18	w
1864	8	w
1864	11	s
1864	31	s
1864	10	w
1865	4	s
1865	13	s
1865	7	s
1865	7	s
1865	3	s
1865	5	w
1865	6	w
1866	11	w
1866	6	w
1866	8	w
1866	4	s
1866	4	s
1866	4	s
1866	11	s
1866	8	s
1866	5	s
1866	6	s
1866	9	s
1866	9	s
1866	5	s
1866	4	s
1866	27	s
1866	2	w
1866	1	w
1866	5	w
1866	16	w
1867	6	w
1867	6	w
1867	5	w
1867	5	w
1867	7	w
1867	7	w
1867	2	w
1867	8	w
1867	6	w
1867	16	w
1867	6	s
1867	4	s
1867	5	s
1867	4	s
1867	7	s
1867	8	s
1867	6	s
1867	4	s
1867	5	s
1867	6	s
1867	4	s
1867	1	s
1867	3	s
1867	4	s
1867	4	s
1867	4	s
1867	1	w
1867	3	w
1867	4	w
1867	6	w
1868	4	w
1868	5	s
1868	4	s
1868	3	s
1868	3	s
1868	4	s
1868	9	s
1868	26	s
1868	3	s
1868	2	s
1868	2	s
1868	1	s
1868	6	s
1868	2	w
1868	2	w
1868	7	w
1868	1	w
1868	2	w
1868	2	w
1868	3	w
1868	2	w
1868	2	w
1869	7	w
1869	1	w
1869	1	s
1869	2	s
1869	1	s
1869	3	s
1869	5	s
