year	delta	season
1802	25	w
1802	36	w
1802	23	w
1802	21	w
1802	28	s
1802	32	s
1802	22	s
1802	19	s
1804	24	w
1804	14	s
1805	17	w
1805	24	s
1805	23	s
1805	26	s
1805	25	w
1805	27	w
1806	28	w
1806	38	w
1806	27	w
1806	25	w
1806	25	w
1806	24	w
1806	27	w
1806	27	w
1806	38	w
1806	31	w
1806	28	w
1806	28	w
1806	29	w
1806	27	s
1806	27	s
1806	24	s
1806	25	s
1806	27	s
1806	27	s
1806	25	s
1806	73	s
1808	28	w
1808	25	s
1808	29	s
1808	25	s
1809	29	w
1809	25	w
1809	25	w
1809	24	w
1809	24	w
1809	23	w
1809	25	w
1809	23	w
1809	27	s
1809	26	s
1809	26	s
1809	24	s
1809	26	s
1809	24	s
1809	26	s
1809	24	s
1809	27	s
1809	26	s
1809	23	s
1809	24	s
1809	24	s
1809	26	s
1809	26	s
1809	23	s
1809	24	s
1809	24	s
1809	24	s
1809	23	s
1809	24	s
1809	23	s
1809	23	s
1809	24	w
1809	25	w
1809	25	w
1809	24	w
1809	24	w
1810	24	w
1810	25	w
1810	24	w
1810	31	w
1810	26	w
1810	24	w
1810	25	w
1810	24	w
1810	25	w
1810	24	w
1810	25	w
1810	24	w
1810	24	s
1810	23	s
1810	22	s
1810	29	s
1810	24	s
1810	24	s
1810	40	s
1810	24	s
1810	36	s
1810	23	s
1810	22	s
1810	30	s
1810	25	w
1810	24	w
1810	28	w
1810	24	w
1811	24	w
1811	25	w
1811	28	w
1811	24	w
1811	24	w
1811	25	s
1811	24	s
1811	25	s
1811	27	w
1813	28	s
1813	33	w
1813	27	w
1813	25	w
1814	28	w
1814	26	w
1814	25	w
1814	24	s
1814	25	s
1814	25	s
1814	23	s
1815	23	w
1815	24	w
1816	23	w
1816	30	w
1816	22	s
1816	23	s
1816	23	s
1816	27	s
1816	21	w
1816	22	w
1817	25	w
1817	22	w
1817	22	w
1817	23	w
1817	20	s
1817	23	s
1817	26	s
1817	24	s
1817	23	s
1817	24	w
1818	24	s
1818	24	s
1818	23	w
1819	21	w
1819	21	w
1819	21	w
1819	25	w
1819	20	s
1819	22	s
1819	32	s
1819	20	s
1819	22	s
1819	24	s
1819	21	s
1819	23	s
1819	21	s
1819	21	s
1819	23	w
1820	25	s
1821	17	s
1822	23	w
1822	25	w
1822	20	s
1822	24	s
1822	19	s
1822	20	w
1823	19	w
1823	20	w
1823	21	s
1823	18	s
1823	18	s
1825	21	w
1825	15	w
1825	15	w
1825	19	w
1826	19	w
1826	19	s
1826	18	s
1827	20	s
1828	15	w
1828	14	s
1828	14	s
1829	21	s
1829	13	s
1829	14	s
1829	26	s
1829	17	s
1829	13	s
1829	13	w
1829	16	w
1830	18	w
1830	15	w
1830	17	w
1830	17	w
1830	85	w
1830	13	s
1830	14	s
1830	16	s
1830	14	s
1830	14	s
1831	13	w
1831	16	w
1832	19	w
1832	16	w
1832	11	s
1832	14	s
1832	14	s
1832	14	s
1832	13	s
1832	13	s
1832	15	w
1832	13	w
1832	14	w
1832	14	w
1832	13	w
1832	15	w
1832	13	w
1832	20	w
1833	16	w
1833	14	w
1833	15	w
1833	16	s
1833	17	s
1833	15	s
1833	19	s
1833	14	s
1833	15	s
1833	14	s
1833	18	s
1833	15	s
1833	12	s
1833	12	s
1833	12	s
1833	13	s
1833	17	s
1833	11	w
1833	11	w
1833	15	w
1833	12	w
1833	13	w
1833	13	w
1833	16	w
1834	12	w
1834	10	w
1834	12	w
1834	12	w
1834	12	w
1834	12	w
1834	13	w
1834	15	w
1834	11	w
1834	13	w
1834	14	w
1834	21	w
1834	14	w
1834	13	w
1834	14	w
1834	16	s
1834	13	s
1834	14	s
1834	12	s
1834	13	s
1834	14	s
1834	14	s
1834	13	s
1834	10	s
1834	16	s
1834	11	s
1834	13	s
1834	13	s
1834	14	s
1834	15	s
1834	12	s
1834	16	s
1834	13	s
1834	14	w
1834	13	w
1834	11	w
1834	15	w
1834	17	w
1834	12	w
1834	11	w
1834	16	w
1834	14	w
1835	12	w
1835	46	w
1835	13	w
1835	13	w
1835	14	w
1835	13	w
1835	14	w
1835	12	w
1835	22	w
1835	12	w
1835	12	w
1835	13	s
1835	13	s
1835	15	s
1835	13	s
1835	14	s
1835	22	s
1835	13	s
1835	10	s
1835	13	s
1835	11	s
1835	14	s
1835	14	s
1835	12	s
1835	13	s
1835	11	s
1835	11	s
1835	12	s
1835	13	w
1835	12	w
1835	26	w
1835	11	w
1835	23	w
1835	44	w
1835	13	w
1836	12	w
1836	15	w
1836	13	w
1836	13	w
1836	14	w
1836	14	w
1836	12	w
1836	13	w
1836	12	w
1836	11	w
1836	20	w
1836	12	w
1836	13	w
1836	15	w
1836	12	w
1836	14	w
1836	13	w
1836	12	s
1836	14	s
1836	12	s
1836	12	s
1836	16	s
1836	14	s
1836	10	s
1836	12	s
1836	13	s
1836	13	s
1836	13	s
1836	14	s
1836	13	s
1836	11	s
1836	18	s
1836	13	s
1836	12	s
1836	12	s
1836	15	s
1836	11	s
1836	15	s
1836	13	s
1836	13	s
1836	12	s
1836	14	s
1836	15	w
1836	11	w
1836	13	w
1836	11	w
1836	13	w
1836	12	w
1836	11	w
1836	12	w
1836	12	w
1836	13	w
1837	14	w
1837	13	w
1837	12	w
1837	13	w
1837	13	w
1837	13	w
1837	12	w
1837	13	w
1837	11	w
1837	13	w
1837	12	w
1837	14	w
1837	13	w
1837	13	w
1837	13	s
1837	13	s
1837	11	s
1837	12	s
1837	12	s
1837	16	s
1837	12	s
1837	17	s
1837	13	s
1837	12	s
1837	13	s
1837	12	s
1837	14	s
1837	16	s
1837	12	s
1837	12	w
1837	13	w
1838	12	w
1838	12	w
1838	14	w
1838	11	w
1838	13	w
1838	16	w
1838	19	w
1838	14	w
1838	13	w
1838	15	w
1838	16	w
1838	14	w
1838	15	w
1838	13	s
1838	13	s
1838	14	s
1838	16	s
1838	12	s
1838	12	s
1838	12	s
1838	10	s
1838	11	s
1838	13	s
1838	14	s
1838	14	s
1838	13	s
1838	13	s
1838	15	s
1838	11	s
1838	12	s
1838	12	s
1838	13	s
1838	13	s
1838	14	s
1838	14	s
1838	12	s
1838	12	s
1838	11	s
1838	12	s
1838	13	s
1838	11	s
1838	13	s
1838	12	s
1838	11	s
1838	12	s
1838	14	s
1838	12	s
1838	12	s
1838	11	s
1838	12	s
1838	13	s
1838	12	s
1838	11	s
1838	13	s
1838	12	s
1838	13	s
1838	12	s
1838	14	w
1838	13	w
1838	12	w
1838	13	w
1838	12	w
1838	11	w
1838	26	w
1838	15	w
1838	19	w
1838	9	w
1838	11	w
1838	13	w
1838	13	w
1838	14	w
1838	13	w
1839	11	w
1839	13	w
1839	13	w
1839	11	w
1839	12	w
1839	12	w
1839	10	w
1839	61	w
1839	14	w
1839	12	w
1839	12	w
1839	12	w
1839	12	w
1839	14	w
1839	16	w
1839	14	w
1839	11	w
1839	12	w
1839	12	w
1839	11	w
1839	13	s
1839	12	s
1839	12	s
1839	16	s
1839	12	s
1839	12	s
1839	11	s
1839	10	s
1839	12	s
1839	10	s
1839	15	s
