year	delta	season
1802	18	s
1802	17	s
1806	26	s
1811	26	w
1816	19	w
1816	17	w
1816	27	s
1816	24	w
1830	12	s
1832	13	w
1838	24	w
1839	19	w
1840	10	s
1840	7	s
1841	14	w
1842	8	s
1844	14	w
1845	8	w
1845	9	w
1845	12	w
1845	2	w
1846	12	w
1846	17	w
1846	9	s
1846	11	s
1846	8	s
1846	8	s
1846	8	w
1846	7	w
1847	7	w
1847	13	w
1847	15	w
1847	7	s
1847	10	s
1848	9	s
1848	8	s
1848	8	w
1848	6	w
1848	11	w
1849	6	w
1849	10	w
1849	7	s
1849	8	w
1849	7	w
1850	15	w
1850	6	s
1850	10	w
1852	6	w
1852	7	s
1852	9	s
1853	12	s
1853	7	w
1855	5	s
1856	9	w
1858	9	w
1858	9	s
1858	8	s
1858	8	s
1858	8	s
1858	7	w
1858	7	w
1865	3	w
1866	14	s
1870	2	w
1870	9	w
1870	2	w
1870	3	w
1872	5	s
1874	5	w
1874	9	w
1874	4	w
1875	3	w
1875	2	s
1875	5	s
1875	12	s
1875	2	s
1875	6	s
1876	3	w
1879	4	s
1879	11	s
1881	2	w
1884	1	s
1885	2	s
1886	5	s
