year	delta	season
1804	13	s
1810	14	s
1811	23	s
1813	14	s
1816	27	w
1832	16	s
1833	13	s
1834	10	w
1834	14	w
1835	17	w
1846	18	s
1846	16	s
1848	13	w
1850	56	s
1853	4	s
1853	8	s
1853	15	s
1856	8	s
1858	11	s
1860	5	s
1861	9	s
1862	6	s
1862	7	s
1862	10	s
1862	6	w
1862	7	w
1862	6	w
1863	13	w
1863	9	w
1863	15	w
1863	8	s
1863	5	s
1863	9	s
1863	13	s
1863	18	s
1863	5	s
1863	6	s
1863	14	w
1863	5	w
1863	10	w
1863	9	w
1863	8	w
1864	6	w
1864	12	w
1864	12	w
1864	10	s
1864	4	s
1864	9	w
1865	25	w
1865	9	s
1865	9	s
1865	6	s
1865	5	w
1865	18	s
1865	6	w
1865	9	w
1865	6	w
1866	18	w
1866	5	s
1866	8	s
1866	6	s
1866	18	s
1866	9	s
1866	8	w
1867	19	w
1867	6	w
1867	11	s
1867	9	s
1867	7	w
1867	5	w
1868	11	w
1868	5	w
1868	10	s
1868	12	s
1868	5	s
1868	9	w
1869	12	w
1869	24	w
1869	8	s
1869	14	s
1869	8	s
1870	15	w
1870	8	s
1870	2	s
1870	2	s
1871	6	w
1871	1	w
1871	2	w
1871	5	s
1872	5	s
1872	3	s
1872	1	w
1873	4	s
1873	15	s
1874	2	s
1874	3	s
1874	3	s
1880	7	s
1880	5	s
1881	3	w
1881	5	w
1883	3	s
1883	21	w
1886	9	w
