year	delta	season
1802	59	w
1802	46	w
1802	30	w
1802	43	w
1803	50	w
1804	41	s
1804	39	s
1805	43	w
1805	33	w
1805	37	w
1805	35	s
1805	39	s
1805	43	s
1806	39	w
1806	57	w
1806	53	w
1806	46	w
1806	45	w
1806	40	s
1806	34	s
1806	41	s
1806	38	s
1806	33	s
1806	37	s
1806	42	s
1806	47	s
1806	85	s
1806	63	s
1806	46	w
1806	66	w
1806	53	w
1807	78	w
1807	73	s
1807	56	s
1807	50	s
1807	58	s
1807	46	s
1807	43	s
1807	59	s
1807	46	w
1807	43	w
1808	50	w
1808	37	w
1808	43	w
1808	43	s
1808	42	s
1808	31	s
1808	35	s
1808	36	s
1808	32	s
1808	33	s
1808	44	s
1808	37	s
1808	38	s
1808	41	w
1809	40	w
1809	41	w
1809	43	w
1809	43	s
1809	42	s
1809	34	s
1809	31	s
1809	65	s
1809	39	s
1809	35	s
1809	42	s
1810	42	w
1810	36	w
1810	35	s
1810	35	s
1810	37	s
1810	38	s
1810	36	s
1810	36	s
1810	36	s
1810	33	s
1810	36	s
1810	34	s
1810	38	w
1810	39	w
1811	35	w
1811	42	w
1811	34	s
1811	38	s
1811	42	s
1811	33	s
1811	37	s
1811	41	s
1811	38	w
1811	40	w
1811	44	w
1812	41	w
1812	47	w
1812	43	w
1812	38	w
1812	38	w
1812	41	w
1812	34	s
1812	39	s
1814	33	s
1814	34	s
1815	49	w
1815	38	w
1815	41	s
1815	28	w
1816	46	w
1816	35	w
1817	39	w
1817	11	w
1817	43	s
1817	45	s
1818	49	w
1818	40	w
1818	49	s
1819	40	w
1819	22	s
1819	71	s
1820	46	w
1820	33	s
1820	33	s
1820	33	s
1820	41	s
1820	39	s
1820	39	s
1820	37	s
1820	40	s
1820	37	s
1820	38	s
1820	30	s
1820	32	s
1820	37	s
1820	40	s
1820	38	w
1820	39	w
1820	39	w
1820	40	w
1820	38	w
1820	38	w
1820	33	w
1821	36	w
1821	38	w
1821	40	w
1821	38	w
1821	38	w
1821	36	w
1821	35	w
1821	39	w
1821	39	w
1821	40	w
1821	36	w
1821	27	w
1821	39	w
1821	31	s
1821	38	s
1821	36	s
1821	40	s
1821	28	s
1822	39	w
1822	39	w
1822	41	w
1822	38	s
1822	29	s
1822	34	s
1824	35	s
