year	delta	season
1805	80	w
1808	79	w
1808	71	w
1808	91	w
1808	97	s
1808	112	s
1809	57	s
1810	58	w
1811	66	w
1811	78	w
1811	28	w
1811	75	w
1811	72	s
1811	69	s
1811	59	w
1812	64	w
1812	64	w
1812	81	w
1812	84	s
1812	77	s
1816	52	w
1816	62	w
1817	44	w
1817	58	w
1817	48	w
1817	50	s
1817	66	s
1818	46	w
1818	60	w
1818	51	w
1819	49	w
1819	45	w
1819	55	s
1819	51	s
1819	60	s
1820	52	w
1820	45	w
1820	53	s
1820	53	w
1821	49	w
1822	50	w
1822	43	w
1822	47	w
1822	58	w
1822	39	s
1823	42	w
1823	48	w
1824	42	w
1824	41	w
1824	53	w
1824	50	w
1824	46	s
1824	46	s
1824	69	s
1824	42	s
1824	43	w
1825	46	w
1825	48	w
1825	51	w
1825	54	w
1825	44	s
1826	52	w
1826	46	w
1826	44	w
1828	43	w
1828	47	w
1828	37	w
1829	40	w
1829	52	w
1829	45	w
1829	52	w
1829	40	w
1829	43	w
1829	48	s
1829	36	s
1829	39	s
1830	54	w
1830	52	w
1830	59	w
1830	47	w
1830	42	w
1830	50	w
1830	52	w
1830	55	s
1830	47	s
1830	52	s
1830	54	s
1830	52	w
1830	52	w
1831	43	w
1831	48	w
1831	51	w
1831	49	s
1831	40	s
1831	45	s
1831	37	s
1832	47	w
1832	56	w
1832	64	w
1832	63	s
1832	50	s
1833	42	w
1834	67	w
1834	36	w
1834	42	s
1834	41	s
1834	44	s
1834	41	s
1834	34	s
1834	38	s
1834	47	s
1834	33	s
1834	39	w
1834	41	w
1835	39	w
1835	36	w
1835	42	w
1835	35	s
1835	37	s
1835	38	w
1836	40	w
1836	42	w
1836	32	w
1836	40	w
1836	43	w
1836	31	w
1836	33	w
1836	35	w
1836	39	w
1836	41	w
1836	33	w
1836	38	w
1836	73	w
1836	42	s
1836	35	s
1836	40	s
1836	46	s
1836	37	s
1836	42	s
1836	44	w
1837	45	w
1837	42	w
1837	46	w
1837	42	w
1837	41	w
1837	31	w
1837	50	w
1837	36	s
1838	41	w
1838	39	w
1838	36	w
1838	37	w
1838	42	w
1838	47	w
1838	51	w
1838	44	w
1838	35	w
1838	41	w
1838	32	s
1838	33	s
1838	37	s
1838	35	s
1838	37	s
1838	25	s
1838	30	s
1838	33	s
1838	30	s
1838	24	s
1838	34	s
1838	38	s
1838	27	s
1838	32	s
1838	36	w
1839	66	w
1839	34	w
1839	36	w
1839	40	w
1839	39	w
1839	36	s
1839	35	w
1839	31	w
1840	28	w
1840	38	w
1840	22	s
1840	31	s
1840	36	s
1840	25	s
1840	28	s
1840	35	w
1841	40	w
1841	40	w
1841	30	w
1841	30	w
1841	24	w
1841	27	w
1841	31	w
1841	29	w
1841	31	w
1841	30	w
1841	32	w
1841	30	w
1841	29	s
1841	28	s
1841	35	s
1841	33	s
1841	34	s
1841	26	s
1841	28	s
1841	24	s
1841	33	s
1841	28	s
1841	28	s
1841	29	s
1841	26	s
1841	30	s
1841	24	s
1841	28	s
1841	33	s
1841	29	s
1841	30	s
1841	33	s
1841	35	s
1841	28	w
1841	34	w
1841	31	w
1841	29	w
1841	31	w
1842	34	w
1842	34	w
1842	34	w
1842	36	w
1842	29	w
1842	30	w
1842	31	w
1842	33	w
1842	30	w
1842	42	w
1842	32	w
1842	34	w
1842	31	s
1842	26	s
1842	32	s
1842	54	s
1842	27	s
1842	26	s
1842	26	s
1842	28	w
1842	40	w
1843	35	w
1843	40	w
1843	31	w
1843	37	w
1843	27	w
1843	43	w
1843	33	w
1843	34	w
1843	36	w
1843	32	w
1843	34	s
1843	34	s
1843	41	s
1843	41	s
1843	29	s
1843	34	s
1843	31	s
1843	33	s
1843	31	s
1843	30	w
1843	33	w
1844	30	s
1844	36	s
1844	34	w
1845	35	s
1846	50	w
1846	32	s
1846	24	s
1846	25	s
1846	30	s
1846	3	w
1847	39	w
1847	30	w
1848	32	w
1848	37	w
1848	27	w
1848	28	w
1848	75	w
1848	55	s
1848	29	s
1848	24	s
1849	26	w
1849	27	w
1849	20	w
1849	40	w
1849	20	s
1849	23	s
1849	29	w
1850	26	w
1850	22	w
1850	30	w
1850	27	w
1850	27	w
1850	28	w
1850	21	s
1850	20	s
1850	22	s
1850	20	s
1850	24	s
1850	24	s
1850	22	s
1850	23	s
1850	22	s
1850	23	s
1850	24	s
1850	22	s
1850	24	s
1850	23	w
1850	24	w
1850	25	w
1851	21	w
1851	26	w
1851	35	s
1851	31	s
1851	19	s
1851	18	s
1851	19	s
1851	23	s
1851	19	s
1851	19	s
1851	20	s
1851	18	s
1851	20	w
1851	24	w
1851	19	w
1851	23	w
