year	delta	season
1802	15	s
1803	15	s
1803	16	s
1806	19	w
1806	31	w
1807	29	s
1807	32	s
1807	25	s
1807	31	s
1807	35	s
1807	76	s
1807	24	w
1807	24	w
1807	45	w
1807	35	w
1807	39	w
1808	36	w
1808	33	w
1808	30	w
1808	36	s
1809	30	w
1809	15	w
1809	12	s
1809	18	w
1810	14	w
1810	15	w
1810	33	w
1810	21	w
1810	20	w
1810	17	s
1810	16	w
1814	18	w
1814	17	s
1814	16	s
1814	17	s
1814	16	s
1814	16	w
1814	15	w
1814	15	w
1815	21	w
1815	16	w
1815	15	s
1815	15	s
1816	17	w
1816	15	s
1816	15	s
1816	18	s
1816	15	s
1816	17	s
1816	15	s
1816	15	s
1816	46	s
1816	21	w
1816	22	w
1817	18	w
1817	19	w
1817	17	w
1817	15	w
1817	26	w
1817	15	w
1817	15	w
1817	16	s
1817	15	s
1817	21	s
1817	21	s
1817	21	s
1817	17	s
1817	15	s
1817	15	s
1817	18	s
1817	16	s
1817	18	s
1817	15	s
1817	15	s
1817	35	s
1817	15	w
1817	15	w
1817	17	w
1818	18	w
1818	15	w
1818	15	w
1818	15	s
1818	13	s
1818	14	s
1818	15	s
1818	15	s
1819	15	w
1819	18	w
1819	16	w
1820	16	w
1820	25	w
1820	16	w
1822	23	w
1822	24	s
1823	11	w
1824	14	w
1825	14	w
1825	14	s
1825	15	s
1825	15	w
1825	16	w
1826	14	s
1826	14	s
1826	14	s
1826	14	s
1827	13	w
1827	14	w
1828	10	s
1828	12	s
1828	11	s
1828	11	s
1828	11	w
1828	11	w
1828	11	w
1829	10	s
1829	13	s
1829	40	s
1829	10	s
1829	11	s
1829	10	s
1830	12	w
1830	11	w
1830	6	s
1830	11	s
1830	10	s
1830	10	s
1830	10	w
1830	13	w
1831	10	w
1831	11	w
1831	10	w
1831	11	w
1831	13	w
1831	16	s
1831	17	s
1831	11	s
1831	40	s
1831	10	s
1831	11	s
1832	11	w
1832	10	s
1832	10	s
1832	10	s
1832	12	w
1833	11	s
1833	9	s
1833	11	s
1833	11	s
1833	10	w
1833	10	w
1833	10	w
1833	10	w
1833	12	w
1833	10	w
1834	9	w
1837	9	w
1850	11	s
1850	8	s
1850	7	s
1850	8	s
1850	8	s
1852	7	s
