year	delta	season
1809	34	s
1832	27	w
1844	19	w
1845	26	w
1847	17	w
1851	16	s
1851	11	s
1851	11	s
1852	16	w
1852	9	s
1852	18	w
1853	14	w
1853	14	w
1853	11	s
1855	9	s
1855	10	w
1856	19	s
1856	10	w
1856	10	w
1856	10	w
1856	15	w
1856	41	w
1857	7	w
1857	13	w
1857	17	w
1857	10	w
1857	5	w
1857	7	w
1857	9	w
1857	8	w
1857	7	w
1857	6	w
1857	8	s
1857	5	s
1858	8	s
1858	8	w
1858	11	w
1858	7	w
1858	14	w
1858	11	w
1858	6	w
1859	13	w
1859	11	w
1860	7	w
1860	14	w
1860	6	s
1860	72	s
1860	77	s
1860	92	s
1860	11	w
1864	4	w
1865	4	s
1865	3	s
1865	2	s
1865	3	s
1865	2	s
1865	3	s
1865	2	s
1868	1	w
1868	3	w
1880	1	w
1880	2	w
1881	1	w
1881	1	s
1883	2	w
1883	1	w
1884	1	w
1886	20	s
1887	3	w
1887	1	w
