year	delta	season
1803	22	w
1805	22	s
1805	28	s
1805	22	w
1805	23	w
1806	23	w
1806	27	w
1806	26	w
1807	39	s
1807	34	s
1807	28	w
1808	24	s
1808	24	s
1809	22	w
1809	22	s
1809	22	s
1809	25	s
1809	26	s
1809	24	s
1809	23	s
1809	23	s
1809	24	w
1810	23	w
1810	28	w
1810	23	w
1811	25	w
1811	25	s
1811	22	w
1811	22	w
1813	21	w
1813	20	w
1814	16	w
1815	21	s
1819	22	s
1821	23	s
1822	24	s
1825	18	w
1828	17	s
1829	14	s
1830	13	w
1836	12	w
1836	14	s
1836	11	w
1838	12	s
1838	11	s
1838	11	s
1838	11	s
1838	11	s
1838	10	s
1838	11	w
1839	11	w
1839	9	s
1840	9	s
1841	10	s
1841	10	s
1842	17	s
1843	15	w
1843	10	s
1843	10	w
1844	39	w
1844	12	w
1845	14	w
1845	20	s
1845	17	s
1845	6	s
1845	9	w
1846	9	s
1847	13	w
1847	8	s
1847	11	s
1847	5	w
1848	10	w
1848	12	s
1848	8	s
1849	9	w
1849	10	w
1849	11	w
1849	16	w
1849	7	s
1849	7	s
1849	7	s
1850	8	w
1850	12	w
1850	9	w
1851	8	s
1851	6	s
1852	7	w
1852	7	s
1853	7	w
1854	10	w
1854	11	s
1854	7	s
1854	7	s
1854	7	w
1855	6	w
1855	6	s
1855	9	s
1855	7	s
1855	9	w
1856	5	s
1856	4	s
1856	8	s
1856	5	s
1856	8	w
1857	5	w
1857	7	w
1857	5	w
1857	7	w
1857	7	s
1857	5	s
1857	6	s
1857	6	s
1857	4	s
1857	5	s
1857	6	s
1858	5	s
1858	5	s
1858	10	s
1858	11	w
1858	14	w
1858	9	w
1859	6	w
1859	10	s
1859	8	w
1860	8	s
1860	8	s
1860	7	s
1860	7	w
1861	7	w
1861	6	w
1861	6	s
1861	6	s
1861	9	w
1861	9	w
1862	9	s
1862	7	s
1862	12	s
1863	3	w
1863	4	w
1863	3	w
1864	9	s
1864	3	w
1864	6	w
1865	16	w
1865	7	s
1865	4	s
1865	5	s
1865	6	s
1865	8	s
1865	7	s
1865	15	s
1866	10	s
1866	3	s
1866	4	s
1867	7	s
1867	13	w
1868	9	s
1868	9	s
1868	5	s
1869	10	s
1872	2	s
1873	6	s
1874	6	s
1874	7	s
1874	6	s
1883	2	w
1884	2	w
1885	2	s
1885	4	w
1887	5	w
1888	7	w
