year	delta	season
1804	36	s
1804	49	w
1805	50	s
1808	46	w
1809	49	w
1809	90	w
1809	66	w
1809	56	w
1809	56	w
1809	96	w
1809	66	s
1809	33	w
1810	42	w
1810	62	w
1810	51	w
1810	35	s
1810	34	s
1811	42	w
1811	40	s
1812	40	s
1813	42	w
1819	38	w
1821	28	w
1821	26	s
1821	28	s
1821	24	s
1821	28	s
1821	29	s
1821	25	s
1821	34	s
1821	31	s
1821	32	s
1821	27	w
1821	27	w
1821	24	w
1822	30	w
1822	24	w
1822	31	w
1822	21	s
1822	29	s
1822	26	s
1822	22	w
1822	22	w
1822	23	w
1822	21	w
1823	22	w
1823	22	s
1823	27	s
1824	25	w
1824	24	w
1824	23	s
1824	28	s
1824	32	s
1824	35	s
1824	39	s
1824	42	s
1824	23	s
1824	25	s
1824	21	s
1824	27	w
1825	27	w
1825	23	w
1825	22	w
1825	25	w
1825	26	s
1825	24	s
1825	31	s
1826	21	s
1826	28	s
1827	27	w
1827	37	w
1827	20	s
1827	28	s
1827	23	s
1827	22	w
1828	33	w
1828	24	w
1828	24	w
1828	21	w
1828	13	s
1828	14	s
1828	12	s
1828	18	s
1828	17	s
1828	14	s
1828	13	s
1828	14	s
1828	19	s
1828	16	s
1828	13	s
1828	14	s
1828	18	s
1828	14	s
1828	13	s
1828	15	s
1828	15	s
1828	7	s
1828	17	s
1828	17	s
1828	17	s
1828	17	s
1828	17	s
1828	17	s
1828	17	w
1828	13	w
1828	17	w
1828	17	w
1828	17	w
1828	17	w
1828	14	w
1828	14	w
1828	17	w
1829	14	w
1829	17	w
1829	17	w
1829	23	w
1829	20	s
1829	20	s
1829	22	s
1829	22	s
1829	18	s
1829	12	s
1829	20	s
1829	17	s
1829	24	s
1829	15	s
1829	17	s
1829	17	s
1829	17	s
1829	17	s
1829	17	s
1829	17	s
1829	17	s
1829	17	s
1829	17	w
1829	17	w
1829	17	w
1829	20	w
1829	17	w
1829	17	w
1829	17	w
1829	17	w
1829	17	w
1829	15	w
1829	17	w
1829	17	w
1829	15	w
1829	17	w
1830	17	w
1830	17	w
1830	17	w
1830	17	w
1830	17	w
1830	17	w
1830	17	w
1830	17	w
1830	26	w
1830	17	w
1830	17	w
1830	17	w
1830	17	s
1830	17	s
1830	78	w
1830	17	s
1830	17	s
1830	17	s
1830	17	s
1830	17	s
1830	17	s
1830	17	w
1831	17	w
1831	17	w
1831	66	w
1831	17	s
1831	18	s
1831	21	s
1831	24	s
1832	17	w
1832	19	w
1832	18	w
1832	17	w
1832	18	s
1832	22	w
1833	25	w
1833	32	w
1833	18	w
1833	17	w
1833	17	w
1833	21	w
1833	20	w
1833	17	s
1833	17	s
1833	21	s
1833	17	w
1833	18	w
1833	28	w
1834	22	w
1834	25	w
1834	26	w
1834	83	w
1834	25	s
1834	16	s
1834	21	s
1834	23	s
1834	20	w
1834	24	w
1834	26	w
1834	20	w
1835	18	w
1835	19	w
1835	19	s
1835	17	s
1835	21	s
1835	18	s
1835	19	s
1835	18	s
1835	19	s
1835	25	s
1835	19	s
1835	22	s
1835	18	s
1835	16	s
1835	18	s
1835	18	s
1835	19	s
1835	19	w
1835	22	w
1835	10	w
1835	18	w
1835	19	w
1835	18	w
1835	19	w
1836	22	w
1836	18	w
1836	18	w
1836	19	w
1836	18	w
1836	19	w
1836	19	w
1836	18	w
1836	19	s
1836	18	s
1836	19	s
1836	18	s
1836	25	s
1836	18	s
1836	19	s
1836	22	s
1836	19	w
1836	18	w
1836	23	w
1836	18	w
1836	19	w
1836	20	w
1837	21	w
1837	13	w
1837	25	w
1837	23	w
1837	22	w
1837	25	w
1837	19	s
1837	19	s
1837	20	s
1837	22	s
1837	18	s
1837	18	s
1837	19	w
1837	49	s
1837	20	w
1837	22	w
1837	18	w
1837	19	w
1837	19	w
1838	19	w
1838	21	w
1838	20	w
1838	19	w
1838	16	w
1838	18	w
1838	19	w
1838	20	w
1838	19	w
1838	19	w
1838	22	w
1838	31	w
1838	24	s
1838	19	s
1838	19	s
1838	17	s
1838	19	s
1838	18	s
1838	19	s
1838	20	s
1838	19	s
1838	19	s
1838	19	s
1838	18	w
1838	20	w
1839	23	w
1839	18	w
1839	22	s
1839	20	s
1839	3	s
1839	21	s
1839	22	s
1839	18	s
1839	28	s
1839	32	s
1839	26	w
1840	12	w
1840	22	w
1840	21	w
1840	18	s
1840	37	s
1841	14	w
1841	21	w
1841	18	w
1841	25	w
1841	22	s
1841	18	s
1841	15	s
1841	18	w
1842	19	w
1842	21	s
1843	34	s
1844	17	w
1844	45	s
1845	18	w
1845	19	w
1845	21	s
1845	20	s
1845	20	s
1845	17	s
1845	40	s
1845	24	s
1845	19	w
1845	17	w
1846	17	w
1846	7	w
1846	25	s
1846	18	w
1846	20	w
1847	16	w
1847	22	w
1847	20	s
1847	17	s
1847	20	s
1847	19	w
1848	20	w
1848	22	w
1849	21	s
1850	17	s
1850	24	s
1850	17	s
1850	20	s
1850	27	s
1850	23	s
1850	19	s
1850	17	s
1850	26	w
1850	26	w
1851	18	w
1851	24	s
1851	17	s
1851	20	s
1852	27	s
1853	26	w
1853	38	w
1853	20	s
1853	22	s
1853	27	s
1853	32	s
1853	28	w
1854	35	w
1854	17	s
1854	15	s
1854	20	s
1854	28	s
1854	28	s
1854	28	s
1854	4	s
1854	33	s
1854	19	s
1854	2	s
1854	26	s
1854	31	s
1854	1	s
1854	18	s
1854	1	w
1854	1	w
1854	6	w
1854	1	w
1854	4	w
1854	30	w
1854	23	w
1854	6	w
1854	3	w
1854	6	w
1855	24	w
1855	6	w
1855	4	w
1855	18	s
1855	3	s
1855	4	s
1855	3	s
1855	40	s
1855	24	s
1855	19	w
1855	7	w
1856	1	s
1856	16	s
1856	18	s
1856	24	s
1856	17	w
1856	25	w
1857	26	w
1857	15	s
1857	24	w
1858	20	s
1858	20	s
1858	16	s
1858	15	s
1858	18	s
1858	21	s
1858	23	s
1859	31	w
1859	17	w
1859	91	w
1859	18	w
1859	17	s
1859	5	s
1859	13	w
1860	16	s
1862	20	s
1863	15	s
1863	16	s
1863	5	s
1863	14	s
1863	14	s
1863	15	w
1864	28	w
1864	14	s
1864	13	s
1864	14	s
