year	delta	season
1805	19	w
1805	16	w
1806	26	w
1806	37	w
1807	38	w
1808	23	w
1809	23	s
1809	28	s
1809	29	s
1810	27	w
1810	25	s
1810	22	s
1810	29	w
1811	21	w
1812	24	w
1814	21	s
1815	23	s
1815	27	w
1815	25	w
1815	23	w
1816	25	w
1816	22	w
1816	22	s
1816	25	s
1816	25	w
1817	28	w
1817	22	s
1817	24	s
1817	25	s
1817	21	w
1817	20	w
1818	24	w
1818	21	w
1818	22	s
1818	24	s
1818	22	s
1819	21	w
1819	25	w
1819	21	s
1819	23	s
1819	22	s
1819	23	w
1819	24	w
1819	19	w
1819	24	w
1820	23	s
1820	20	s
1820	24	w
1820	28	w
1820	24	w
1820	25	w
1821	25	w
1821	25	w
1831	25	s
1831	24	s
1845	10	s
1846	8	w
1849	8	w
1850	7	w
1853	9	s
1853	10	s
1854	7	w
1858	9	s
1858	9	w
1860	8	s
1861	8	w
1870	24	s
