year	delta
1831	13
1834	11
1836	11
1836	12
1836	13
1836	12
1837	11
1841	11
1843	12
1844	9
1844	9
1845	9
1845	10
1846	16
1846	11
1848	8
1848	9
1848	10
1849	8
1849	10
1849	9
1850	8
1850	9
1850	6
1850	9
1850	6
1850	7
1850	8
1850	8
1850	8
1850	9
1850	7
1850	9
1850	8
1850	8
1851	8
1852	6
1852	7
1852	9
1852	8
1853	7
1853	6
1853	8
1853	12
1853	8
1853	10
1854	7
1854	7
1854	5
1854	6
1854	5
1854	5
1854	6
1854	6
1854	6
1854	5
1855	7
1855	6
1855	5
1855	6
1855	5
1855	7
1856	6
1856	8
1856	10
1856	5
1856	6
1857	6
1857	6
1857	6
1857	6
1857	6
1857	7
1857	6
1857	7
1858	8
1858	7
1858	7
1858	6
1858	7
1858	7
1858	4
1858	8
1858	9
1858	6
1858	5
1858	9
1858	5
1858	8
1858	8
1858	8
1858	5
1858	6
1858	12
1858	7
1858	6
1858	5
1858	7
1858	5
1858	6
1858	7
1858	6
1858	7
1858	6
1858	8
1858	10
1858	9
1858	6
1858	7
1859	5
1859	6
1859	6
1859	8
1859	7
1859	7
1859	6
1859	8
1859	7
1859	6
1859	8
1859	7
1859	9
1859	7
1859	12
1859	8
1859	9
1859	7
1859	7
1859	8
1859	6
1859	6
1859	9
1859	7
1859	7
1859	7
1859	9
1859	6
1859	7
1859	6
1859	8
1859	6
1859	7
1859	7
1859	6
1859	5
1859	9
1859	8
1859	5
1859	6
1859	7
1859	6
1859	7
1859	6
1860	8
1860	8
1860	7
1860	11
1860	9
1860	9
1860	11
1860	6
1860	8
1860	9
1860	7
1860	6
1860	7
1860	7
1860	7
1860	6
1860	6
1861	7
1861	7
1861	6
1862	10
1862	12
1863	13
1863	5
1863	17
1864	7
1864	8
1865	7
1867	6
1874	6
1878	4
1884	1
1884	5
