year	delta	season
1804	41	w
1804	99	w
1804	81	w
1806	77	s
1809	50	w
1809	119	w
1809	73	s
1809	32	w
1809	32	w
1810	59	w
1811	36	w
1811	49	s
1811	42	w
1812	42	w
1812	37	w
1831	24	w
1833	29	w
1834	47	s
1839	38	s
1839	19	w
1839	22	w
1846	48	w
1847	74	s
1862	20	w
1865	22	s
1868	2	s
1868	2	s
1868	2	s
1868	4	w
1868	1	w
1868	3	w
1869	5	s
1871	2	s
1872	4	w
1872	2	w
1879	2	s
1879	9	s
1880	5	s
1883	3	s
1883	2	s
1883	3	s
1883	2	s
1883	1	w
1883	3	w
1884	3	w
1885	2	w
1887	3	w
1887	3	s
1887	9	s
1887	2	s
1887	1	s
1888	2	w
1888	1	s
1888	2	w
