year	delta	season
1812	95	s
1819	46	s
1820	42	s
1831	40	w
1835	32	w
1841	23	s
1841	25	w
1842	21	s
1842	23	w
1842	24	w
1842	24	w
1843	22	s
1843	21	s
1843	24	w
1843	21	w
1843	28	w
1844	29	w
1844	25	s
1844	20	s
1844	22	s
1844	21	s
1844	36	s
1845	29	w
1845	38	w
1845	30	w
1845	20	s
1845	25	s
1845	25	s
1845	25	s
1845	20	s
1845	18	s
1845	18	w
1845	19	w
1845	25	w
1845	20	w
1845	21	w
1845	19	w
1845	23	w
1845	18	w
1845	25	w
1846	32	w
1846	19	w
1846	18	w
1846	22	w
1846	20	s
1846	25	s
1846	21	s
1846	30	s
1846	30	s
1846	26	w
1846	23	w
1846	28	w
1847	20	w
1847	23	s
1847	29	s
1847	19	w
1848	21	w
1848	21	w
1848	19	w
1848	32	w
1848	21	s
1848	24	s
1848	22	s
1848	29	s
1848	20	s
1848	25	s
1848	20	w
1849	29	w
1849	50	w
1849	18	w
1849	24	w
1849	22	w
1849	16	w
1849	23	w
1849	20	s
1849	28	s
1850	26	w
1850	25	s
1850	28	s
1850	19	s
1850	19	s
1850	28	s
1850	28	w
1850	21	w
1850	27	w
1850	24	w
1851	23	w
1851	30	w
1851	27	w
1851	21	s
1851	27	s
1851	25	w
1851	19	w
1851	22	w
1852	15	w
1852	33	w
1852	16	s
1852	22	s
1852	21	s
1852	24	s
1852	23	s
1852	15	w
1852	17	w
1852	17	w
1853	15	w
1853	16	w
1853	17	w
1853	22	w
1853	23	s
1854	15	s
1854	20	s
1855	13	w
1855	15	s
1855	16	w
1856	23	w
1856	18	w
1857	17	w
1857	17	w
1857	13	s
1857	22	s
1860	18	s
1860	20	s
1860	27	s
1860	20	s
1860	17	s
1860	13	s
1860	57	s
1860	22	s
1860	17	s
1860	15	s
1860	14	s
1860	15	w
1862	15	s
1863	15	s
1863	12	w
1866	4	s
1868	4	w
1870	4	s
1871	10	w
1875	3	s
1877	3	s
1880	3	w
