year	delta	season
1802	26	w
1802	26	w
1802	55	w
1802	26	w
1802	24	w
1802	29	w
1802	24	w
1802	22	w
1802	25	w
1802	22	w
1802	26	w
1802	26	w
1802	28	w
1802	26	w
1802	25	w
1802	24	w
1802	26	w
1802	24	w
1802	23	w
1802	22	w
1802	23	w
1802	22	w
1802	23	w
1802	24	w
1802	22	w
1802	22	w
1802	22	w
1802	25	w
1802	24	w
1802	22	w
1802	23	w
1802	23	w
1802	24	s
1802	22	s
1802	23	s
1802	24	s
1802	23	s
1802	22	s
1802	24	s
1802	22	s
1802	21	s
1802	24	s
1802	24	s
1802	22	s
1802	23	s
1802	22	s
1802	23	s
1802	24	s
1802	21	s
1802	23	s
1802	25	s
1802	21	s
1802	23	s
1802	21	s
1802	22	s
1802	21	s
1802	19	s
1802	22	s
1802	24	s
1802	18	s
1802	23	s
1802	22	s
1802	23	s
1802	26	s
1802	22	s
1802	22	s
1802	22	s
1802	24	s
1802	23	s
1802	25	s
1802	22	s
1802	22	s
1802	25	s
1802	22	s
1802	22	s
1802	22	w
1802	22	w
1802	29	w
1802	21	w
1802	25	w
1802	23	w
1802	22	w
1802	22	w
1802	27	w
1802	22	w
1802	21	w
1802	23	w
1802	24	w
1802	21	w
1802	23	w
1802	22	w
1802	23	w
1802	28	w
1802	22	w
1802	23	w
1802	26	w
1803	22	w
1803	21	w
1803	23	w
1803	22	w
1803	21	w
1803	23	w
1803	22	w
1803	22	w
1803	21	w
1803	21	w
1803	23	w
1803	26	w
1803	22	w
1803	22	w
1803	23	w
1803	23	w
1803	24	w
1803	23	w
1803	29	w
1803	22	w
1803	26	w
1803	23	w
1803	23	w
1803	28	w
1803	26	w
1803	24	w
1803	21	w
1803	21	w
1803	22	w
1803	26	w
1803	22	w
1803	25	w
1803	23	w
1803	22	s
1803	22	s
1803	22	s
1803	21	s
1803	22	s
1803	22	s
1803	22	s
1803	22	s
1803	21	s
1803	22	s
1803	23	s
1803	22	s
1803	22	s
1803	22	s
1803	21	s
1803	23	s
1803	22	s
1803	22	s
1803	22	s
1803	22	s
1803	22	s
1803	22	s
1803	21	s
1803	22	s
1803	26	s
1803	22	s
1803	21	s
1803	26	s
1803	22	s
1803	24	s
1803	22	s
1803	21	s
1803	25	s
1803	21	s
1803	25	s
1803	24	s
1803	22	s
1803	23	s
1803	21	s
1803	22	s
1803	24	s
1803	23	s
1803	24	s
1803	24	s
1803	22	s
1803	22	s
1803	22	s
1803	21	s
1803	22	s
1803	22	s
1803	22	s
1803	21	s
1803	23	s
1803	22	s
1803	22	s
1803	25	s
1803	22	s
1803	23	s
1803	24	s
1803	22	w
1803	22	w
1803	23	w
1803	20	w
1803	22	w
1803	22	w
1803	22	w
1803	22	w
1803	22	w
1803	22	w
1803	21	w
1803	22	w
1803	22	w
1803	24	w
1803	23	w
1803	22	w
1803	22	w
1803	23	w
1804	24	w
1804	26	w
1804	24	w
1804	26	w
1804	23	w
1804	24	w
1804	26	w
1804	23	w
1804	24	w
1804	26	w
1804	23	w
1804	26	w
1804	23	w
1804	24	w
1804	26	w
1804	26	w
1804	25	w
1804	26	w
1804	23	w
1804	24	w
1804	26	w
1804	23	w
1804	24	w
1804	23	w
1804	26	w
1804	24	w
1804	28	w
1804	23	w
1804	24	w
1804	26	w
1804	24	w
1804	28	w
1804	29	w
1804	26	w
1804	26	w
1804	29	w
1804	26	w
1804	24	w
1804	26	w
1804	23	w
1804	24	w
1804	22	w
1804	23	w
1804	24	w
1804	22	s
1804	23	s
1804	22	s
1804	26	s
1804	23	s
1804	24	s
1804	22	s
1804	22	s
1804	22	s
1804	24	s
1804	28	s
1804	23	s
1804	24	s
1804	22	s
1804	23	s
1804	24	s
1804	22	s
1804	23	s
1804	24	s
1804	22	s
1804	22	s
1804	24	s
1804	24	s
1804	28	s
