year	delta
1811	29
1831	27
1831	22
1836	17
1840	17
1843	22
1847	14
1847	14
1847	13
1848	13
1848	22
1848	26
1848	16
1848	17
1849	15
1849	19
1849	16
1849	14
1849	18
1851	11
1851	11
1853	7
1853	7
1854	14
1854	11
1854	11
1854	12
1854	10
1854	15
1854	10
1854	11
1854	14
1854	10
1854	13
1855	13
1856	8
1856	10
1856	8
1856	19
1856	8
1856	9
1856	16
1856	7
1857	8
1857	8
1857	8
1857	13
1857	11
1859	9
1859	8
1859	12
1859	9
1859	5
1859	6
1859	8
1859	5
1859	12
1859	9
1859	5
1859	7
1859	10
1859	12
1859	8
1860	10
1888	2
