year	delta	season
1803	36	w
1829	22	s
1829	18	s
1829	20	s
1829	19	s
1829	29	w
1829	29	w
1830	23	w
1830	20	w
1830	28	w
1830	20	w
1839	14	s
1852	26	w
1853	7	s
1853	11	w
1854	6	s
1854	15	s
1854	13	w
1855	7	w
1855	7	w
1855	8	w
1855	8	w
1855	7	w
1855	8	s
1855	7	s
1855	5	s
1855	3	s
1855	6	w
1855	5	w
1855	8	w
1856	6	w
1856	6	s
1856	6	s
1856	9	s
1856	8	w
1857	8	w
1857	9	s
1857	4	w
1857	5	w
1857	6	w
1858	8	s
1859	7	w
1859	8	w
1860	17	w
1867	2	s
1867	13	s
1867	15	w
1868	20	s
1868	12	s
1868	14	s
1868	14	s
1869	1	s
1869	6	s
1870	14	w
1873	10	w
1875	9	s
1876	4	w
1876	3	w
1877	1	w
1877	3	s
1877	2	s
1877	12	s
1877	2	w
1878	4	w
1879	4	w
1880	1	w
1883	4	w
1884	1	s
1886	1	w
1887	1	s
1887	1	s
1888	1	w
