year	delta	season
1812	6	s
1833	25	w
1834	8	w
1834	23	w
1835	6	w
1836	7	w
1836	14	w
1836	18	w
1837	19	w
1838	28	w
1838	4	w
1838	7	s
1840	15	s
1841	15	s
1841	17	s
1841	4	w
1842	7	s
1842	15	w
1842	10	w
1843	7	s
1843	12	w
1844	5	w
1845	5	s
1845	4	s
1845	13	w
1846	6	s
1846	4	w
1847	21	w
1847	7	s
1848	3	s
1848	4	s
1848	13	s
1848	10	s
1848	3	s
1849	35	w
1850	8	s
1851	4	s
1852	6	s
1852	12	s
1853	10	s
1853	17	w
1854	4	s
1855	6	w
1855	47	w
1856	5	s
1856	5	s
1856	6	w
1857	6	s
1857	12	s
1859	6	w
1859	4	w
1860	11	w
1861	7	w
1861	10	s
1863	18	w
1863	8	s
1863	6	s
1864	23	s
1865	4	w
1865	6	s
1865	10	s
1865	5	s
1865	8	s
1865	7	s
1865	4	s
1866	6	w
1866	7	w
1866	5	w
1866	5	s
1866	4	s
1866	5	s
1866	4	s
1866	4	w
1867	4	s
1868	7	w
1868	3	s
1868	1	s
1868	2	s
1868	3	s
1868	2	s
1868	5	s
1868	7	w
1868	1	w
1868	5	w
1868	5	w
1869	3	w
1869	6	s
1870	3	w
1870	4	s
1870	6	s
1870	7	w
1870	2	w
1870	4	w
1870	7	w
1871	3	w
1871	1	w
1871	3	w
1871	3	w
1871	10	w
1871	5	s
1871	4	s
1871	3	s
1871	7	w
1872	4	w
1872	9	s
1872	7	s
1872	1	w
1873	4	w
1873	3	w
1874	3	s
1875	3	s
1875	5	s
1875	4	w
1876	47	w
1876	2	s
1876	5	s
1876	3	w
1877	2	s
1877	4	s
1877	7	s
1877	3	s
1878	6	w
1878	3	w
1878	1	s
1878	3	s
1878	3	s
1879	2	w
1879	2	s
1879	3	w
1880	1	s
1880	7	s
1880	5	s
1880	2	s
1880	1	w
1880	3	w
1880	3	w
1881	6	w
1881	3	w
1881	1	s
1881	7	s
1881	2	s
1881	6	s
1881	2	s
1881	6	s
1881	2	w
1881	3	w
1883	2	w
1883	7	w
1883	4	s
1883	4	s
1883	7	w
1883	3	w
1883	3	w
1884	2	s
1884	2	s
1884	3	w
1884	3	w
1885	4	s
1885	3	s
1885	1	w
1886	2	w
1886	2	s
1886	2	w
1886	1	w
1887	3	w
1887	1	w
1887	3	s
1887	3	s
1887	2	s
1887	4	s
1888	7	w
1888	3	s
1888	6	w
1888	7	w
1888	7	w
